😀	笑脸
🚴🏾‍♂️	骑 自行车 的 男子 ： 中黑 肤色
🚴🏾‍♂	骑 自行车 的 男子 ： 中黑 肤色
🚴🏿‍♂️	骑 自行车 的 男子 ： 深色 肤色
🚴🏿‍♂	骑 自行车 的 男子 ： 深色 肤色
🚴‍♀️	女人 骑 自行车
🚴‍♀	女人 骑 自行车
🚴🏻‍♀️	骑 自行车 的 女人 ： 浅肤色
🚴🏻‍♀	骑 自行车 的 女人 ： 浅肤色
🚴🏼‍♀️	骑 自行车 的 女性 ： 中浅 肤色
🚴🏼‍♀	骑 自行车 的 女性 ： 中浅 肤色
🚴🏽‍♀️	骑 自行车 的 女人 ： 中等 肤色
🚴🏽‍♀	骑 自行车 的 女人 ： 中等 肤色
🚴🏾‍♀️	骑 自行车 的 女性 ： 中黑 肤色
🚴🏾‍♀	骑 自行车 的 女性 ： 中黑 肤色
🚴🏿‍♀️	骑 自行车 的 女人 ： 深色 肤色
🚴🏿‍♀	骑 自行车 的 女人 ： 深色 肤色
🚵	骑 山地 自行车 的 人
🚵🏻	骑 山地 自行车 的 人 ： 浅肤色
🚵🏼	骑 山地 自行车 的 人 ： 中浅 肤色
🚵🏽	骑 山地 自行车 的 人 ： 中等 肤色
🚵🏾	骑 山地 自行车 的 人 ： 中黑 肤色
🚵🏿	骑 山地 自行车 的 人 ： 深色 肤色
🚵‍♂️	男子 山地 自行车
🚵‍♂	男子 山地 自行车
🚵🏻‍♂️	骑 山地 自行车 的 男子 ： 浅肤色
🚵🏻‍♂	骑 山地 自行车 的 男子 ： 浅肤色
🚵🏼‍♂️	骑 山地 自行车 的 男子 ： 中浅 肤色
🚵🏼‍♂	骑 山地 自行车 的 男子 ： 中浅 肤色
🚵🏽‍♂️	骑 山地 自行车 的 男子 ： 中等 肤色
🚵🏽‍♂	骑 山地 自行车 的 男子 ： 中等 肤色
🚵🏾‍♂️	骑 山地 自行车 的 男子 ： 中 深 肤色
🚵🏾‍♂	骑 山地 自行车 的 男子 ： 中 深 肤色
🚵🏿‍♂️	骑 山地 自行车 的 男子 ： 深色 肤色
🚵🏿‍♂	骑 山地 自行车 的 男子 ： 深色 肤色
🚵‍♀️	女子 山地 自行车
🚵‍♀	女子 山地 自行车
🚵🏻‍♀️	骑 山地 自行车 的 女子 ： 浅肤色
🚵🏻‍♀	骑 山地 自行车 的 女子 ： 浅肤色
🚵🏼‍♀️	骑 山地 自行车 的 女子 ： 中浅 肤色
🚵🏼‍♀	骑 山地 自行车 的 女子 ： 中浅 肤色
🚵🏽‍♀️	骑 山地 自行车 的 女子 ： 中等 肤色
🚵🏽‍♀	骑 山地 自行车 的 女子 ： 中等 肤色
🚵🏾‍♀️	骑 山地 自行车 的 女子 ： 中黑 肤色
🚵🏾‍♀	骑 山地 自行车 的 女子 ： 中黑 肤色
🚵🏿‍♀️	骑 山地 自行车 的 女子 ： 深色 肤色
🚵🏿‍♀	骑 山地 自行车 的 女子 ： 深色 肤色
🏎️	赛车
🏎	赛车
🏍️	摩托车
🏍	摩托车
🤸	人 侧手 翻
🤸🏻	侧手 翻 的 人 ： 浅肤色
🤸🏼	侧手 翻 的 人 ： 中浅 肤色
🤸🏽	侧手 翻 的 人 ： 中等 肤色
🤸🏾	侧手 翻 的 人 ： 中 深 肤色
🤸🏿	侧手 翻 的 人 ： 深色 肤色
🤸‍♂️	男子 侧手 翻
🤸‍♂	男子 侧手 翻
🤸🏻‍♂️	男子 侧手 翻 ： 浅肤色
🤸🏻‍♂	男人 侧手 翻 ： 浅肤色
🤸🏼‍♂️	男子 侧手 翻 ： 中浅 肤色
🤸🏼‍♂	男子 侧手 翻 ： 中浅 肤色
🤸🏽‍♂️	男子 侧手 翻 ： 中等 肤色
🤸🏽‍♂	男子 侧手 翻 ： 中等 肤色
🤸🏾‍♂️	男子 侧手 翻 ： 中 黑 肤色
🤸🏾‍♂	男子 侧手 翻 ： 中 深 肤色
🤸🏿‍♂️	男人 侧手 翻 ： 深色 肤色
🤸🏿‍♂	男人 侧手 翻 ： 深色 肤色
🤸‍♀️	女子 侧手 翻
🤸‍♀	女子 侧手 翻
🤸🏻‍♀️	女人 侧手 翻 ： 浅肤色
🤸🏻‍♀	女人 侧手 翻 ： 浅肤色
🤸🏼‍♀️	女人 侧手 翻 ： 中浅 肤色
🤸🏼‍♀	女人 侧手 翻 ： 中浅 肤色
🤸🏽‍♀️	女人 侧手 翻 ： 中等 肤色
🤸🏽‍♀	女人 侧手 翻 ： 中等 肤色
🤸🏾‍♀️	女人 侧手 翻 ： 中 黑 肤色
🤸🏾‍♀	女人 侧手 翻 ： 中 黑 肤色
🤸🏿‍♀️	女人 侧手 翻 ： 深色 肤色
🤸🏿‍♀	女人 侧手 翻 ： 深色 肤色
🤼	人们 摔跤
🤼‍♂️	男子 摔跤
🤼‍♂	男子 摔跤
🤼‍♀️	女子 摔跤
🤼‍♀	女子 摔跤
🤽	打水球 的 人
🤽🏻	打水球 的 人 ： 浅肤色
🤽🏼	打水球 的 人 ： 中浅 肤色
🤽🏽	打水球 的 人 ： 中等 肤色
🤽🏾	打水球 的 人 ： 中 深 肤色
🤽🏿	打水球 的 人 ： 深色 肤色
🤽‍♂️	打水球 的 男人
🤽‍♂	打水球 的 男人
🤽🏻‍♂️	打水球 的 男人 ： 浅肤色
🤽🏻‍♂	打水球 的 男人 ： 浅肤色
🤽🏼‍♂️	打水球 的 男人 ： 中浅 肤色
🤽🏼‍♂	打水球 的 男人 ： 中浅 肤色
🤽🏽‍♂️	打水球 的 男人 ： 中等 肤色
🤽🏽‍♂	打水球 的 男人 ： 中等 肤色
🤽🏾‍♂️	打水球 的 男人 ： 中 深 肤色
🤽🏾‍♂	打水球 的 男人 ： 中 深 肤色
🤽🏿‍♂️	打水球 的 男人 ： 深色 肤色
🤽🏿‍♂	打水球 的 男人 ： 深色 肤色
🤽‍♀️	打水球 的 女人
🤽‍♀	打水球 的 女人
🤽🏻‍♀️	打水球 的 女人 ： 浅肤色
🤽🏻‍♀	打水球 的 女人 ： 浅肤色
🤽🏼‍♀️	打水球 的 女人 ： 中浅 肤色
🤽🏼‍♀	打水球 的 女人 ： 中浅 肤色
🤽🏽‍♀️	打水球 的 女人 ： 中等 肤色
🤽🏽‍♀	打水球 的 女人 ： 中等 肤色
🤽🏾‍♀️	打水球 的 女人 ： 中 深 肤色
🤽🏾‍♀	打水球 的 女人 ： 中 深 肤色
🤽🏿‍♀️	打水球 的 女人 ： 深色 肤色
🤽🏿‍♀	打水球 的 女人 ： 深色 肤色
🤾	打手球 的 人
🤾🏻	打手球 的 人 ： 浅肤色
🤾🏼	打手球 的 人 ： 中浅 肤色
🤾🏽	打手球 的 人 ： 中等 肤色
🤾🏾	打手球 的 人 ： 中 深 肤色
🤾🏿	打手球 的 人 ： 深色 肤色
🤾‍♂️	打手球 的 男人
🤾‍♂	打手球 的 男人
🤾🏻‍♂️	打手球 的 男人 ： 浅肤色
🤾🏻‍♂	打手球 的 男人 ： 浅肤色
🤾🏼‍♂️	打手球 的 男人 ： 中浅 肤色
🤾🏼‍♂	打手球 的 男人 ： 中浅 肤色
🤾🏽‍♂️	打手球 的 男人 ： 中等 肤色
🤾🏽‍♂	打手球 的 男人 ： 中等 肤色
🤾🏾‍♂️	打手球 的 男人 ： 中 深 肤色
🤾🏾‍♂	打手球 的 男人 ： 中 深 肤色
🤾🏿‍♂️	打手球 的 男人 ： 深色 肤色
🤾🏿‍♂	打手球 的 男人 ： 深色 肤色
🤾‍♀️	打手球 的 女人
🤾‍♀	打手球 的 女人
🤾🏻‍♀️	打手球 的 女人 ： 浅肤色
🤾🏻‍♀	打手球 的 女人 ： 浅肤色
🤾🏼‍♀️	打手球 的 女人 ： 中浅 肤色
🤾🏼‍♀	打手球 的 女人 ： 中浅 肤色
🤾🏽‍♀️	打手球 的 女人 ： 中等 肤色
🤾🏽‍♀	打手球 的 女人 ： 中等 肤色
🤾🏾‍♀️	打手球 的 女人 ： 中 深 肤色
🤾🏾‍♀	打手球 的 女人 ： 中 深 肤色
🤾🏿‍♀️	打手球 的 女人 ： 深色 肤色
🤾🏿‍♀	打手球 的 女人 ： 深色 肤色
🤹	杂耍 的 人
🤹🏻	玩 杂耍 的 人 ： 浅肤色
🤹🏼	玩 杂耍 的 人 ： 中浅 肤色
🤹🏽	玩 杂耍 的 人 ： 中等 肤色
🤹🏾	玩 杂耍 的 人 ： 中 深 肤色
🤹🏿	玩 杂耍 的 人 ： 深色 肤色
🤹‍♂️	男子 杂耍
🤹‍♂	男子 杂耍
🤹🏻‍♂️	男子 杂耍 ： 浅肤色
🤹🏻‍♂	男子 杂耍 ： 浅肤色
🤹🏼‍♂️	男子 杂耍 ： 中浅 肤色
🤹🏼‍♂	男子 杂耍 ： 中浅 肤色
🤹🏽‍♂️	男子 杂耍 ： 中等 肤色
🤹🏽‍♂	男子 杂耍 ： 中等 肤色
🤹🏾‍♂️	男子 杂耍 ： 中 深 肤色
🤹🏾‍♂	男子 杂耍 ： 中 深 肤色
🤹🏿‍♂️	男子 杂耍 ： 深色 肤色
🤹🏿‍♂	男子 杂耍 ： 深色 肤色
🤹‍♀️	女人 杂耍
🤹‍♀	女人 杂耍
🤹🏻‍♀️	女人 杂耍 ： 浅肤色
🤹🏻‍♀	女人 杂耍 ： 浅肤色
🤹🏼‍♀️	女人 杂耍 ： 中浅 肤色
🤹🏼‍♀	女人 杂耍 ： 中浅 肤色
🤹🏽‍♀️	女人 杂耍 ： 中等 肤色
🤹🏽‍♀	女人 杂耍 ： 中等 肤色
🤹🏾‍♀️	玩 杂耍 的 女人 ： 中黑 肤色
🤹🏾‍♀	玩 杂耍 的 女人 ： 中黑 肤色
🤹🏿‍♀️	女人 杂耍 ： 深色 肤色
🤹🏿‍♀	女人 杂耍 ： 深色 肤色
👫	男人 和 女人 手 牵手
👬	两 个 男人 手 牵 着手
👭	两 个 女人 手 牵 着手
💏	吻
👩‍❤️‍💋‍👨	接吻 ： 女人 、 男人
👩‍❤‍💋‍👨	接吻 ： 女人 、 男人
👨‍❤️‍💋‍👨	吻 ： 男人 ， 男人
👨‍❤‍💋‍👨	吻 ： 男人 ， 男人
👩‍❤️‍💋‍👩	吻 ： 女人 ， 女人
👩‍❤‍💋‍👩	吻 ： 女人 ， 女人
💑	情侣 与 心
👩‍❤️‍👨	有心 的 夫妻 ： 女人 、 男人
👩‍❤‍👨	有心 的 夫妻 ： 女人 、 男人
👨‍❤️‍👨	情侣 与 心 ： 男人 ， 男人
👨‍❤‍👨	情侣 与 心 ： 男人 ， 男人
👩‍❤️‍👩	情侣 与 心 : 女人 , 女人
👩‍❤‍👩	情侣 与 心 : 女人 , 女人
👪	家庭
👨‍👩‍👦	家庭 成员 ： 男人 、 女人 、 男孩
👨‍👩‍👧	家庭 成员 ： 男人 、 女人 、 女孩
👨‍👩‍👧‍👦	家庭 ： 男人 、 女人 、 女孩 、 男孩
👨‍👩‍👦‍👦	家庭 ： 男人 、 女人 、 男孩 、 男孩
👨‍👩‍👧‍👧	家庭 ： 男人 、 女人 、 女孩 、 女孩
👨‍👨‍👦	家庭 ： 男人 、 男人 、 男孩
👨‍👨‍👧	家庭 ： 男人 、 男人 、 女孩
👨‍👨‍👧‍👦	家庭 ： 男人 、 男人 、 女孩 、 男孩
👨‍👨‍👦‍👦	家庭 ： 男人 ， 男人 ， 男孩 ， 男孩
👨‍👨‍👧‍👧	家庭 ： 男人 ， 男人 ， 女孩 ， 女孩
👩‍👩‍👦	家庭 ： 女人 、 女人 、 男孩
👩‍👩‍👧	家庭 ： 女人 、 女人 、 女孩
👩‍👩‍👧‍👦	家庭 ： 女人 、 女人 、 女孩 、 男孩
👩‍👩‍👦‍👦	家庭 ： 女人 ， 女人 ， 男孩 ， 男孩
👩‍👩‍👧‍👧	家庭 ： 女人 ， 女人 ， 女孩 ， 女孩
👨‍👦	家庭 成员 ： 男人 、 男孩
👨‍👦‍👦	家庭 ： 男人 、 男孩 、 男孩
👨‍👧	家庭 成员 ： 男 、 女
👨‍👧‍👦	家庭 成员 ： 男人 、 女孩 、 男孩
👨‍👧‍👧	家庭 ： 男人 、 女孩 、 女孩
👩‍👦	家庭 成员 ： 女人 、 男孩
👩‍👦‍👦	家庭 ： 女人 、 男孩 、 男孩
👩‍👧	家庭 成员 ： 女人 、 女孩
👩‍👧‍👦	家庭 成员 ： 女人 、 女孩 、 男孩
👩‍👧‍👧	家庭 ： 女人 、 女孩 、 女孩
🤳	自拍
🤳🏻	自拍 ： 浅肤色
🤳🏼	自拍 ： 中浅 肤色
🤳🏽	自拍 ： 中等 肤色
🤳🏾	自拍 ： 中黑 肤色
🤳🏿	自拍 ： 深色 肤色
💪	弯曲 的 二 头 肌
💪🏻	弯曲 的 二 头 肌 ： 浅肤色
💪🏼	弯曲 的 二头肌 ： 中浅 肤色
💪🏽	弯曲 的 二头肌 ： 中等 肤色
💪🏾	弯曲 的 二头肌 ： 中 深 肤色
💪🏿	弯曲 的 二 头 肌 ： 深色 肤色
🦵	腿
🦵🏻	腿部 ： 浅肤色
🦵🏼	腿部 ： 中浅 肤色
🦵🏽	腿部 ： 中等 肤色
🦵🏾	腿部 ： 中黑 肤色
🦵🏿	腿部 ： 深色 肤色
🦶	脚
🦶🏻	脚 ： 浅肤色
🦶🏼	脚 ： 中浅 肤色
🦶🏽	脚 ： 中等 肤色
🦶🏾	脚 ： 中黑 肤色
🦶🏿	脚 ： 深色 肤色
👈	反手 食指 指向 左侧
👈🏻	反手 食指 指向 左侧 ： 浅肤色
👈🏼	反手 食指 指向 左侧 ： 中浅 肤色
👈🏽	反手 食指 指向 左侧 ： 中等 肤色
👈🏾	反手 食指 指向 左侧 ： 中 深 肤色
👈🏿	反手 食指 指向 左侧 ： 深色 肤色
👉	反手 食指 指向 右侧
👉🏻	反手 食指 指向 右侧 ： 浅肤色
👉🏼	反手 食指 指向 右侧 ： 中浅 肤色
👉🏽	反手 食指 指向 右侧 ： 中等 肤色
👉🏾	反手 食指 指向 右侧 ： 中黑 肤色
👉🏿	反手 食指 指向 右侧 ： 深色 肤色
☝️	索引 向上
☝	索引 向上
☝🏻	索引 向上 ： 浅肤色
☝🏼	索引 向上 ： 中浅 肤色
☝🏽	索引 向上 ： 中等 肤色
☝🏾	索引 向上 ： 中黑 肤色
☝🏿	索引 向上 ： 深色 肤色
👆	反手 食指 向上
👆🏻	反手 食指 向上 ： 浅肤色
👆🏼	反手 食指 向上 ： 中浅 肤色
👆🏽	反手 食指 向上 ： 中等 肤色
👆🏾	反手 食指 朝上 ： 中黑 肤色
👆🏿	反手 食指 向上 ： 深色 肤色
🖕	中指
🖕🏻	中指 ： 浅肤色
🖕🏼	中指 ： 中浅 肤色
🖕🏽	中指 ： 中等 肤色
🖕🏾	中指 ： 中黑 肤色
🖕🏿	中指 ： 深色 肤色
👇	反手 指数 朝下
👇🏻	反手 食指 朝下 ： 浅肤色
👇🏼	反手 食指 朝下 ： 中浅 肤色
👇🏽	反手 食指 朝下 ： 中等 肤色
👇🏾	反手 食指 朝下 ： 中黑 肤色
👇🏿	反手 食指 朝下 ： 深色 肤色
✌️	胜利 之 手
✌	胜利 之 手
✌🏻	胜利 之 手 : 浅 肤色
✌🏼	胜利 之 手 ： 中浅 肤色
✌🏽	胜利 之 手 ： 中等 肤色
✌🏾	胜利 之 手 ： 中黑 肤色
✌🏿	胜利 之 手 : 深色 肤色
🤞	交叉 手指
🤞🏻	交叉 手指 ： 浅肤色
🤞🏼	交叉 手指 ： 中浅 肤色
🤞🏽	交叉 手指 ： 中等 肤色
🤞🏾	交叉 手指 ： 中黑 肤色
🤞🏿	交叉 手指 ： 深色 肤色
🖖	瓦肯 敬礼
🖖🏻	瓦肯 敬礼 : 浅 肤色
🖖🏼	瓦肯 敬礼 : 中 浅 肤色
🖖🏽	瓦肯 敬礼 : 中等 肤色
🖖🏾	瓦肯 敬礼 : 中 黑 肤色
🖖🏿	瓦肯 敬礼 : 深色 肤色
🤘	角 的 迹象
🤘🏻	角 的 标志 ： 浅肤色
🤘🏼	角 的 标志 ： 中浅 肤色
🤘🏽	角 的 标志 ： 中等 肤色
🤘🏾	角 的 标志 ： 中黑 肤色
🤘🏿	角 的 标志 ： 深色 肤色
🤙	叫 我 手
🤙🏻	请 叫 我 手 ： 浅肤色
🤙🏼	请 叫 我 手 ： 中浅 肤色
🤙🏽	请 叫 我 手 ： 中等 肤色
🤙🏾	请 叫 我 手 ： 中 深 肤色
🤙🏿	请 叫 我 手 ： 深色 肤色
🖐️	手指 张开 的 手
🖐	手指 张开 的 手
🖐🏻	手指 张开 的 手 ： 浅肤色
🖐🏼	手指 张开 的 手 ： 中浅 肤色
🖐🏽	手指 张开 的 手 ： 中等 肤色
🖐🏾	手指 张开 的 手 ： 中 深 肤色
🖐🏿	手指 张开 的 手 ： 深色 肤色
✋	举起 手
✋🏻	举起 的 手 ： 浅肤色
✋🏼	举起 的 手 ： 中浅 肤色
✋🏽	举起 的 手 ： 中等 肤色
✋🏾	举起 的 手 ： 中黑 肤色
✋🏿	举起 的 手 ： 深色 肤色
👌	好的 手
👌🏻	OK手 ： 浅肤色
👌🏼	OK手 ： 中浅 肤色
👌🏽	OK手 ： 中等 肤色
👌🏾	OK手 ： 中黑 肤色
👌🏿	OK手 ： 深色 肤色
👍	竖起 大拇指
👍🏻	竖起 大拇指 ： 浅肤色
👍🏼	竖起 大拇指 ： 中浅 肤色
👍🏽	竖起 大拇指 ： 中等 肤色
👍🏾	竖起 大拇指 ： 中黑 肤色
👍🏿	竖起 大拇指 ： 深色 肤色
👎	不 看好
👎🏻	拇指 朝下 ： 浅肤色
👎🏼	拇指 朝下 ： 中浅 肤色
👎🏽	拇指 朝下 ： 中等 肤色
👎🏾	拇指 朝下 ： 中黑 肤色
👎🏿	大拇指 朝下 ： 深色 肤色
✊	举起 拳头
✊🏻	举起 拳头 ： 浅肤色
✊🏼	举起 拳头 ： 中浅 肤色
✊🏽	举起 拳头 ： 中等 肤色
✊🏾	举起 拳头 ： 中黑 肤色
✊🏿	举起 拳头 ： 深色 肤色
👊	迎面而来 的 拳头
👊🏻	迎面而来 的 拳头 ： 浅肤色
👊🏼	迎面而来 的 拳头 ： 中浅 肤色
👊🏽	迎面而来 的 拳头 ： 中等 肤色
👊🏾	迎面而来 的 拳头 ： 中黑 肤色
👊🏿	迎面而来 的 拳头 ： 深色 肤色
🤛	向 左握拳
🤛🏻	向 左握拳 ： 浅肤色
🤛🏼	向 左握拳 ： 中浅 肤色
🤛🏽	向 左握拳 ： 中等 肤色
🤛🏾	向 左握拳 ： 中 深 肤色
🤛🏿	向 左握拳 ： 深色 肤色
🤜	右拳
🤜🏻	向 右 握拳 ： 浅肤色
🤜🏼	向 右 握拳 ： 中浅 肤色
🤜🏽	向 右 握拳 ： 中等 肤色
🤜🏾	向 右 的 拳头 ： 中深 肤色
🤜🏿	向 右 的 拳头 ： 深色 肤色
🤚	举起 手背
🤚🏻	凸起 的 手背 ： 浅肤色
🤚🏼	凸起 的 手背 ： 中浅 肤色
🤚🏽	凸起 的 手背 ： 中等 肤色
🤚🏾	凸起 的 手背 ： 中黑 肤色
🤚🏿	凸起 的 手背 ： 深色 肤色
👋	挥手
👋🏻	挥手 ： 浅肤色
👋🏼	挥手 ： 中浅 肤色
👋🏽	挥手 ： 中等 肤色
👋🏾	挥手 ： 中黑 肤色
👋🏿	挥手 ： 深色 肤色
🤟	爱 你 的 手势
🤟🏻	爱 你 的 手势 ： 浅肤色
🤟🏼	爱 你 的 手势 ： 中浅 肤色
🤟🏽	爱 你 的 手势 ： 中等 肤色
🤟🏾	爱 你 的 手势 ： 中 深 肤色
🤟🏿	爱 你 的 手势 ： 深色 肤色
✍️	写字 的 手
✍	写字 的 手
✍🏻	写字 的 手 ： 浅肤色
✍🏼	写字 的 手 ： 中浅 肤色
✍🏽	写字 的 手 ： 中等 肤色
✍🏾	写字 的 手 ： 中黑 肤色
✍🏿	写字 的 手 ： 深色 肤色
👏	拍手
👏🏻	拍手 ： 浅肤色
👏🏼	拍手 ： 中浅 肤色
👏🏽	拍手 ： 中等 肤色
👏🏾	拍手 ： 中黑 肤色
👏🏿	拍手 ： 深色 肤色
👐	张开 双手
👐🏻	张开 双手 ： 浅肤色
👐🏼	张开 双手 ： 中浅 肤色
👐🏽	张开 双手 ： 中等 肤色
👐🏾	张开 双手 ： 中黑 肤色
👐🏿	张开 双手 ： 深色 肤色
🙌	举手
🙌🏻	举手 ： 浅肤色
🙌🏼	举手 ： 中浅 肤色
🙌🏽	举手 ： 中等 肤色
🙌🏾	举手 ： 中黑 肤色
🙌🏿	举手 ： 深色 肤色
🤲	手掌 向上 并拢
🤲🏻	手掌 向上 ： 浅肤色
🤲🏼	手掌 向上 ： 中浅 肤色
🤲🏽	手掌 向上 ： 中等 肤色
🤲🏾	手掌 向上 ： 中黑 肤色
🤲🏿	手掌 向上 ： 深色 肤色
🙏	双手 合十
🙏🏻	双手 合十 ： 浅 肤色
🙏🏼	双手 合十 ： 中浅 肤色
🙏🏽	双手 合十 ： 中等 肤色
🙏🏾	双手 合十 ： 中 深 肤色
🙏🏿	双手 合十 ： 深色 肤色
🤝	握手
💅	指甲油
💅🏻	指甲油 ： 浅肤色
💅🏼	指甲油 ： 中浅 肤色
💅🏽	指甲油 : 中等 肤色
💅🏾	指甲油 ： 中黑 肤色
💅🏿	指甲油 ： 深色 肤色
👂	耳朵
👂🏻	耳朵 ： 浅肤色
👂🏼	耳朵 ： 中浅 肤色
👂🏽	耳朵 ： 中等 肤色
👂🏾	耳朵 ： 中黑 肤色
👂🏿	耳朵 ： 深色 肤色
👃	鼻子
👃🏻	鼻子 ： 浅肤色
👃🏼	鼻子 ： 中浅 肤色
👃🏽	鼻子 ： 中等 肤色
👃🏾	鼻子 ： 中黑 肤色
👃🏿	鼻子 ： 深色 肤色
🦰	红发 的
🦱	卷发 的
🦲	秃
🦳	白发 的
👣	脚印
👀	眼睛
👁️	眼睛
👁	眼睛
👁️‍🗨️	讲话 泡泡 中 的 眼睛
👁‍🗨️	讲话 泡泡 中 的 眼睛
👁️‍🗨	讲话 泡泡 中 的 眼睛
👁‍🗨	讲话 泡泡 中 的 眼睛
🧠	脑
🦴	骨
🦷	齿
👅	舌头
👄	嘴
💋	吻痕
💘	带 箭头 的 心
❤️	红心
❤	红心
💓	跳动 的 心
💔	破碎 的 心
💕	两 颗 心
💖	闪闪 发光 的 心
💗	成长 的 心
💙	蓝色 的 心
💚	绿心
💛	黄心
🧡	橙色 的 心
💜	紫心 勋章
🖤	黑心
💝	带 丝带 的 心
💞	旋转 的 心
💟	心形 装饰
❣️	心情 沉重 的 感叹
❣	心情 沉重 的 感叹
💌	爱情信
💤	兹兹
💢	愤怒 的 象征
💣	炸弹
💥	碰撞
💦	汗滴
💨	匆匆 而 去
💫	晕眩 的
💬	语音 气球
🗨️	左边 的 语音 气泡
🗨	左边 的 语音 气泡
🗯️	右 愤怒 泡沫
🗯	右 愤怒 泡沫
💭	思想 气球
🕳️	洞
🕳	洞
👓	眼镜
🕶️	太阳镜
🕶	太阳镜
🥽	风镜
🥼	实验 工作服
👔	领带
👕	T恤
👖	牛仔裤
🧣	围巾
🧤	手套
🧥	外套
🧦	袜子
👗	裙子
👘	和服
👙	比基尼
👚	女人 的 衣服
👛	钱包
👜	手提包
👝	手 抓 包
🛍️	购物袋
🛍	购物袋
🎒	学校 背包
👞	男鞋
👟	跑鞋
🥾	登山靴
🥿	女式 平底 鞋
👠	高跟鞋
👡	女式 凉鞋
👢	女式 靴子
👑	王冠
👒	女人 的 帽子
🎩	高顶 礼帽
🎓	毕业帽
🧢	计费 上限
⛑️	救援 人员 的 头盔
⛑	救援 人员 的 头盔
📿	念珠
💄	口红
💍	戒指
💎	宝石
🐵	猴脸
🐒	猴
🦍	大猩猩
🐶	狗 脸
🐕	狗
🐩	贵宾犬
🐺	狼脸
🦊	狐狸脸
🦝	狸
🐱	猫脸
🐈	猫
🦁	狮子脸
🐯	虎脸
🐅	老虎
🐆	豹
🐴	马脸
🐎	马
🦄	独角 兽脸
🦓	斑马
🦌	鹿
🐮	牛脸
🐂	牛
🐃	水牛
🐄	奶牛
🐷	猪脸
🐖	猪
🐗	公猪
🐽	猪 鼻子
🐏	内存
🐑	母羊
🐐	山羊
🐪	骆驼
🐫	二驼峰 骆驼
🦙	骆驼
🦒	长颈鹿
🐘	大象
🦏	犀牛
🦛	河马
🐭	老鼠 脸
🐁	老鼠
🐀	鼠
🐹	仓鼠 脸
🐰	兔脸
🐇	兔子
🐿️	花栗鼠
🐿	花栗鼠
🦔	刺猬
🦇	蝙蝠
🐻	熊脸
🐨	考拉
🐼	熊猫 脸
🦘	袋鼠
🦡	獾
🐾	掌印
🦃	火鸡
🐔	鸡
🐓	公鸡
🐣	孵化 小鸡
🐤	小鸡
🐥	正面 朝前 的 小鸡
🐦	鸟
🐧	企鹅
🕊️	鸽子
🕊	鸽子
🦅	鹰
🦆	鸭子
🦢	天鹅
🦉	猫头鹰
🦚	孔雀
🦜	鹦鹉
🐸	青蛙脸
🐊	鳄鱼
🐢	龟
🦎	蜥蜴
🐍	蛇
🐲	龙脸
🐉	龙
🦕	蜥脚类 动物
🦖	霸王 龙
🐳	喷水 鲸鱼
🐋	鲸
🐬	海豚
🐟	鱼
🐠	热带 鱼
🐡	河豚 鱼
🦈	鲨鱼
🐙	章鱼
🐚	螺
🦀	螃蟹
🦞	龙虾
🦐	虾
🦑	乌贼
🐌	蜗牛
🦋	蝴蝶
🐛	漏洞
🐜	蚂蚁
🐝	蜜蜂
🐞	瓢虫
🦗	蟋蟀
🕷️	蜘蛛
🕷	蜘蛛
🕸️	蜘蛛网
🕸	蜘蛛网
🦂	蝎
🦟	蚊子
🦠	微生物
💐	花束
🌸	樱花
💮	白色 的 花
🏵️	玫瑰 花结
🏵	玫瑰 花结
🌹	玫瑰
🥀	枯萎 的 花
🌺	芙蓉
🌻	向日葵
🌼	开花
🌷	郁金香
🌱	幼苗
🌲	常青树
🌳	落叶树
🌴	棕榈 树
🌵	仙人掌
🌾	一 捆 米饭
🌿	草本植物
☘️	三叶草
☘	三叶草
🍀	四叶草
🍁	枫叶
🍂	落叶
🍃	树叶 在 风 中 飘扬
🍇	葡萄
🍈	瓜
🍉	西瓜
🍊	柑橘
🍋	柠檬
🍌	香蕉
🍍	菠萝
🥭	芒果
🍎	红苹果
🍏	青 苹果
🍐	梨
🍑	桃
🍒	樱桃
🍓	草莓
🥝	奇异果
🍅	番茄
🥥	椰子
🥑	牛 油果
🍆	茄子
🥔	土豆
🥕	胡萝卜
🌽	玉米 穗
🌶️	辣椒
🌶	辣椒
🥒	黄瓜
🥬	绿叶
🥦	西兰花
🍄	蘑菇
🥜	花生
🌰	板栗
🍞	面包
🥐	羊角 面包
🥖	长棍 面包
🥨	椒 盐 卷饼
🥯	百吉饼
🥞	薄 煎饼
🧀	奶酪角
🍖	骨头 上 的 肉
🍗	家禽 腿
🥩	切肉
🥓	熏肉
🍔	汉堡包
🍟	炸薯条
🍕	比萨
🌭	热狗
🥪	三明治
🌮	炸 玉米饼
🌯	墨西哥 卷饼
🥙	酿 大饼
🥚	蛋
🍳	烹饪
🥘	浅盘 食物
🍲	一 锅 食物
🥣	带 勺子 的 碗
🥗	绿色 的 沙拉
🍿	爆米花
🧂	盐
🥫	罐头 食品
🍱	便 当盒
🍘	米果
🍙	饭团
🍚	熟米饭
🍛	咖喱饭
🍜	蒸碗
🍝	意大利 细面 条
🍠	烤红薯
🍢	奥登
🍣	寿司
🍤	炒 虾仁
🍥	带 漩涡 的 鱼饼
🥮	月饼
🍡	团子
🥟	饺子
🥠	幸运 饼干
🥡	外卖盒
