😀	笑臉
🏋🏼‍♀️	女性 舉重 ： 中淺 膚色
🏋🏼‍♀	女性 舉重 ： 中淺 膚色
🏋🏽‍♀️	女子 舉重 ： 中等 膚色
🏋🏽‍♀	女子 舉重 ： 中等 膚色
🏋🏾‍♀️	女性 舉重 ： 中黑 膚色
🏋🏾‍♀	女性 舉重 ： 中黑 膚色
🏋🏿‍♀️	女子 舉重 ： 深色 膚色
🏋🏿‍♀	女子 舉重 ： 深色 膚色
🚴	騎 自行車 的 人
🚴🏻	騎腳 踏車 的 人 ： 淺膚色
🚴🏼	騎 自行車 的 人 ： 中淺 膚色
🚴🏽	騎 自行車 的 人 ： 中等 膚色
🚴🏾	騎 自行車 的 人 ： 中黑 膚色
🚴🏿	騎 自行車 的 人 ： 深色 膚色
🚴‍♂️	男子 騎 自行車
🚴‍♂	男子 騎 自行車
🚴🏻‍♂️	騎腳 踏車 的 男子 ： 淺 膚色
🚴🏻‍♂	騎腳 踏車 的 男子 ： 淺 膚色
🚴🏼‍♂️	騎腳 踏車 的 男子 ： 中淺 膚色
🚴🏼‍♂	騎腳 踏車 的 男子 ： 中淺 膚色
🚴🏽‍♂️	騎腳 踏車 的 男子 ： 中等 膚色
🚴🏽‍♂	騎腳 踏車 的 男子 ： 中等 膚色
🚴🏾‍♂️	騎腳 踏車 的 男子 ： 中 黑 膚色
🚴🏾‍♂	騎腳 踏車 的 男子 ： 中 黑 膚色
🚴🏿‍♂️	騎 自行車 的 男子 ： 深色 膚色
🚴🏿‍♂	騎 自行車 的 男子 ： 深色 膚色
🚴‍♀️	女人 騎 自行車
🚴‍♀	女人 騎 自行車
🚴🏻‍♀️	騎腳 踏車 的 女人 ： 淺膚色
🚴🏻‍♀	騎腳 踏車 的 女人 ： 淺膚色
🚴🏼‍♀️	騎 自行車 的 女性 ： 中淺 膚色
🚴🏼‍♀	騎 自行車 的 女性 ： 中淺 膚色
🚴🏽‍♀️	騎 自行車 的 女人 ： 中等 膚色
🚴🏽‍♀	騎 自行車 的 女人 ： 中等 膚色
🚴🏾‍♀️	騎 自行車 的 女性 ： 中黑 膚色
🚴🏾‍♀	騎 自行車 的 女性 ： 中黑 膚色
🚴🏿‍♀️	騎 自行車 的 女人 ： 深色 膚色
🚴🏿‍♀	騎 自行車 的 女人 ： 深色 膚色
🚵	騎 山地 自行車 的 人
🚵🏻	騎 山地 自行車 的 人 ： 淺膚色
🚵🏼	騎 山地 自行車 的 人 ： 中淺 膚色
🚵🏽	騎 山地 自行車 的 人 ： 中等 膚色
🚵🏾	騎 登山車 的 人 ： 中黑 膚色
🚵🏿	騎 登山車 的 人 ： 深色 膚色
🚵‍♂️	男子 登山車
🚵‍♂	男子 登山車
🚵🏻‍♂️	騎 山地 自行車 的 男子 ： 淺 膚色
🚵🏻‍♂	騎 山地 自行車 的 男子 ： 淺 膚色
🚵🏼‍♂️	騎 山地 自行車 的 男子 ： 中淺 膚色
🚵🏼‍♂	騎 山地 自行車 的 男子 ： 中淺 膚色
🚵🏽‍♂️	騎 山地 自行車 的 男子 ： 中等 膚色
🚵🏽‍♂	騎 山地 自行車 的 男子 ： 中等 膚色
🚵🏾‍♂️	騎 山地 自行車 的 男子 ： 中 深 膚色
🚵🏾‍♂	騎 山地 自行車 的 男子 ： 中 深 膚色
🚵🏿‍♂️	騎 山地 自行車 的 男子 ： 深色 膚色
🚵🏿‍♂	騎 山地 自行車 的 男子 ： 深色 膚色
🚵‍♀️	女子 登山車
🚵‍♀	女子 登山車
🚵🏻‍♀️	騎 山地 自行車 的 女子 ： 淺 膚色
🚵🏻‍♀	騎 山地 自行車 的 女子 ： 淺 膚色
🚵🏼‍♀️	騎 山地 自行車 的 女子 ： 中淺 膚色
🚵🏼‍♀	騎 山地 自行車 的 女子 ： 中淺 膚色
🚵🏽‍♀️	騎 山地 自行車 的 女子 ： 中等 膚色
🚵🏽‍♀	騎 山地 自行車 的 女子 ： 中等 膚色
🚵🏾‍♀️	騎 山地 自行車 的 女子 ： 中 黑 膚色
🚵🏾‍♀	騎 山地 自行車 的 女子 ： 中 黑 膚色
🚵🏿‍♀️	騎 山地 自行車 的 女子 ： 深色 膚色
🚵🏿‍♀	騎 山地 自行車 的 女子 ： 深色 膚色
🏎️	賽車
🏎	賽車
🏍️	摩托車
🏍	摩托車
🤸	人 側手 翻
🤸🏻	側手 翻 的 人 ： 淺膚色
🤸🏼	側手 翻 的 人 ： 中淺 膚色
🤸🏽	側手 翻 的 人 ： 中等 膚色
🤸🏾	側手 翻 的 人 ： 中 深 膚色
🤸🏿	側手 翻 的 人 ： 深色 膚色
🤸‍♂️	男子 側手 翻
🤸‍♂	男子 側手 翻
🤸🏻‍♂️	男人 側手 翻 ： 淺 膚色
🤸🏻‍♂	男人 側手 翻 ： 淺 膚色
🤸🏼‍♂️	男子 側手 翻 ： 中淺 膚色
🤸🏼‍♂	男子 側手 翻 ： 中淺 膚色
🤸🏽‍♂️	男子 側手 翻 ： 中等 膚色
🤸🏽‍♂	男子 側手 翻 ： 中等 膚色
🤸🏾‍♂️	男子 側手 翻 ： 中 深 膚色
🤸🏾‍♂	男子 側手 翻 ： 中 深 膚色
🤸🏿‍♂️	男人 側手 翻 ： 深色 膚色
🤸🏿‍♂	男人 側手 翻 ： 深色 膚色
🤸‍♀️	女子 側手 翻
🤸‍♀	女子 側手 翻
🤸🏻‍♀️	女人 側手 翻 ： 淺 膚色
🤸🏻‍♀	女人 側手 翻 ： 淺 膚色
🤸🏼‍♀️	女人 側手 翻 ： 中淺 膚色
🤸🏼‍♀	女人 側手 翻 ： 中淺 膚色
🤸🏽‍♀️	女人 側手 翻 ： 中等 膚色
🤸🏽‍♀	女人 側手 翻 ： 中等 膚色
🤸🏾‍♀️	女人 側手 翻 ： 中 黑 膚色
🤸🏾‍♀	女人 側手 翻 ： 中 黑 膚色
🤸🏿‍♀️	女人 側手 翻 ： 深色 膚色
🤸🏿‍♀	女人 側手 翻 ： 深色 膚色
🤼	人們 摔角
🤼‍♂️	男子 摔角
🤼‍♂	男子 摔角
🤼‍♀️	女子 摔角
🤼‍♀	女子 摔角
🤽	打水球 的 人
🤽🏻	打水球 的 人 ： 淺膚色
🤽🏼	打水球 的 人 ： 中淺 膚色
🤽🏽	打水球 的 人 ： 中等 膚色
🤽🏾	打水球 的 人 ： 中 深 膚色
🤽🏿	打水球 的 人 ： 深色 膚色
🤽‍♂️	打水球 的 男人
🤽‍♂	打水球 的 男人
🤽🏻‍♂️	打水球 的 男人 ： 淺膚色
🤽🏻‍♂	打水球 的 男人 ： 淺膚色
🤽🏼‍♂️	打水球 的 男人 ： 中淺 膚色
🤽🏼‍♂	打水球 的 男人 ： 中淺 膚色
🤽🏽‍♂️	打水球 的 男人 ： 中等 膚色
🤽🏽‍♂	打水球 的 男人 ： 中等 膚色
🤽🏾‍♂️	打水球 的 男人 ： 中 深 膚色
🤽🏾‍♂	打水球 的 男人 ： 中 深 膚色
🤽🏿‍♂️	打水球 的 男人 ： 深色 膚色
🤽🏿‍♂	打水球 的 男人 ： 深色 膚色
🤽‍♀️	打水球 的 女人
🤽‍♀	打水球 的 女人
🤽🏻‍♀️	打水球 的 女人 ： 淺膚色
🤽🏻‍♀	打水球 的 女人 ： 淺膚色
🤽🏼‍♀️	打水球 的 女人 ： 中淺 膚色
🤽🏼‍♀	打水球 的 女人 ： 中淺 膚色
🤽🏽‍♀️	打水球 的 女人 ： 中等 膚色
🤽🏽‍♀	打水球 的 女人 ： 中等 膚色
🤽🏾‍♀️	打水球 的 女人 ： 中 深 膚色
🤽🏾‍♀	打水球 的 女人 ： 中 深 膚色
🤽🏿‍♀️	打水球 的 女人 ： 深色 膚色
🤽🏿‍♀	打水球 的 女人 ： 深色 膚色
🤾	打手球 的 人
🤾🏻	打手球 的 人 ： 淺膚色
🤾🏼	打手球 的 人 ： 中淺 膚色
🤾🏽	打手球 的 人 ： 中等 膚色
🤾🏾	打手球 的 人 ： 中 深 膚色
🤾🏿	打手球 的 人 ： 深色 膚色
🤾‍♂️	打手球 的 男人
🤾‍♂	打手球 的 男人
🤾🏻‍♂️	打手球 的 男人 ： 淺膚色
🤾🏻‍♂	打手球 的 男人 ： 淺膚色
🤾🏼‍♂️	打手球 的 男人 ： 中淺 膚色
🤾🏼‍♂	打手球 的 男人 ： 中淺 膚色
🤾🏽‍♂️	打手球 的 男人 ： 中等 膚色
🤾🏽‍♂	打手球 的 男人 ： 中等 膚色
🤾🏾‍♂️	打手球 的 男人 ： 中 深 膚色
🤾🏾‍♂	打手球 的 男人 ： 中 深 膚色
🤾🏿‍♂️	打手球 的 男人 ： 深色 膚色
🤾🏿‍♂	打手球 的 男人 ： 深色 膚色
🤾‍♀️	打手球 的 女人
🤾‍♀	打手球 的 女人
🤾🏻‍♀️	打手球 的 女人 ： 淺膚色
🤾🏻‍♀	打手球 的 女人 ： 淺膚色
🤾🏼‍♀️	打手球 的 女人 ： 中淺 膚色
🤾🏼‍♀	打手球 的 女人 ： 中淺 膚色
🤾🏽‍♀️	打手球 的 女人 ： 中等 膚色
🤾🏽‍♀	打手球 的 女人 ： 中等 膚色
🤾🏾‍♀️	打手球 的 女人 ： 中 深 膚色
🤾🏾‍♀	打手球 的 女人 ： 中 深 膚色
🤾🏿‍♀️	打手球 的 女人 ： 深色 膚色
🤾🏿‍♀	打手球 的 女人 ： 深色 膚色
🤹	雜耍 的 人
🤹🏻	玩 雜耍 的 人 ： 淺膚色
🤹🏼	玩 雜耍 的 人 ： 中淺 膚色
🤹🏽	玩 雜耍 的 人 ： 中等 膚色
🤹🏾	玩 雜耍 的 人 ： 中 深 膚色
🤹🏿	玩 雜耍 的 人 ： 深色 膚色
🤹‍♂️	男子 雜耍
🤹‍♂	男子 雜耍
🤹🏻‍♂️	男子 雜耍 ： 淺膚色
🤹🏻‍♂	男子 雜耍 ： 淺膚色
🤹🏼‍♂️	男子 雜耍 ： 中淺 膚色
🤹🏼‍♂	男子 雜耍 ： 中淺 膚色
🤹🏽‍♂️	男子 雜耍 ： 中等 膚色
🤹🏽‍♂	男子 雜耍 ： 中等 膚色
🤹🏾‍♂️	男子 雜耍 ： 中 深 膚色
🤹🏾‍♂	男子 雜耍 ： 中 深 膚色
🤹🏿‍♂️	男子 雜耍 ： 深色 膚色
🤹🏿‍♂	男子 雜耍 ： 深色 膚色
🤹‍♀️	女人 雜耍
🤹‍♀	女人 雜耍
🤹🏻‍♀️	女人 雜耍 ： 淺膚色
🤹🏻‍♀	女人 雜耍 ： 淺膚色
🤹🏼‍♀️	女人 雜耍 ： 中淺 膚色
🤹🏼‍♀	女人 雜耍 ： 中淺 膚色
🤹🏽‍♀️	女人 雜耍 ： 中等 膚色
🤹🏽‍♀	女人 雜耍 ： 中等 膚色
🤹🏾‍♀️	玩 雜耍 的 女人 ： 中黑 膚色
🤹🏾‍♀	玩 雜耍 的 女人 ： 中黑 膚色
🤹🏿‍♀️	女人 雜耍 ： 深色 膚色
🤹🏿‍♀	女人 雜耍 ： 深色 膚色
👫	男人 和 女人 手 牽手
👬	兩個 男人 手 牽手
👭	兩個 女人 手 牽手
💏	吻
👩‍❤️‍💋‍👨	接吻 ： 女人 、 男人
👩‍❤‍💋‍👨	接吻 ： 女人 、 男人
👨‍❤️‍💋‍👨	吻 ： 男人 ， 男人
👨‍❤‍💋‍👨	吻 ： 男人 ， 男人
👩‍❤️‍💋‍👩	吻 ： 女人 ， 女人
👩‍❤‍💋‍👩	吻 ： 女人 ， 女人
💑	情侶 與心
👩‍❤️‍👨	有心 的 夫妻 ： 女人 、 男人
👩‍❤‍👨	有心 的 夫妻 ： 女人 、 男人
👨‍❤️‍👨	情侶 與心 ： 男人 ， 男人
👨‍❤‍👨	情侶 與心 ： 男人 ， 男人
👩‍❤️‍👩	情侶 與心 : 女人 , 女人
👩‍❤‍👩	情侶 與心 : 女人 , 女人
👪	家庭
👨‍👩‍👦	家人 ： 男人 、 女人 、 男孩
👨‍👩‍👧	家人 ： 男人 、 女人 、 女孩
👨‍👩‍👧‍👦	家庭 ： 男人 、 女人 、 女孩 、 男孩
👨‍👩‍👦‍👦	家庭 ： 男人 、 女人 、 男孩 、 男孩
👨‍👩‍👧‍👧	家庭 ： 男人 、 女人 、 女孩 、 女孩
👨‍👨‍👦	家庭 ： 男人 、 男人 、 男孩
👨‍👨‍👧	家庭 ： 男人 、 男人 、 女孩
👨‍👨‍👧‍👦	家庭 ： 男人 、 男人 、 女孩 、 男孩
👨‍👨‍👦‍👦	家庭 ： 男人 ， 男人 ， 男孩 ， 男孩
👨‍👨‍👧‍👧	家庭 ： 男人 ， 男人 ， 女孩 ， 女孩
👩‍👩‍👦	家庭 ： 女人 、 女人 、 男孩
👩‍👩‍👧	家庭 ： 女人 、 女人 、 女孩
👩‍👩‍👧‍👦	家庭 ： 女人 、 女人 、 女孩 、 男孩
👩‍👩‍👦‍👦	家庭 ： 女人 ， 女人 ， 男孩 ， 男孩
👩‍👩‍👧‍👧	家庭 ： 女人 ， 女人 ， 女孩 ， 女孩
👨‍👦	家人 ： 男人 、 男孩
👨‍👦‍👦	家庭 ： 男人 、 男孩 、 男孩
👨‍👧	家人 ： 男 、 女
👨‍👧‍👦	家人 ： 男人 、 女孩 、 男孩
👨‍👧‍👧	家庭 ： 男人 、 女孩 、 女孩
👩‍👦	家人 ： 女人 、 男孩
👩‍👦‍👦	家庭 ： 女人 、 男孩 、 男孩
👩‍👧	家人 ： 女人 、 女孩
👩‍👧‍👦	家人 ： 女人 、 女孩 、 男孩
👩‍👧‍👧	家庭 ： 女人 、 女孩 、 女孩
🤳	自拍
🤳🏻	自拍 ： 淺膚色
🤳🏼	自拍 ： 中淺 膚色
🤳🏽	自拍 ： 中等 膚色
🤳🏾	自拍 ： 中 黑 膚色
🤳🏿	自拍 ： 深色 膚色
💪	彎曲 的 二頭肌
💪🏻	彎曲 的 二頭肌 ： 淺膚色
💪🏼	彎曲 的 二頭肌 ： 中淺 膚色
💪🏽	彎曲 的 二頭肌 ： 中等 膚色
💪🏾	彎曲 的 二頭肌 ： 中 深 膚色
💪🏿	彎曲 的 二頭肌 ： 深色 膚色
🦵	腿
🦵🏻	腿部 ： 淺膚色
🦵🏼	腿部 ： 中淺 膚色
🦵🏽	腿部 ： 中等 膚色
🦵🏾	腿部 ： 中黑 膚色
🦵🏿	腿部 ： 深色 膚色
🦶	腳
🦶🏻	腳 ： 淺 膚色
🦶🏼	腳 ： 中淺 膚色
🦶🏽	腳 ： 中等 膚色
🦶🏾	腳 ： 中 黑 膚色
🦶🏿	腳 ： 深色 膚色
👈	反手 食指 指向 左側
👈🏻	反手 食指 指向 左側 ： 淺 膚色
👈🏼	反手 食指 指向 左側 ： 中淺 膚色
👈🏽	反手 食指 指向 左側 ： 中等 膚色
👈🏾	反手 食指 指向 左側 ： 中 深 膚色
👈🏿	反手 食指 指向 左側 ： 深色 膚色
👉	反手 食指 指向 右側
👉🏻	反手 食指 指向 右側 ： 淺 膚色
👉🏼	反手 食指 指向 右側 ： 中淺 膚色
👉🏽	反手 食指 指向 右側 ： 中等 膚色
👉🏾	反手 食指 指向 右側 ： 中 黑 膚色
👉🏿	反手 食指 指向 右側 ： 深色 膚色
☝️	索引 向上
☝	索引 向上
☝🏻	索引 向上 ： 淺膚色
☝🏼	索引 向上 ： 中淺 膚色
☝🏽	索引 向上 ： 中等 膚色
☝🏾	索引 向上 ： 中黑 膚色
☝🏿	索引 向上 ： 深色 膚色
👆	反手 食指 向上
👆🏻	反手 食指 向上 ： 淺膚色
👆🏼	反手 食指 向上 ： 中淺 膚色
👆🏽	反手 食指 向上 ： 中等 膚色
👆🏾	反手 食指 朝上 ： 中黑 膚色
👆🏿	反手 食指 向上 ： 深色 膚色
🖕	中指
🖕🏻	中指 ： 淺膚色
🖕🏼	中指 ： 中淺 膚色
🖕🏽	中指 ： 中等 膚色
🖕🏾	中指 ： 中 黑 膚色
🖕🏿	中指 ： 深色 膚色
👇	反手 指數 朝下
👇🏻	反手 食指 朝下 ： 淺膚色
👇🏼	反手 食指 朝下 ： 中淺 膚色
👇🏽	反手 食指 朝下 ： 中等 膚色
👇🏾	反手 食指 朝下 ： 中 黑 膚色
👇🏿	反手 食指 朝下 ： 深色 膚色
✌️	勝利 之 手
✌	勝利 之 手
✌🏻	勝利 之 手 : 淺 膚色
✌🏼	勝利 之 手 ： 中淺 膚色
✌🏽	勝利 之 手 ： 中等 膚色
✌🏾	勝利 之 手 ： 中 黑 膚色
✌🏿	勝利 之 手 : 深色 膚色
🤞	交叉 手指
🤞🏻	交叉 手指 ： 淺膚色
🤞🏼	交叉 手指 ： 中淺 膚色
🤞🏽	交叉 手指 ： 中等 膚色
🤞🏾	交叉 手指 ： 中 黑 膚色
🤞🏿	交叉 手指 ： 深色 膚色
🖖	瓦肯 敬禮
🖖🏻	瓦肯 敬禮 : 淺 膚色
🖖🏼	瓦肯 敬禮 : 中 淺 膚色
🖖🏽	瓦肯 敬禮 : 中等 膚色
🖖🏾	瓦肯 敬禮 : 中 黑 膚色
🖖🏿	瓦肯 敬禮 : 深色 膚色
🤘	角 的 跡象
🤘🏻	角 的 標示 ： 淺 膚色
🤘🏼	角 的 標誌 ： 中淺 膚色
🤘🏽	角 的 標誌 ： 中等 膚色
🤘🏾	角 的 標誌 ： 中 黑 膚色
🤘🏿	角 的 標誌 ： 深色 膚色
🤙	叫 我 手
🤙🏻	請 叫 我 手 ： 淺 膚色
🤙🏼	請 叫 我 手 ： 中淺 膚色
🤙🏽	請 叫 我 手 ： 中等 膚色
🤙🏾	請 叫 我 手 ： 中 深 膚色
🤙🏿	請 叫 我 手 ： 深色 膚色
🖐️	手指 張開 的 手
🖐	手指 張開 的 手
🖐🏻	手指 張開 的 手 ： 淺 膚色
🖐🏼	手指 張開 的 手 ： 中淺 膚色
🖐🏽	手指 張開 的 手 ： 中等 膚色
🖐🏾	手指 張開 的 手 ： 中 深 膚色
🖐🏿	手指 張開 的 手 ： 深色 膚色
✋	舉起 手
✋🏻	舉起 的 手 ： 淺 膚色
✋🏼	舉起 的 手 ： 中淺 膚色
✋🏽	舉起 的 手 ： 中等 膚色
✋🏾	舉起 的 手 ： 中 黑 膚色
✋🏿	舉起 的 手 ： 深色 膚色
👌	好的 手
👌🏻	OK手 ： 淺 膚色
👌🏼	OK手 ： 中淺 膚色
👌🏽	OK手 ： 中等 膚色
👌🏾	OK手 ： 中 黑 膚色
👌🏿	OK手 ： 深色 膚色
👍	豎起 大拇指
👍🏻	豎起 大拇指 ： 淺膚色
👍🏼	豎起 大拇指 ： 中淺 膚色
👍🏽	豎起 大拇指 ： 中等 膚色
👍🏾	豎起 大拇指 ： 中 黑 膚色
👍🏿	豎起 大拇指 ： 深色 膚色
👎	不 看好
👎🏻	拇指 朝下 ： 淺膚色
👎🏼	拇指 朝下 ： 中淺 膚色
👎🏽	拇指 朝下 ： 中等 膚色
👎🏾	拇指 朝下 ： 中 黑 膚色
👎🏿	大拇指 朝下 ： 深色 膚色
✊	舉起 拳頭
✊🏻	舉起 拳頭 ： 淺 膚色
✊🏼	舉起 拳頭 ： 中淺 膚色
✊🏽	舉起 拳頭 ： 中等 膚色
✊🏾	舉起 拳頭 ： 中 黑 膚色
✊🏿	舉起 拳頭 ： 深色 膚色
👊	迎面而來 的 拳頭
👊🏻	迎面而來 的 拳頭 ： 淺 膚色
👊🏼	迎面而來 的 拳頭 ： 中淺 膚色
👊🏽	迎面而來 的 拳頭 ： 中等 膚色
👊🏾	迎面而來 的 拳頭 ： 中 黑 膚色
👊🏿	迎面而來 的 拳頭 ： 深色 膚色
🤛	左握拳
🤛🏻	左握拳 ： 淺 膚色
🤛🏼	向 左握拳 ： 中淺 膚色
🤛🏽	向 左握拳 ： 中等 膚色
🤛🏾	左握拳 ： 中 深 膚色
🤛🏿	向 左握拳 ： 深色 膚色
🤜	右拳
🤜🏻	向 右 握拳 ： 淺 膚色
🤜🏼	向 右 握拳 ： 中淺 膚色
🤜🏽	向 右 握拳 ： 中等 膚色
🤜🏾	向 右 的 拳頭 ： 中 深 膚色
🤜🏿	向 右 的 拳頭 ： 深色 膚色
🤚	舉起 手背
🤚🏻	凸起 的 手背 ： 淺 膚色
🤚🏼	凸起 的 手背 ： 中淺 膚色
🤚🏽	凸起 的 手背 ： 中等 膚色
🤚🏾	凸起 的 手背 ： 中 黑 膚色
🤚🏿	凸起 的 手背 ： 深色 膚色
👋	揮手
👋🏻	揮手 ： 淺 膚色
👋🏼	揮手 ： 中淺 膚色
👋🏽	揮手 ： 中等 膚色
👋🏾	揮手 ： 中 黑 膚色
👋🏿	揮手 ： 深色 膚色
🤟	愛 你 的 手勢
🤟🏻	愛 你 的 手勢 ： 淺 膚色
🤟🏼	愛 你 的 手勢 ： 中淺 膚色
🤟🏽	愛 你 的 手勢 ： 中等 膚色
🤟🏾	愛 你 的 手勢 ： 中 深 膚色
🤟🏿	愛 你 的 手勢 ： 深色 膚色
✍️	寫字 的 手
✍	寫字 的 手
✍🏻	寫字 的 手 ： 淺 膚色
✍🏼	寫字 的 手 ： 中淺 膚色
✍🏽	寫字 的 手 ： 中等 膚色
✍🏾	寫字 的 手 ： 中 黑 膚色
✍🏿	寫字 的 手 ： 深色 膚色
👏	拍手
👏🏻	拍手 ： 淺 膚色
👏🏼	拍手 ： 中淺 膚色
👏🏽	拍手 ： 中等 膚色
👏🏾	拍手 ： 中 黑 膚色
👏🏿	拍手 ： 深色 膚色
👐	張開 雙手
👐🏻	張開 雙手 ： 淺 膚色
👐🏼	張開 雙手 ： 中淺 膚色
👐🏽	張開 雙手 ： 中等 膚色
👐🏾	張開 雙手 ： 中 黑 膚色
👐🏿	張開 雙手 ： 深色 膚色
🙌	舉手
🙌🏻	舉手 ： 淺 膚色
🙌🏼	舉手 ： 中淺 膚色
🙌🏽	舉手 ： 中等 膚色
🙌🏾	舉手 ： 中 黑 膚色
🙌🏿	舉手 ： 深色 膚色
🤲	手掌 向上 併攏
🤲🏻	手掌 向上 ： 淺膚色
🤲🏼	手掌 向上 ： 中淺 膚色
🤲🏽	手掌 向上 ： 中等 膚色
🤲🏾	手掌 向上 ： 中黑 膚色
🤲🏿	手掌 向上 ： 深色 膚色
🙏	雙手合十
🙏🏻	雙手 合十 ： 淺 膚色
🙏🏼	雙手 合十 ： 中淺 膚色
🙏🏽	雙手 合十 ： 中等 膚色
🙏🏾	雙手 合十 ： 中 深 膚色
🙏🏿	雙手 合十 ： 深色 膚色
🤝	握手
💅	指甲油
💅🏻	指甲油 ： 淺 膚色
💅🏼	指甲油 ： 中淺 膚色
💅🏽	指甲油 : 中等 膚色
💅🏾	指甲油 ： 中 黑 膚色
💅🏿	指甲油 ： 深色 膚色
👂	耳朵
👂🏻	耳朵 ： 淺 膚色
👂🏼	耳朵 ： 中淺 膚色
👂🏽	耳朵 ： 中等 膚色
👂🏾	耳朵 ： 中 黑 膚色
👂🏿	耳朵 ： 深色 膚色
👃	鼻子
👃🏻	鼻子 ： 淺 膚色
👃🏼	鼻子 ： 中淺 膚色
👃🏽	鼻子 ： 中等 膚色
👃🏾	鼻子 ： 中 黑 膚色
👃🏿	鼻子 ： 深色 膚色
🦰	紅髮 的
🦱	捲髮 的
🦲	禿
🦳	白髮 的
👣	腳印
👀	眼睛
👁️	眼睛
👁	眼睛
👁️‍🗨️	講話 泡泡 中 的 眼睛
👁‍🗨️	講話 泡泡 中 的 眼睛
👁️‍🗨	講話 泡泡 中 的 眼睛
👁‍🗨	講話 泡泡 中 的 眼睛
🧠	腦
🦴	骨
🦷	齒
👅	舌頭
👄	嘴
💋	吻痕
💘	帶箭頭 的 心
❤️	紅心
❤	紅心
💓	跳動 的 心
💔	破碎 的 心
💕	兩 顆心
💖	閃閃 發光 的 心
💗	成長 的 心
💙	藍色 的 心
💚	綠心
💛	黃心
🧡	橘色 的 心
💜	紫心 勳章
🖤	黑心
💝	帶 絲帶 的 心
💞	旋轉 的 心
💟	心形 裝飾
❣️	心情 沉重 的 感嘆
❣	心情 沉重 的 感嘆
💌	愛情信
💤	茲茲
💢	憤怒 的 象徵
💣	炸彈
💥	碰撞
💦	汗水 滴
💨	匆匆 而 去
💫	暈眩 的
💬	語音 氣球
🗨️	左邊 的 語音 氣泡
🗨	左邊 的 語音 氣泡
🗯️	右 憤怒 泡沫
🗯	右 憤怒 泡沫
💭	思想 氣球
🕳️	洞
🕳	洞
👓	眼鏡
🕶️	太 陽 眼鏡
🕶	太 陽 眼鏡
🥽	風鏡
🥼	實驗 工作服
👔	領帶
👕	T恤
👖	牛仔褲
🧣	圍巾
🧤	手套
🧥	外套
🧦	襪子
👗	裙子
👘	和服
👙	比基尼
👚	女人 的 衣服
👛	錢包
👜	手提包
👝	手 抓 包包
🛍️	購物袋
🛍	購物袋
🎒	學校 背包
👞	男鞋
👟	跑鞋
🥾	登山靴
🥿	女 平底 鞋
👠	高跟鞋
👡	女式 涼鞋
👢	女式 靴子
👑	王冠
👒	女人 的 帽子
🎩	高頂 禮帽
🎓	畢業帽
🧢	計費 上限
⛑️	救援 人 員 的 頭盔
⛑	救援 人 員 的 頭盔
📿	念珠
💄	口紅
💍	戒指
💎	寶石
🐵	猴臉
🐒	猴
🦍	大猩猩
🐶	狗 臉
🐕	狗
🐩	貴賓犬
🐺	狼臉
🦊	狐狸臉
🦝	狸
🐱	貓臉
🐈	貓
🦁	獅子 臉
🐯	虎臉
🐅	老虎
🐆	豹
🐴	馬臉
🐎	馬
🦄	獨角 獸臉
🦓	斑馬
🦌	鹿
🐮	牛臉
🐂	牛
🐃	水牛
🐄	乳牛
🐷	豬臉
🐖	豬
🐗	公豬
🐽	豬 鼻子
🐏	記憶 體
🐑	母羊
🐐	山羊
🐪	駱駝
🐫	二駝峰 駱駝
🦙	駱駝
🦒	長頸鹿
🐘	大象
🦏	犀牛
🦛	河馬
🐭	老鼠 臉
🐁	老鼠
🐀	鼠
🐹	倉鼠 臉
🐰	兔臉
🐇	兔子
🐿️	花栗鼠
🐿	花栗鼠
🦔	刺蝟
🦇	蝙蝠
🐻	熊臉
🐨	無尾 熊
🐼	貓 熊臉
🦘	袋鼠
🦡	獾
🐾	掌印
🦃	火雞
🐔	雞
🐓	公雞
🐣	孵雞
🐤	小雞
🐥	正面 朝前 的 小雞
🐦	鳥
🐧	企鵝
🕊️	鴿子
🕊	鴿子
🦅	鷹
🦆	鴨子
🦢	天鵝
🦉	貓頭 鷹
🦚	孔雀
🦜	鸚鵡
🐸	青蛙 臉
🐊	鱷魚
🐢	龜
🦎	蜥蜴
🐍	蛇
🐲	龍臉
🐉	龍
🦕	蜥腳 類動物
🦖	霸王 龍
🐳	噴水 鯨魚
🐋	鯨
🐬	海豚
🐟	魚
🐠	熱帶 魚
🐡	河豚 魚
🦈	鯊魚
🐙	章魚
🐚	螺
🦀	螃蟹
🦞	龍蝦
🦐	蝦
🦑	烏賊
🐌	蝸牛
🦋	蝴蝶
🐛	漏洞
🐜	螞蟻
🐝	蜜蜂
🐞	瓢蟲
🦗	蟋蟀
🕷️	蜘蛛
🕷	蜘蛛
🕸️	蜘蛛 網
🕸	蜘蛛 網
🦂	蠍
🦟	蚊子
🦠	微生物
💐	花束
🌸	櫻花
💮	白色 的 花
🏵️	玫瑰 花結
🏵	玫瑰 花結
🌹	玫瑰
🥀	枯萎 的 花
🌺	芙蓉
🌻	向日葵
🌼	開花
🌷	鬱 金香
🌱	幼苗
🌲	常 綠樹
🌳	落葉 樹
🌴	棕櫚 樹
🌵	仙人掌
🌾	一 捆 米飯
🌿	草本植物
☘️	三葉草
☘	三葉草
🍀	四葉草
🍁	楓葉
🍂	落葉
🍃	樹葉 在 風 中 飄揚
🍇	葡萄
🍈	瓜
🍉	西瓜
🍊	柑橘
