😀	γελαστό πρόσωπο
👌🏿	ΟΚ χέρι: σκούρος τόνος δέρματος
👍	Μπράβο
👍🏻	μπράβο: ανοιχτόχρωμος τόνος δέρματος
👍🏼	μπράβο: μεσαίος-ανοιχτός τόνος δέρματος
👍🏽	μπράβο: μεσαίος τόνος δέρματος
👍🏾	μπράβο: μεσαίος-σκούρος τόνος δέρματος
👍🏿	μπράβο: σκούρος τόνος δέρματος
👎	αποδοκιμάζω
👎🏻	αντίχειρες προς τα κάτω: ανοιχτόχρωμος τόνος δέρματος
👎🏼	αντίχειρες προς τα κάτω: μεσαίος-ανοιχτός τόνος δέρματος
👎🏽	αντίχειρες προς τα κάτω: μεσαίος τόνος δέρματος
👎🏾	αντίχειρες προς τα κάτω: μεσαίος-σκούρος τόνος δέρματος
👎🏿	αντίχειρες προς τα κάτω: σκούρος τόνος δέρματος
✊	υψώθηκε η γροθιά
✊🏻	ανασηκωμένη γροθιά: ανοιχτόχρωμος τόνος δέρματος
✊🏼	ανασηκωμένη γροθιά: μεσαίος-ανοιχτός τόνος δέρματος
✊🏽	ανασηκωμένη γροθιά: μεσαίος τόνος δέρματος
✊🏾	ανασηκωμένη γροθιά: μεσαίος-σκούρος τόνος δέρματος
✊🏿	ανασηκωμένη γροθιά: σκούρος τόνος δέρματος
👊	επερχόμενη γροθιά
👊🏻	επερχόμενη γροθιά: ανοιχτόχρωμος τόνος δέρματος
👊🏼	επερχόμενη γροθιά: μεσαίος-ανοιχτός τόνος δέρματος
👊🏽	επερχόμενη γροθιά: μεσαίος τόνος δέρματος
👊🏾	επερχόμενη γροθιά: μεσαίος-σκούρος τόνος δέρματος
👊🏿	επερχόμενη γροθιά: σκούρος τόνος δέρματος
🤛	αριστερόστροφη γροθιά
🤛🏻	γροθιά στραμμένη προς τα αριστερά: ανοιχτόχρωμος τόνος δέρματος
🤛🏼	γροθιά στραμμένη προς τα αριστερά: μεσαίος-ανοιχτός τόνος δέρματος
🤛🏽	γροθιά στραμμένη προς τα αριστερά: μεσαίος τόνος δέρματος
🤛🏾	γροθιά στραμμένη προς τα αριστερά: μεσαίος-σκούρος τόνος δέρματος
🤛🏿	γροθιά στραμμένη προς τα αριστερά: σκούρος τόνος δέρματος
🤜	γροθιά που βλέπει προς τα δεξιά
🤜🏻	γροθιά που βλέπει προς τα δεξιά: ανοιχτόχρωμος τόνος δέρματος
🤜🏼	γροθιά με στραμμένη προς τα δεξιά: μεσαίος-ανοιχτός τόνος δέρματος
🤜🏽	γροθιά με στραμμένη προς τα δεξιά: μεσαίος τόνος δέρματος
🤜🏾	γροθιά με στραμμένη προς τα δεξιά: μεσαίος-σκούρος τόνος δέρματος
🤜🏿	γροθιά που βλέπει προς τα δεξιά: σκούρος τόνος δέρματος
🤚	σηκωμένο πίσω από το χέρι
🤚🏻	ανασηκωμένο το πίσω μέρος του χεριού: ανοιχτόχρωμος τόνος δέρματος
🤚🏼	ανασηκωμένο το πίσω μέρος του χεριού: μεσαίος-ανοιχτός τόνος δέρματος
🤚🏽	ανασηκωμένο πίσω μέρος του χεριού: μεσαίος τόνος δέρματος
🤚🏾	ανασηκωμένο το πίσω μέρος του χεριού: μεσαίος-σκούρος τόνος δέρματος
🤚🏿	ανασηκωμένο το πίσω μέρος του χεριού: σκούρος τόνος δέρματος
👋	κουνώντας το χέρι
👋🏻	κουνώντας το χέρι: ανοιχτόχρωμος τόνος δέρματος
👋🏼	χεράκι που κουνάει: μεσαίος-ανοιχτός τόνος δέρματος
👋🏽	κουνώντας χέρι: μεσαίος τόνος δέρματος
👋🏾	κουνώντας το χέρι: μεσαίος-σκούρος τόνος δέρματος
👋🏿	κουνώντας χέρι: σκούρος τόνος δέρματος
🤟	χειρονομία αγαπώ
🤟🏻	χειρονομία αγαπώ: ανοιχτόχρωμος τόνος δέρματος
🤟🏼	χειρονομία αγαπώ: μεσαίος-ανοιχτός τόνος δέρματος
🤟🏽	χειρονομία αγάπης: μεσαίος τόνος δέρματος
🤟🏾	χειρονομία αγαπώ: μεσαίος-σκούρος τόνος δέρματος
🤟🏿	χειρονομία αγαπώ: σκουρόχρωμος τόνος δέρματος
✍️	χέρι γραφής
✍	χέρι γραφής
✍🏻	χέρι γραφής: ανοιχτόχρωμος τόνος δέρματος
✍🏼	χέρι γραφής: μεσαίος-ανοιχτός τόνος δέρματος
✍🏽	χέρι γραφής: μεσαίος τόνος δέρματος
✍🏾	χέρι γραφής: μεσαίος-σκούρος τόνος δέρματος
✍🏿	χέρι γραφής: σκούρος τόνος δέρματος
👏	παλαμάκια
👏🏻	παλαμάκια: ανοιχτόχρωμος τόνος δέρματος
👏🏼	χειροκροτήματα: μεσαίος-ανοιχτός τόνος δέρματος
👏🏽	χειροκροτήματα: μεσαίος τόνος δέρματος
👏🏾	χειροκροτήματα: μεσαίος-σκούρος τόνος δέρματος
👏🏿	παλαμάκια: σκούρος τόνος δέρματος
👐	ανοιχτά χέρια
👐🏻	ανοιχτά χέρια: ανοιχτόχρωμος τόνος δέρματος
👐🏼	ανοιχτά χέρια: μεσαίος-ανοιχτός τόνος δέρματος
👐🏽	ανοιχτά χέρια: μεσαίος τόνος δέρματος
👐🏾	ανοιχτά χέρια: μεσαίος-σκούρος τόνος δέρματος
👐🏿	ανοιχτά χέρια: σκούρος τόνος δέρματος
🙌	σηκώνοντας τα χέρια
🙌🏻	σηκώνοντας τα χέρια: ανοιχτόχρωμος τόνος δέρματος
🙌🏼	σηκώνοντας τα χέρια: μεσαίος-ανοιχτός τόνος δέρματος
🙌🏽	σηκώνοντας τα χέρια: μεσαίος τόνος δέρματος
🙌🏾	σηκώνοντας τα χέρια: μεσαίος-σκούρος τόνος δέρματος
🙌🏿	σηκώνοντας τα χέρια: σκούρος τόνος δέρματος
🤲	τις παλάμες μαζί
🤲🏻	οι παλάμες μαζί: ανοιχτόχρωμος τόνος δέρματος
🤲🏼	παλάμες προς τα πάνω: μεσαίος-ανοιχτός τόνος δέρματος
🤲🏽	παλάμες προς τα πάνω: μεσαίος τόνος δέρματος
🤲🏾	παλάμες προς τα πάνω: μεσαίος-σκούρος τόνος δέρματος
🤲🏿	παλάμες προς τα επάνω: σκούρος τόνος δέρματος
🙏	σταυρωμένα χέρια
🙏🏻	σταυρωμένα χέρια: ανοιχτόχρωμος τόνος δέρματος
🙏🏼	σταυρωμένα χέρια: μεσαίος-ανοιχτός τόνος δέρματος
🙏🏽	σταυρωμένα χέρια: μεσαίος τόνος δέρματος
🙏🏾	σταυρωμένα χέρια: μεσαίος-σκούρος τόνος δέρματος
🙏🏿	διπλωμένα χέρια: σκούρος τόνος δέρματος
🤝	χειραψία
💅	βερνίκι νυχιών
💅🏻	βερνίκι νυχιών: ανοιχτόχρωμη επιδερμίδα
💅🏼	βερνίκι νυχιών: μεσαίος-ανοιχτός τόνος δέρματος
💅🏽	βερνίκι νυχιών: μεσαίος τόνος δέρματος
💅🏾	βερνίκι νυχιών: μεσαίος-σκούρος τόνος δέρματος
💅🏿	βερνίκι νυχιών: σκούρος τόνος δέρματος
👂	αυτί
👂🏻	αυτί: ανοιχτόχρωμος τόνος δέρματος
👂🏼	αυτί: μεσαίος-ανοιχτός τόνος δέρματος
👂🏽	αυτί: μεσαίος τόνος δέρματος
👂🏾	αυτί: μεσαίος-σκούρος τόνος δέρματος
👂🏿	αυτί: σκούρος τόνος δέρματος
👃	μύτη
👃🏻	μύτη: ανοιχτόχρωμος τόνος δέρματος
👃🏼	μύτη: μεσαίος-ανοιχτός τόνος δέρματος
👃🏽	μύτη: μεσαίος τόνος δέρματος
👃🏾	μύτη: μεσαίος-σκούρος τόνος δέρματος
👃🏿	μύτη: σκούρος τόνος δέρματος
🦰	κοκκινομάλλης
🦱	σγουρομάλλης
🦲	φαλακρός
🦳	ασπρομάλλης
👣	πατημασιές
👀	μάτια
👁️	μάτι
👁	μάτι
👁️‍🗨️	μάτι σε συννεφάκι ομιλίας
👁‍🗨️	μάτι σε συννεφάκι ομιλίας
👁️‍🗨	μάτι στο συννεφάκι ομιλίας
👁‍🗨	μάτι στο συννεφάκι ομιλίας
🧠	εγκέφαλος
🦴	οστό
🦷	δόντι
👅	γλώσσα
👄	στόμα
💋	σημάδι από φιλί
💘	καρδιά με βέλος
❤️	κόκκινη καρδιά
❤	κόκκινη καρδιά
💓	καρδιά που χτυπά
💔	ραγισμένη καρδιά
💕	δύο καρδιές
💖	αστραφτερή καρδιά
💗	αυξανόμενη καρδιά
💙	μπλε καρδιά
💚	πράσινη καρδιά
💛	κίτρινη καρδιά
🧡	πορτοκαλί καρδιά
💜	μωβ καρδιά
🖤	μαύρη καρδιά
💝	καρδιά με κορδέλα
💞	περιστρεφόμενες καρδιές
💟	διακόσμηση καρδιάς
❣️	βαριά καρδιά επιφώνημα
❣	βαριά καρδιά επιφώνημα
💌	γράμμα αγάπης
💤	zzz
💢	σύμβολο θυμού
💣	βόμβα
💥	σύγκρουση
💦	σταγονίδια ιδρώτα
💨	ορμώντας μακριά
💫	ζαλισμένος
💬	μπαλόνι ομιλίας
🗨️	αριστερό συννεφάκι ομιλίας
🗨	αριστερό συννεφάκι ομιλίας
🗯️	σωστή φούσκα θυμού
🗯	σωστή φούσκα θυμού
💭	μπαλόνι σκέψης
🕳️	τρύπα
🕳	τρύπα
👓	Γυαλιά
🕶️	γυαλιά ηλίου
🕶	γυαλιά ηλίου
🥽	μεγάλα ματογυαλιά
🥼	ιατρική ρόμπα
👔	γραβάτα
👕	Κοντομάνικη μπλούζα
👖	τζιν παντελονι
🧣	κασκόλ
🧤	γάντια
🧥	παλτό
🧦	κάλτσες
👗	φόρεμα
👘	κιμονό
👙	μπικίνι
👚	γυναικεία ενδύματα
👛	πορτοφόλι
👜	τσάντα
👝	τσάντα συμπλέκτη
🛍️	τσάντες για ψώνια
🛍	τσάντες για ψώνια
🎒	σχολικό σακίδιο
👞	ανδρικό παπούτσι
👟	παπούτσια τρεξίματος
🥾	μπότα πεζοπορίας
🥿	γυναικείο επίπεδο παπούτσι
👠	ψηλοτάκουνο παπούτσι
👡	γυναικείο σανδάλι
👢	γυναικεία μπότα
👑	στέμμα
👒	γυναικείο καπέλο
🎩	ημίψηλο
🎓	καπάκι αποφοίτησης
🧢	τιμολογημένο καπάκι
⛑️	κράνος εργάτη διάσωσης
⛑	κράνος εργάτη διάσωσης
📿	χάντρες προσευχής
💄	κραγιόν
💍	δαχτυλίδι
💎	πολύτιμος λίθος
🐵	πρόσωπο μαϊμού
🐒	Πίθηκος
🦍	γορίλλας
🐶	σκυλόφατσα
🐕	σκύλος
🐩	σγουρόμαλλο σκυλάκι
🐺	πρόσωπο λύκου
🦊	πρόσωπο αλεπούς
🦝	ρακούν
🐱	πρόσωπο γάτας
🐈	Γάτα
🦁	πρόσωπο λιονταριού
🐯	πρόσωπο τίγρης
🐅	τίγρη
🐆	λεοπάρδαλη
🐴	πρόσωπο αλόγου
🐎	άλογο
🦄	πρόσωπο μονόκερου
🦓	ζέβρα
🦌	ελάφι
🐮	πρόσωπο αγελάδας
🐂	βόδι
🐃	νεροβουβαλο
🐄	αγελάδα
🐷	πρόσωπο χοίρου
🐖	Χοίρος
🐗	κάπρος
🐽	μύτη χοίρου
🐏	έμβολο
🐑	προβατίνα
🐐	γίδα
🐪	καμήλα
🐫	καμήλα με δύο καμπούρες
🦙	είδος μικρής καμήλας
🦒	καμηλοπάρδαλη
🐘	ελέφαντας
🦏	ρινόκερως
🦛	ιπποπόταμος
🐭	πρόσωπο ποντικιού
🐁	ποντίκι
🐀	αρουραίος
🐹	πρόσωπο χάμστερ
🐰	πρόσωπο κουνελιού
🐇	κουνέλι
🐿️	είδος σκίουρου
🐿	είδος σκίουρου
🦔	Σκατζόχοιρος
🦇	νυχτερίδα
🐻	πρόσωπο αρκούδας
🐨	δενδρόβιο ζώο της αυστραλίας
🐼	πρόσωπο panda
🦘	καγκουρώ
🦡	ασβός
🐾	αποτυπώματα ποδιών
🦃	Τουρκία
🐔	κοτόπουλο
🐓	πετεινός
🐣	νεοσσός που εκκολάπτεται
🐤	γκόμενος
🐥	μωρό γκόμενο που βλέπει μπροστά
🐦	πουλί
🐧	πιγκουίνος
🕊️	περιστέρι
🕊	περιστέρι
🦅	αετός
🦆	πάπια
🦢	κύκνος
🦉	κουκουβάγια
🦚	παγώνι
🦜	παπαγάλος
🐸	πρόσωπο βατράχου
🐊	κροκόδειλος
🐢	χελώνα
🦎	σαύρα
🐍	φίδι
🐲	πρόσωπο δράκου
🐉	δράκων
🦕	σαυρόποδα
🦖	T-Rex
🐳	εκτοξευόμενη φάλαινα
🐋	φάλαινα
🐬	δελφίνι
🐟	ψάρι
🐠	τροπικό ψάρι
🐡	φυσητόψαρο
🦈	καρχαρίας
🐙	χταπόδι
🐚	σπειροειδές κέλυφος
🦀	Κάβουρας
🦞	αστακός
🦐	γαρίδα
🦑	καλαμάρι
🐌	σαλιγκάρι
🦋	πεταλούδα
🐛	έντομο
🐜	μυρμήγκι
🐝	μέλισσα
🐞	κυρία σκαθάρι
🦗	κρίκετ
🕷️	αράχνη
🕷	αράχνη
🕸️	ιστός αράχνης
🕸	ιστός αράχνης
🦂	σκορπιός
🦟	κουνούπι
🦠	μικρόβιο
💐	μπουκέτο
🌸	άνθος κερασιάς
💮	λευκό λουλούδι
🏵️	ροζέτα
🏵	ροζέτα
🌹	τριαντάφυλλο
🥀	μαραμένο λουλούδι
🌺	υβίσκος
🌻	ηλιοτρόπιο
🌼	άνθος
🌷	τουλίπα
🌱	σπορόφυτο
🌲	αειθαλές δέντρο
🌳	φυλλοβόλο δέντρο
🌴	φοίνικας
🌵	κάκτος
🌾	φύλλο ρυζιού
🌿	βότανο
☘️	τριφύλλι
☘	τριφύλλι
🍀	τετράφυλλο τριφύλλι
🍁	φύλλο σφενδάμου
🍂	πεσμένο φύλλο
🍃	φύλλο που κυματίζει στον άνεμο
🍇	σταφύλια
🍈	πεπόνι
🍉	καρπούζι
🍊	μανταρίνι
🍋	λεμόνι
🍌	μπανάνα
🍍	ανανάς
🥭	μάνγκο
🍎	κόκκινο μήλο
🍏	πράσινο μήλο
🍐	αχλάδι
🍑	ροδάκινο
🍒	κεράσια
🍓	φράουλα
🥝	ακτινίδια
🍅	ντομάτα
🥥	καρύδα
🥑	αβοκάντο
🍆	μελιτζάνα
🥔	πατάτα
🥕	καρότο
🌽	στάχυ
🌶️	καυτή πιπεριά
🌶	καυτή πιπεριά
🥒	αγγούρι
🥬	φυλλώδες πράσινο
🥦	μπρόκολο
🍄	μανιτάρι
🥜	φιστίκια
🌰	κάστανο
🍞	ψωμί
🥐	κρουασάν
🥖	ψωμί μπαγκέτα
🥨	κουλουράκι
🥯	κουλούρι
🥞	τηγανίτες
🧀	σφήνα τυριού
🍖	κρέας στα κόκαλα
🍗	μπούτι πουλερικών
🥩	κομμένο κρέας
🥓	μπέικον
🍔	χάμπουργκερ
🍟	τηγανιτές πατάτες
🍕	πίτσα
🌭	λουκάνικο
🥪	σάντουιτς
🌮	τάκο
🌯	μπουρίτο
🥙	γεμιστό ψωμί
🥚	αυγό
🍳	μαγείρεμα
🥘	ρηχό τηγάνι με φαγητό
🍲	κατσαρόλα με φαγητό
🥣	μπολ με κουτάλι
🥗	πράσινη σαλάτα
🍿	ποπ κορν
🧂	άλας
🥫	κονσερβοποιημένα τρόφιμα
🍱	μπέντο κουτί
🍘	κροτίδα ρυζιού
🍙	μπαλα ΡΥΖΙΟΥ
🍚	μαγειρεμένο ρύζι
🍛	ρύζι κάρυ
🍜	μπολ στον ατμό
🍝	μακαρόνια
🍠	ψητή γλυκοπατάτα
🍢	oden
🍣	σούσι
🍤	τηγανητές γαρίδες
🍥	κέικ ψαριών με στροβιλισμό
🥮	κέικ φεγγαριού
🍡	ντάγκο
🥟	είδος ζυμαρικών
🥠	μπισκότο τύχης
🥡	κουτί σε πακέτο
🍦	μαλακό παγωτό
🍧	ξυρισμένος πάγος
🍨	παγωτό
🍩	ντόνατ
🍪	κουλουράκι
🎂	τούρτα γενεθλίων
🍰	φρουτόπιτα
🧁	κεκάκι
🥧	πίτα
🍫	μπάρα σοκολάτας
🍬	καραμέλα
🍭	γλειφιτζούρι
🍮	κρέμα
🍯	δοχείο μελιού
🍼	μπιμπερό
🥛	ποτήρι γάλα
☕	ζεστό ρόφημα
🍵	φλιτζάνι τσαγιού χωρίς λαβή
🍶	χάρη
🍾	μπουκάλι με φελλό
🍷	κρασοπότηρο
🍸	ποτήρι κοκτέιλ
🍹	τροπικό ποτό
🍺	κούπα μπύρας
🍻	τσουγκρίζοντας κούπες μπύρας
🥂	τσουγκρίζοντας ποτήρια
🥃	ποτήρι ποτηριού
🥤	φλιτζάνι με καλαμάκι
🥢	ξυλάκια
🍽️	πιρούνι και μαχαίρι με πιάτο
🍽	πιρούνι και μαχαίρι με πιάτο
🍴	πιρούνι και μαχαίρι
🥄	κουτάλι
🔪	κουζινομάχαιρο
🏺	αμφορέας
🌍	υδρόγειο που δείχνει Ευρώπη-Αφρική
🌎	σφαίρα που δείχνει την Αμερική
🌏	σφαίρα που δείχνει την Ασία-Αυστραλία
🌐	υδρόγειο με μεσημβρινούς
🗺️	ΠΑΓΚΟΣΜΙΟΣ ΧΑΡΤΗΣ
🗺	ΠΑΓΚΟΣΜΙΟΣ ΧΑΡΤΗΣ
🗾	χάρτης της Ιαπωνίας
🧭	πυξίδα
🏔️	χιονισμένο βουνό
🏔	χιονισμένο βουνό
⛰️	βουνό
⛰	βουνό
🌋	ηφαίστειο
🗻	βουνό Φούτζι
🏕️	κατασκήνωση
🏕	κατασκήνωση
🏖️	παραλία με ομπρέλα
🏖	παραλία με ομπρέλα
🏜️	έρημος
🏜	έρημος
🏝️	έρημο νησί
🏝	έρημο νησί
🏞️	ΕΘΝΙΚΟ ΠΑΡΚΟ
🏞	ΕΘΝΙΚΟ ΠΑΡΚΟ
🏟️	στάδιο
🏟	στάδιο
🏛️	κλασικό κτίριο
🏛	κλασικό κτίριο
🏗️	κατασκευή κτηρίου
🏗	κατασκευή κτηρίου
🧱	τούβλα
🏘️	σπίτια
🏘	σπίτια
🏚️	ερειπωμένο σπίτι
🏚	ερειπωμένο σπίτι
🏠	σπίτι
🏡	σπίτι με κήπο
🏢	κτίριο γραφείων
🏣	Ιαπωνικό ταχυδρομείο
🏤	ταχυδρομείο
🏥	νοσοκομείο
🏦	τράπεζα
🏨	ξενοδοχειο
🏩	ξενοδοχείο αγάπης
🏪	παντοπωλείο
🏫	σχολείο
🏬	πολυκατάστημα
🏭	εργοστάσιο
🏯	Ιαπωνικό κάστρο
🏰	κάστρο
💒	γάμος
🗼	Πύργος του Τόκιο
🗽	Αγαλμα της ελευθερίας
⛪	Εκκλησία
🕌	τζαμί
🕍	συναγωγή
⛩️	σιντοϊσμός
⛩	σιντοϊσμός
🕋	κάαμπα
⛲	κρήνη
⛺	σκηνή
🌁	ομιχλώδης
🌃	νύχτα με αστέρια
🏙️	αστικό τοπίο
🏙	αστικό τοπίο
🌄	ανατολή του ηλίου πάνω από τα βουνά
🌅	Ανατολή ηλίου
🌆	αστικό τοπίο το σούρουπο
🌇	η δυση του ηλιου
🌉	γέφυρα τη νύχτα
♨️	θερμοπηγές
♨	θερμοπηγές
🌌	Γαλαξίας
🎠	άλογο καρουζέλ
🎡	ΡΟΔΑ του λουνα παρκ
🎢	τρενάκι του λούνα παρκ
💈	κουρέας κοντάρι
🎪	σκηνή τσίρκου
🚂	ατμομηχανή σιδηροδρόμου
🚃	σιδηροδρομικό αυτοκίνητο
🚄	τρένο υψηλής ταχύτητας
🚅	τρένο με σφαίρες
🚆	τρένο
🚇	μετρό
🚈	ελαφρύ σιδηρόδρομο
🚉	σταθμός
🚊	τραμ
🚝	μονόγραμμος
🚞	ορεινός σιδηρόδρομος
🚋	αυτοκίνητο τραμ
🚌	λεωφορείο
🚍	επερχόμενο λεωφορείο
🚎	τρόλεϊ
🚐	μικρό λεωφορείο
🚑	ασθενοφόρο
🚒	πυροσβεστικό όχημα
🚓	αυτοκίνητο αστυνομίας
🚔	επερχόμενο περιπολικό
🚕	ταξί
🚖	επερχόμενο ταξί
🚗	αυτοκίνητο
🚘	επερχόμενο αυτοκίνητο
🚙	Όχημα σπορ χρήσης
🚚	Φορτηγό διανομής
🚛	αρθρωτό φορτηγό
🚜	τρακτέρ
🚲	ποδήλατο
🛴	κλωτσιά σκούτερ
🛹	skateboard
🛵	μηχανοκίνητο σκούτερ
🚏	στάση λεωφορείου
🛣️	αυτοκινητόδρομο
🛣	αυτοκινητόδρομο
🛤️	σιδηροδρομική γραμμή
🛤	σιδηροδρομική γραμμή
🛢️	βαρέλι λαδιού
🛢	βαρέλι λαδιού
⛽	αντλία καυσίμου
🚨	φως αυτοκινήτου της αστυνομίας
🚥	οριζόντιο φανάρι
🚦	κατακόρυφο φανάρι
🛑	σήμα στοπ
🚧	κατασκευή
⚓	άγκυρα
⛵	ιστιοφόρο
🛶	κανό
🚤	ταχεία βενζινάκατος
🛳️	επιβατηγό πλοίο
🛳	επιβατηγό πλοίο
⛴️	πορθμείο
⛴	πορθμείο
🛥️	μηχανοκίνητο σκάφος
🛥	μηχανοκίνητο σκάφος
🚢	πλοίο
✈️	αεροπλάνο
✈	αεροπλάνο
🛩️	μικρό αεροπλάνο
🛩	μικρό αεροπλάνο
🛫	αναχώρηση αεροπλάνου
🛬	άφιξη αεροπλάνου
💺	έδρα
🚁	ελικόπτερο
🚟	σιδηρόδρομος ανάρτησης
🚠	ορεινό τελεφερίκ
🚡	εναέριο τραμ
🛰️	δορυφόρος
🛰	δορυφόρος
🚀	ρουκέτα
🛸	ιπτάμενος δίσκος
🛎️	κουδούνι bellhop
🛎	κουδούνι κουδουνιού
🧳	αποσκευές
⌛	έγινε κλεψύδρα
⏳	κλεψύδρα δεν έγινε
⌚	παρακολουθώ
⏰	ξυπνητηρι
⏱️	χρονόμετρο
⏱	χρονόμετρο
⏲️	ρολόι με χρονοδιακόπτη
⏲	ρολόι με χρονοδιακόπτη
🕰️	ρολόι με τζάμι
🕰	ρολόι με τζάμι
🕛	δώδεκα
🕧	δώδεκα και τριάντα
🕐	μια η ώρα
🕜	ένα τριάντα
🕑	δύο η ώρα
🕝	δύο και μισή
🕒	τρεις η ώρα
🕞	τρία τριάντα
🕓	τέσσερις η ώρα
🕟	τέσσερα τριάντα
🕔	πέντε ακριβώς
🕠	πέντε τριάντα
🕕	έξι ηώρα
🕡	έξι και μισή
🕖	επτά η ώρα
🕢	Εφτά και μισή
🕗	οκτώ
🕣	οκτώ και μισή
🕘	εννιά
🕤	εννέα και τριάντα
🕙	δέκα ακριβώς
🕥	δέκα και μισή
🕚	έντεκα η ώρα
🕦	έντεκα και τριάντα
🌑	νέα Σελήνη
🌒	αυξανόμενη μισοφέγγαρο
🌓	πρώτο τέταρτο φεγγάρι
🌔	φουσκωτό φεγγάρι
🌕	Πανσέληνος
🌖	φθίνουσα αγχώδης σελήνη
🌗	τελευταίο τέταρτο φεγγάρι
🌘	μισοφέγγαρο που φθίνει
🌙	Μισοφέγγαρο
🌚	πρόσωπο της νέας σελήνης
🌛	πρόσωπο φεγγαριού πρώτο τέταρτο
🌜	πρόσωπο φεγγαριού τελευταίο τέταρτο
🌡️	θερμόμετρο
🌡	θερμόμετρο
☀️	ήλιος
☀	ήλιος
🌝	πρόσωπο με πανσέληνο
🌞	ήλιος με πρόσωπο
⭐	αστέρι
🌟	λαμπερό αστέρι
🌠	πεφταστέρι
☁️	σύννεφο
☁	σύννεφο
⛅	ήλιος πίσω από σύννεφο
⛈️	σύννεφο με αστραπές και βροχή
⛈	σύννεφο με αστραπές και βροχή
🌤️	ήλιος πίσω από μικρό σύννεφο
🌤	ήλιος πίσω από μικρό σύννεφο
🌥️	ήλιος πίσω από το μεγάλο σύννεφο
🌥	ήλιος πίσω από το μεγάλο σύννεφο
🌦️	ήλιος πίσω από σύννεφο βροχής
🌦	ήλιος πίσω από σύννεφο βροχής
🌧️	σύννεφο με βροχή
🌧	σύννεφο με βροχή
🌨️	σύννεφο με χιόνι
🌨	σύννεφο με χιόνι
🌩️	σύννεφο με αστραπές
🌩	σύννεφο με αστραπές
🌪️	ανεμοστρόβιλος
🌪	ανεμοστρόβιλος
🌫️	ομίχλη
🌫	ομίχλη
🌬️	πρόσωπο του ανέμου
🌬	πρόσωπο του ανέμου
🌀	κυκλώνας
🌈	ΟΥΡΑΝΙΟ ΤΟΞΟ
🌂	κλειστή ομπρέλα
☂️	ομπρέλα
☂	ομπρέλα
☔	ομπρέλα με σταγόνες βροχής
⛱️	ομπρέλα στο έδαφος
⛱	ομπρέλα στο έδαφος
⚡	υψηλής τάσης
❄️	νιφάδα χιονιού
❄	νιφάδα χιονιού
☃️	χιονάνθρωπος
☃	χιονάνθρωπος
⛄	χιονάνθρωπος χωρίς χιόνι
☄️	κομήτης
☄	κομήτης
🔥	Φωτιά
💧	σταγονίδιο
🌊	κύμα νερού
🎃	Τζακ ο 'λάντερν
🎄	χριστουγεννιάτικο δέντρο
🎆	πυροτεχνήματα
🎇	αδαμάντας
🧨	κροτίδα
✨	αστράφτει
🎈	μπαλόνι
🎉	πάρτι πόπερ
🎊	μπάλα κομφετί
🎋	δέντρο tanabata
🎍	διακόσμηση πεύκου
🎎	Γιαπωνέζικες κούκλες
🎏	κυπρίνος σερπαντίνα
🎐	άνεμος
🎑	τελετή παρατήρησης φεγγαριού
🧧	κόκκινος φάκελος
🎀	ταινία
🎁	τυλιγμένο δώρο
🎗️	κορδέλα υπενθύμισης
🎗	κορδέλα υπενθύμισης
🎟️	εισιτήρια εισόδου
🎟	εισιτήρια εισόδου
🎫	εισιτήριο
🎖️	στρατιωτικό μετάλλιο
🎖	στρατιωτικό μετάλλιο
🏆	τρόπαιο
🏅	αθλητικό μετάλλιο
🥇	1η θέση μετάλλιο
🥈	2η θέση μετάλλιο
🥉	3η θέση μετάλλιο
⚽	μπάλα ποδοσφαίρου
⚾	μπέιζμπολ
🥎	σόφτμπολ
🏀	μπάσκετ
🏐	βόλεϊ
🏈	αμερικάνικο ποδόσφαιρο
🏉	ποδόσφαιρο ράγκμπι
🎾	τένις
🥏	ιπτάμενος δίσκος
🎳	μπόουλινγκ
🏏	παιχνίδι κρίκετ
🏑	χόκεϊ επί χόρτου
🏒	χόκεϊ στον παγο
🥍	λακρός
🏓	πινγκ πονγκ
🏸	παιγνίδι όμοιο με τέννις
🥊	γάντι του μποξ
🥋	στολή πολεμικών τεχνών
🥅	δίχτυ τέρματος
⛳	σημαία στην τρύπα
⛸️	παγοπέδιλο
⛸	παγοπέδιλο
🎣	καλάμι ψαρέματος
🎽	πουκάμισο για τρέξιμο
🎿	σκι
🛷	έλκηθρο
🥌	πέτρα για μπούκλες
🎯	άμεσο χτύπημα
🎱	πισίνα 8 μπάλα
🔮	γυάλινη σφαίρα
🧿	φυλαχτό ναζάρ
🎮	βιντεοπαιχνίδι
🕹️	χειριστήριο
🕹	χειριστήριο
🎰	κουλοχέρης
🎲	παιχνίδι πεθάνει
🧩	λεπτό πριόνι
🧸	αρκουδάκι
♠️	φτυάρι
♠	φτυάρι
♥️	στολή καρδιάς
♥	στολή καρδιάς
♦️	διαμαντένιο κοστούμι
♦	διαμαντένιο κοστούμι
♣️	κοστούμι κλαμπ
♣	κοστούμι κλαμπ
♟️	πιόνι σκακιού
♟	πιόνι σκακιού
🃏	τζόκερ
🀄	κόκκινος δράκος mahjong
🎴	λουλούδια τραπουλόχαρτα
🎭	τέχνες του θεάματος
🖼️	εικόνα με κορνίζα
🖼	εικόνα με κορνίζα
🎨	παλέτα καλλιτέχνη
🧵	Νήμα
🧶	νήμα
🔇	σίγαση ηχείου
🔈	ηχείο χαμηλή ένταση
