😀	হাসিমুখ
👌🏻	ঠিক আছে হাত: হালকা ত্বকের রঙ
👌🏼	ঠিক আছে হাত: মাঝারি-হালকা ত্বকের রঙ
👌🏽	ঠিক আছে হাত: মাঝারি ত্বকের রঙ
👌🏾	ঠিক আছে হাত: মাঝারি-গাঢ় ত্বক
👌🏿	ঠিক আছে হাত: গাঢ় ত্বকের রং
👍	থাম্বস আপ
👍🏻	থাম্বস আপ: হালকা ত্বকের রঙ
👍🏼	থাম্বস আপ: মাঝারি-হালকা ত্বকের রঙ
👍🏽	থাম্বস আপ: মাঝারি ত্বকের রঙ
👍🏾	থাম্বস আপ: মাঝারি-গাঢ় ত্বকের রঙ
👍🏿	থাম্বস আপ: কালো ত্বকের রং
👎	হতাশা
👎🏻	থাম্বস ডাউন: হালকা ত্বকের রঙ
👎🏼	থাম্বস ডাউন: মাঝারি-হালকা ত্বকের রঙ
👎🏽	থাম্বস ডাউন: মাঝারি ত্বকের রঙ
👎🏾	থাম্বস ডাউন: মাঝারি-গাঢ় ত্বকের রঙ
👎🏿	থাম্বস ডাউন: কালো ত্বকের রং
✊	উত্থাপিত মুষ্টি
✊🏻	উত্থিত মুষ্টি: ত্বকের হালকা রঙ
✊🏼	উত্থিত মুষ্টি: মাঝারি-হালকা ত্বকের রঙ
✊🏽	উত্থিত মুষ্টি: মাঝারি ত্বকের রঙ
✊🏾	উত্থিত মুষ্টি: মাঝারি-গাঢ় ত্বকের রঙ
✊🏿	উত্থিত মুষ্টি: কালো ত্বকের রঙ
👊	আসন্ন মুষ্টি
👊🏻	আগত মুষ্টি: হালকা ত্বকের রঙ
👊🏼	আসন্ন মুষ্টি: মাঝারি-হালকা ত্বকের রঙ
👊🏽	আসন্ন মুষ্টি: মাঝারি ত্বকের রঙ
👊🏾	আসন্ন মুষ্টি: মাঝারি-গাঢ় ত্বকের রঙ
👊🏿	আসন্ন মুষ্টি: কালো ত্বকের রঙ
🤛	বাম-মুখী মুষ্টি
🤛🏻	বামমুখী মুষ্টি: ত্বকের হালকা রঙ
🤛🏼	বাম-মুখী মুষ্টি: মাঝারি-হালকা ত্বকের রঙ
🤛🏽	বাম দিকে মুখ করা মুষ্টি: মাঝারি ত্বকের রঙ
🤛🏾	বাম-মুখী মুষ্টি: মাঝারি-গাঢ় ত্বকের রঙ
🤛🏿	বাম-মুখী মুষ্টি: কালো ত্বকের রঙ
🤜	ডান-মুখী মুষ্টি
🤜🏻	ডান দিকে মুখ করা মুষ্টি: হালকা ত্বকের রঙ
🤜🏼	ডান দিকে মুখ করা মুষ্টি: মাঝারি-হালকা ত্বকের রঙ
🤜🏽	ডান দিকে মুখ করা মুষ্টি: মাঝারি ত্বকের রঙ
🤜🏾	ডান দিকে মুখ করা মুষ্টি: মাঝারি-গাঢ় ত্বকের রঙ
🤜🏿	ডান দিকে মুখ করা মুষ্টি: কালো ত্বকের রঙ
🤚	হাত পিছনে উত্থাপিত
🤚🏻	হাতের পিছনের দিকে উত্থাপিত: হালকা ত্বকের রঙ
🤚🏼	হাতের পিছনের দিকে উত্থিত: মাঝারি-হালকা ত্বকের রঙ
🤚🏽	হাতের পিছন দিকে উত্থিত: মাঝারি ত্বকের রঙ
🤚🏾	হাতের পিছন দিকে উত্থিত: মাঝারি-গাঢ় ত্বকের রঙ
🤚🏿	হাতের পিছনের দিকে উত্থাপিত: কালো ত্বকের রঙ
👋	হাত নেড়ে
👋🏻	হাত নেড়ে: হালকা ত্বকের রঙ
👋🏼	হাত নেড়েছে: মাঝারি-হালকা ত্বকের রঙ
👋🏽	হাত নেড়েছে: মাঝারি ত্বকের রঙ
👋🏾	হাত নেড়েছে: মাঝারি-কালো ত্বকের রঙ
👋🏿	হাত নেড়ে: কালো ত্বকের রঙ
🤟	প্রেম-তুমি অঙ্গভঙ্গি
🤟🏻	love-you অঙ্গভঙ্গি: হালকা ত্বকের রঙ
🤟🏼	ভালোবাসার অঙ্গভঙ্গি: মাঝারি-হালকা ত্বকের রঙ
🤟🏽	love-you অঙ্গভঙ্গি: মাঝারি ত্বকের রঙ
🤟🏾	ভালোবাসার অঙ্গভঙ্গি: মাঝারি-গাঢ় ত্বকের রঙ
🤟🏿	love-you অঙ্গভঙ্গি: কালো ত্বকের রঙ
✍️	লেখার হাত
✍	লেখার হাত
✍🏻	লেখার হাত: হালকা ত্বকের রঙ
✍🏼	লেখার হাত: মাঝারি-হালকা ত্বকের রঙ
✍🏽	লেখার হাত: মাঝারি ত্বকের রঙ
✍🏾	লেখার হাত: মাঝারি-গাঢ় ত্বকের রঙ
✍🏿	লেখার হাত: কালো ত্বকের রঙ
👏	হাততালি
👏🏻	হাততালি: ত্বকের হালকা রঙ
👏🏼	হাততালি: মাঝারি-হালকা ত্বকের রঙ
👏🏽	হাততালি: মাঝারি ত্বকের রঙ
👏🏾	হাততালি: মাঝারি-কালো ত্বকের রঙ
👏🏿	হাততালি: কালো ত্বকের রঙ
👐	খোলা হাত
👐🏻	খোলা হাত: হালকা ত্বকের রঙ
👐🏼	খোলা হাত: মাঝারি-হালকা ত্বকের রঙ
👐🏽	খোলা হাত: মাঝারি ত্বকের রঙ
👐🏾	খোলা হাত: মাঝারি-গাঢ় ত্বকের রঙ
👐🏿	খোলা হাত: কালো ত্বকের রঙ
🙌	হাত তোলা
🙌🏻	হাত তোলা: ত্বকের হালকা রঙ
🙌🏼	হাত তোলা: মাঝারি-হালকা ত্বকের রঙ
🙌🏽	হাত তোলা: মাঝারি ত্বকের রঙ
🙌🏾	হাত তোলা: মাঝারি-গাঢ় ত্বকের রঙ
🙌🏿	হাত তোলা: কালো ত্বকের রঙ
🤲	হাতের তালু একসাথে
🤲🏻	হাতের তালু একসাথে: হালকা ত্বকের রঙ
🤲🏼	হাতের তালু একসাথে: মাঝারি-হালকা ত্বকের রঙ
🤲🏽	হাতের তালু একসাথে: মাঝারি ত্বকের রঙ
🤲🏾	হাতের তালু একসাথে: মাঝারি-গাঢ় ত্বকের রঙ
🤲🏿	হাতের তালু একসাথে: কালো ত্বকের রঙ
🙏	হাত গুটিয়ে রাখা
🙏🏻	ভাঁজ করা হাত: হালকা ত্বকের রঙ
🙏🏼	ভাঁজ করা হাত: মাঝারি-হালকা ত্বকের রঙ
🙏🏽	ভাঁজ করা হাত: মাঝারি ত্বকের রঙ
🙏🏾	ভাঁজ করা হাত: মাঝারি-গাঢ় ত্বকের রঙ
🙏🏿	ভাঁজ করা হাত: কালো ত্বকের রঙ
🤝	হ্যান্ডশেক
💅	নখ পালিশ
💅🏻	নেইল পলিশ: ত্বকের হালকা রঙ
💅🏼	নেলপলিশ: মাঝারি-হালকা ত্বকের রঙ
💅🏽	নেলপলিশ: মাঝারি ত্বকের রঙ
💅🏾	নেলপলিশ: মাঝারি-গাঢ় ত্বকের রঙ
💅🏿	নেইল পলিশ: গাঢ় ত্বকের রঙ
👂	কান
👂🏻	কান: হালকা ত্বকের রঙ
👂🏼	কান: মাঝারি-হালকা ত্বকের রঙ
👂🏽	কান: মাঝারি ত্বকের রঙ
👂🏾	কান: মাঝারি-গাঢ় ত্বকের রঙ
👂🏿	কান: কালো ত্বকের রঙ
👃	নাক
👃🏻	নাক: হালকা ত্বকের রঙ
👃🏼	নাক: মাঝারি-হালকা ত্বকের রঙ
👃🏽	নাক: মাঝারি ত্বকের রঙ
👃🏾	নাক: মাঝারি-গাঢ় ত্বকের রঙ
👃🏿	নাক: কালো ত্বকের রং
🦰	লাল কেশিক
🦱	কোঁকড়া কেশিক
🦲	টাক
🦳	সাদা কেশিক
👣	পায়ের ছাপ
👀	চোখ
👁️	চোখ
👁	চোখ
👁️‍🗨️	বক্তৃতা বুদ্বুদে চোখ
👁‍🗨️	বক্তৃতা বুদ্বুদে চোখ
👁️‍🗨	বক্তৃতা বুদ্বুদে চোখ
👁‍🗨	বক্তৃতা বুদ্বুদে চোখ
🧠	মস্তিষ্ক
🦴	হাড়
🦷	দাঁত
👅	জিহ্বা
👄	মুখ
💋	চুম্বন চিহ্ন
💘	তীর সহ হৃদয়
❤️	লাল হৃদয়
❤	লাল হৃদয়
💓	স্পন্দিত হৃদয়
💔	ভাঙ্গা মন
💕	দুটি হৃদয়
💖	ঝকঝকে হৃদয়
💗	ক্রমবর্ধমান হৃদয়
💙	নীল হৃদয়
💚	সবুজ হৃদয়
💛	হলুদ হৃদয়
🧡	কমলা হৃদয়
💜	বেগুনি হার্ট
🖤	কালো হৃদয়
💝	ফিতা সঙ্গে হৃদয়
💞	ঘূর্ণায়মান হৃদয়
💟	হৃদয় সজ্জা
❣️	ভারী হৃদয় বিস্ময়
❣	ভারী হৃদয় বিস্ময়
💌	প্রেম পত্র
💤	zzz
💢	রাগের প্রতীক
💣	বোমা
💥	সংঘর্ষ
💦	ঘামের ফোঁটা
💨	দূরে ড্যাশিং
💫	মাথা ঘোরা
💬	বক্তৃতা বেলুন
🗨️	বাম বক্তৃতা বুদ্বুদ
🗨	বাম বক্তৃতা বুদ্বুদ
🗯️	ডান রাগ বুদবুদ
🗯	ডান রাগ বুদবুদ
💭	চিন্তা বেলুন
🕳️	গর্ত
🕳	গর্ত
👓	চশমা
🕶️	সানগ্লাস
🕶	সানগ্লাস
🥽	গগলস
🥼	লাবের পোশাক
👔	নেকটি
👕	টি-শার্ট
👖	জিন্স
🧣	ওড়না
🧤	গ্লাভস
🧥	কোট
🧦	মোজা
👗	পোষাক
👘	কিমোনো
👙	বিকিনি
👚	মহিলার পোশাক
👛	পার্স
👜	হ্যান্ডব্যাগ
👝	ছোঁ ব্যাগ
🛍️	কেনাকাটার থলে
🛍	কেনাকাটার থলে
🎒	স্কুল ব্যাকপ্যাক
👞	মানুষের জুতা
👟	চলমান জুতা
🥾	পর্বতারহনের জুতা
🥿	মহিলার ফ্ল্যাট জুতা
👠	উচ্চ হিল জুতা
👡	মহিলার স্যান্ডেল
👢	মহিলার বুট
👑	মুকুট
👒	মহিলার টুপি
🎩	মাথার টুপি
🎓	স্নাতক ক্যাপ
🧢	বিল করা টুপি
⛑️	উদ্ধারকর্মীর হেলমেট
⛑	উদ্ধারকর্মীর হেলমেট
📿	জপমালা
💄	লিপস্টিক
💍	রিং
💎	রত্ন পাথর
🐵	বানরের মুখ
🐒	বানর
🦍	গরিলা
🐶	কুকুর মুখ
🐕	কুকুর
🐩	পুডল
🐺	নেকড়ে মুখ
🦊	শিয়াল মুখ
🦝	রাকুন
🐱	বিড়াল মুখ
🐈	বিড়াল
🦁	সিংহ মুখ
🐯	বাঘের মুখ
🐅	বাঘ
🐆	চিতাবাঘ
🐴	ঘোড়া মুখ
🐎	ঘোড়া
🦄	ইউনিকর্ন মুখ
🦓	জেব্রা
🦌	হরিণ
🐮	গরুর মুখ
🐂	বলদ
🐃	জলহস্তী
🐄	গাভী
🐷	শূকর মুখ
🐖	শূকর
🐗	শূকর
🐽	শূকরের নাক
🐏	র্যাম
🐑	ewe
🐐	ছাগল
🐪	উট
🐫	দুই কুঁজ উট
🦙	লামা
🦒	জিরাফ
🐘	হাতি
🦏	গন্ডার
🦛	জলহস্তী
🐭	ইঁদুর মুখ
🐁	মাউস
🐀	ইঁদুর
🐹	হ্যামস্টার মুখ
🐰	খরগোশের মুখ
🐇	খরগোশ
🐿️	চিপমাঙ্ক
🐿	চিপমাঙ্ক
🦔	হেজহগ
🦇	ব্যাট
🐻	ভালুক মুখ
🐨	কোয়ালা
🐼	পান্ডা মুখ
🦘	ক্যাঙ্গারু
🦡	ব্যাজার
🐾	থাবার ছাপ
🦃	তুরস্ক
🐔	মুরগি
🐓	মোরগ
🐣	হ্যাচিং চিক
🐤	ছোট্ট ছানা
🐥	সামনের দিকের বাচ্চা ছানা
🐦	পাখি
🐧	পেঙ্গুইন
🕊️	ঘুঘু
🕊	ঘুঘু
🦅	ঈগল
🦆	হাঁস
🦢	রাজহাঁস
🦉	পেঁচা
🦚	ময়ূর
🦜	টিয়া পাখি
🐸	ব্যাঙ মুখ
🐊	কুম্ভীর
🐢	কচ্ছপ
🦎	টিকটিকি
🐍	সাপ
🐲	ড্রাগন মুখ
🐉	ড্রাগন
🦕	sauropod
🦖	টি-রেক্স
🐳	spouting তিমি
🐋	তিমি
🐬	ডলফিন
🐟	মাছ
🐠	গ্রীষ্মমন্ডলীয় মাছ
🐡	ব্লোফিশ
🦈	হাঙ্গর
🐙	অক্টোপাস
🐚	সর্পিল শেল
🦀	কাঁকড়া
🦞	গলদা চিংড়ি
🦐	চিংড়ি
🦑	স্কুইড
🐌	শামুক
🦋	প্রজাপতি
🐛	বাগ
🐜	পিপীলিকা
🐝	মৌমাছি
🐞	লেডি বিটল
🦗	ক্রিকেট
🕷️	মাকড়সা
🕷	মাকড়সা
🕸️	মাকড়সার জাল
🕸	মাকড়সার জাল
🦂	বিচ্ছু
🦟	মশা
🦠	জীবাণু
💐	তোড়া
🌸	চেরি ফুল
💮	সাদা ফুল
🏵️	রোসেট
🏵	রোসেট
🌹	গোলাপ
🥀	শুকনো ফুল
🌺	হিবিস্কাস
🌻	সূর্যমুখী
🌼	পুষ্প
🌷	টিউলিপ
🌱	চারা
🌲	চিরসবুজ বৃক্ষ
🌳	পর্ণমোচী গাছ
🌴	পাম গাছ
🌵	ক্যাকটাস
🌾	ধানের শিক
🌿	ঔষধি
☘️	শ্যামরক
☘	শ্যামরক
🍀	চার পাতার ক্লোভার
🍁	ম্যাপেল পাতা
🍂	পতিত পাতা
🍃	পাতা বাতাসে উড়ছে
🍇	আঙ্গুর
🍈	তরমুজ
🍉	তরমুজ
🍊	ট্যানজারিন
🍋	লেবু
🍌	কলা
🍍	আনারস
🥭	আম
🍎	লাল আপেল
🍏	সবুজ আপেল
🍐	নাশপাতি
🍑	পীচ
🍒	চেরি
🍓	স্ট্রবেরি
🥝	কিউই ফল
🍅	টমেটো
🥥	নারকেল
🥑	আভাকাডো
🍆	বেগুন
🥔	আলু
🥕	গাজর
🌽	ভূট্টা কান
🌶️	ঝাল মরিচ
🌶	ঝাল মরিচ
🥒	শসা
🥬	পাতা সবুজ
🥦	ব্রকলি
🍄	মাশরুম
🥜	চিনাবাদাম
🌰	চেস্টনাট
🍞	রুটি
🥐	ক্রিসেন্ট
🥖	ব্যাগুয়েট রুটি
🥨	প্রিটজেল
🥯	ব্যাগেল
🥞	প্যানকেক
🧀	পনির কীলক
🍖	হাড়ের উপর মাংস
🍗	পোল্ট্রি পা
🥩	মাংস কাটা
🥓	বেকন
🍔	হ্যামবার্গার
🍟	ফ্রেঞ্চ ফ্রাই
🍕	পিজা
🌭	হট ডগ
🥪	স্যান্ডউইচ
🌮	টাকো
🌯	burrito
🥙	স্টাফ রুটি
🥚	ডিম
🍳	রান্না
🥘	খাবারের অগভীর প্যান
🍲	খাবারের পাত্র
🥣	চামচ দিয়ে বাটি
🥗	গ্রীণ সালাদ
🍿	ভুট্টার খই
🧂	লবণ
🥫	টিনজাত খাবার
🍱	বেন্টো বক্স
🍘	রাইস ক্র্যাকার
🍙	ভাতের বল
🍚	রান্না করা ভাত
🍛	কারি চাল
🍜	স্টিমিং বাটি
🍝	স্প্যাগেটি
🍠	ভাজা মিষ্টি আলু
🍢	ওডেন
🍣	সুশি
🍤	ভাজা চিংড়ি
🍥	ঘূর্ণি সঙ্গে মাছ পিষ্টক
🥮	চাঁদের কেক
🍡	ডাঙ্গো
🥟	ডাম্পলিং
🥠	ভাগ্য কুকি
🥡	Takeout বক্স
🍦	নরম আইসক্রিম
🍧	চাঁচা বরফ
🍨	আইসক্রিম
🍩	ডোনাট
🍪	কুকি
🎂	জন্মদিনের কেক
🍰	শর্টকেক
🧁	কাপ কেক
🥧	পাই
🍫	চকলেট বার
🍬	মিছরি
🍭	ললিপপ
🍮	কাস্টার্ড
🍯	মধুর পাত্র
🍼	শিশুর বোতল
🥛	এক গ্লাস দুধ
☕	গরম পানীয়
🍵	হাতল ছাড়া চা কাপ
🍶	খাতির
🍾	পপিং কর্ক সঙ্গে বোতল
🍷	সুরাপাত্র
🍸	ককটেল গ্লাস
🍹	গ্রীষ্মমন্ডলীয় পানীয়
🍺	বিয়ার মগ
🍻	বিয়ার মগ clinking
🥂	চশমা clinking
🥃	টাম্বলার গ্লাস
🥤	খড় দিয়ে কাপ
🥢	চপস্টিকস
🍽️	প্লেট সহ কাঁটাচামচ এবং ছুরি
🍽	প্লেট সহ কাঁটাচামচ এবং ছুরি
🍴	কাঁটাচামচ এবং ছুরি
🥄	চামচ
🔪	রান্না ঘরের ছুরি
🏺	amphora
🌍	ইউরোপ-আফ্রিকা দেখাচ্ছে গ্লোব
🌎	গ্লোব আমেরিকা দেখাচ্ছে
🌏	এশিয়া-অস্ট্রেলিয়া দেখাচ্ছে গ্লোব
🌐	মেরিডিয়ান সহ বিশ্ব
🗺️	বিশ্ব মানচিত্র
🗺	বিশ্ব মানচিত্র
🗾	জাপানের মানচিত্র
🧭	কম্পাস
🏔️	তুষারাবৃত পর্বত
🏔	তুষারাবৃত পর্বত
⛰️	পর্বত
⛰	পর্বত
🌋	আগ্নেয়গিরি
🗻	ফুজি পর্বতমালা
🏕️	ক্যাম্পিং
🏕	ক্যাম্পিং
🏖️	ছাতা সহ সৈকত
🏖	ছাতা সহ সৈকত
🏜️	মরুভূমি
🏜	মরুভূমি
🏝️	মরুভূমি দ্বীপ
🏝	মরুভূমি দ্বীপ
🏞️	জাতীয় উদ্যান
🏞	জাতীয় উদ্যান
🏟️	স্টেডিয়াম
🏟	স্টেডিয়াম
🏛️	শাস্ত্রীয় ভবন
🏛	শাস্ত্রীয় ভবন
🏗️	ভবন নির্মান
🏗	ভবন নির্মান
🧱	ইট
🏘️	ঘর
🏘	ঘর
🏚️	পরিত্যক্ত বাড়ি
🏚	পরিত্যক্ত বাড়ি
🏠	গৃহ
🏡	বাগান সহ ঘর
🏢	অফিস ভবন
🏣	জাপানি পোস্ট অফিস
🏤	ডাক ঘর
🏥	হাসপাতাল
🏦	ব্যাংক
🏨	হোটেল
🏩	প্রেম হোটেল
🏪	সুবিধার দোকান
🏫	বিদ্যালয়
🏬	ডিপার্টমেন্ট স্টোর
🏭	কারখানা
🏯	জাপানি দুর্গ
🏰	দুর্গ
💒	বিবাহ
🗼	টোকিও মিনার
🗽	স্ট্যাচু অফ লিবার্টি
⛪	গির্জা
🕌	মসজিদ
🕍	উপাসনালয়
⛩️	শিন্টো মন্দির
⛩	শিন্টো মন্দির
🕋	কাবা
⛲	ঝর্ণা
⛺	তাঁবু
🌁	কুয়াশাচ্ছন্ন
🌃	তারার সাথে রাত
🏙️	শহরের দৃশ্য
🏙	শহরের দৃশ্য
🌄	পাহাড়ের উপরে সূর্যোদয়
🌅	সূর্যোদয়
🌆	সন্ধ্যায় শহরের দৃশ্য
🌇	সূর্যাস্ত
🌉	রাতে সেতু
♨️	উষ্ণ প্রস্রবণ
♨	উষ্ণ প্রস্রবণ
🌌	মিল্কি পথ
🎠	ক্যারোসেল ঘোড়া
🎡	ফেরিস হুইল
🎢	রোলার কোস্টার
💈	নাপিত খুঁটি
🎪	সার্কাসের তাঁবু
🚂	লোকোমোটিভ
🚃	রেলগাড়ি
🚄	উচ্চ গতির ট্রেন
🚅	বুলেট ট্রেন
🚆	ট্রেন
🚇	মেট্রো
🚈	হালকা রেল
🚉	স্টেশন
🚊	ট্রাম
🚝	মনোরেল
🚞	পর্বত রেলপথ
🚋	ট্রাম গাড়ি
🚌	বাস
🚍	আসন্ন বাস
🚎	ট্রলিবাস
🚐	মিনিবাস
🚑	অ্যাম্বুলেন্স
🚒	দমকল
🚓	পুলিশ গাড়ী
🚔	আসন্ন পুলিশের গাড়ি
🚕	ট্যাক্সি
🚖	আসন্ন ট্যাক্সি
🚗	অটোমোবাইল
🚘	আসন্ন অটোমোবাইল
🚙	ক্রীড়া ইউটিলিটি যানবাহন
🚚	ডেলিভারি ট্রাক
🚛	উচ্চারিত লরি
🚜	ট্রাক্টর
🚲	সাইকেল
🛴	কিক স্কুটার
🛹	স্কেটবোর্ড
🛵	ভট্ভটি
🚏	বাস স্টপ
🛣️	মোটরওয়ে
🛣	মোটরওয়ে
🛤️	মালবাহী রেল
🛤	মালবাহী রেল
🛢️	তেলের ড্রাম
🛢	তেলের ড্রাম
⛽	জ্বালানি পাম্প
🚨	পুলিশের গাড়ির আলো
🚥	অনুভূমিক ট্রাফিক লাইট
🚦	উল্লম্ব ট্রাফিক লাইট
🛑	সাইন বন্ধ
🚧	নির্মাণ
⚓	নোঙ্গর
⛵	পালতোলা নৌকা
🛶	ক্যানো
🚤	স্পিডবোট
🛳️	যাত্রীবাহী জাহাজ
🛳	যাত্রীবাহী জাহাজ
⛴️	ফেরি
⛴	ফেরি
🛥️	মোটর নৌকা
🛥	মোটর নৌকা
🚢	জাহাজ
✈️	বিমান
✈	বিমান
🛩️	ছোট বিমান
🛩	ছোট বিমান
🛫	বিমান প্রস্থান
🛬	বিমান আগমন
💺	আসন
🚁	হেলিকপ্টার
🚟	সাসপেনশন রেলওয়ে
🚠	পর্বত তারের পথ
🚡	বায়বীয় ট্রামওয়ে
🛰️	উপগ্রহ
🛰	উপগ্রহ
🚀	রকেট
🛸	উড়ন্ত সসার
🛎️	বেলহপ ঘণ্টা
🛎	বেলহপ ঘণ্টা
🧳	লটবহর
⌛	বালিঘড়ি সম্পন্ন
⏳	বালিঘড়ি করা হয়নি
⌚	ঘড়ি
⏰	অ্যালার্মঘড়ি
⏱️	স্টপওয়াচ
⏱	স্টপওয়াচ
⏲️	টাইমার ঘড়ি
⏲	টাইমার ঘড়ি
🕰️	ম্যান্টেলপিস ঘড়ি
🕰	ম্যান্টেলপিস ঘড়ি
🕛	বারোটা বাজে
🕧	বারো ত্রিশ
🕐	এক ঘটিকা
🕜	একশত তিরিশ
🕑	দুইটা বাজে
🕝	দুই শত ত্রিশ
🕒	তিনটা বাজে
🕞	তিন-ত্রিশ
🕓	চারটা বাজে
🕟	চারশত ত্রিশ
🕔	পাঁচটা বাজে
🕠	পাঁচশত তিরিশ
🕕	ছয়টা বাজে
🕡	ছয়-ত্রিশ
🕖	সাতটা বাজে
🕢	সাতটা তিরিশ
🕗	আটটা বাজে
🕣	আটশ ত্রিশ
🕘	নয়টা বাজে
🕤	নয়-ত্রিশ
🕙	দশটা বাজে
🕥	দশটা ত্রিশ
🕚	এগারোটা বাজে
🕦	এগারো ত্রিশ
🌑	নতুন চাঁদ
🌒	অর্ধচন্দ্রাকার চাঁদ
🌓	প্রথম চতুর্থাংশের চাঁদ
🌔	waxing gibbous চাঁদ
🌕	পূর্ণিমা
🌖	ক্ষয়প্রাপ্ত গিব্বাস চাঁদ
🌗	শেষ চতুর্থাংশের চাঁদ
🌘	ক্ষয়প্রাপ্ত অর্ধচন্দ্র
🌙	অর্ধচন্দ্র
🌚	নতুন চাঁদের মুখ
🌛	প্রথম চতুর্থাংশের চাঁদের মুখ
🌜	শেষ চতুর্থাংশের চাঁদের মুখ
🌡️	থার্মোমিটার
🌡	থার্মোমিটার
☀️	সূর্য
☀	সূর্য
🌝	পূর্ণিমার মুখ
🌞	মুখের সাথে সূর্য
⭐	তারকা
🌟	উজ্জ্বল তারা
🌠	উল্কা
☁️	মেঘ
☁	মেঘ
⛅	মেঘের পিছনে সূর্য
⛈️	বাজ এবং বৃষ্টি সঙ্গে মেঘ
⛈	বাজ এবং বৃষ্টি সঙ্গে মেঘ
🌤️	ছোট মেঘের পিছনে সূর্য
🌤	ছোট মেঘের পিছনে সূর্য
🌥️	বড় মেঘের পিছনে সূর্য
🌥	বড় মেঘের পিছনে সূর্য
🌦️	বৃষ্টি মেঘের আড়ালে সূর্য
🌦	বৃষ্টি মেঘের আড়ালে সূর্য
🌧️	বৃষ্টির সাথে মেঘ
🌧	বৃষ্টির সাথে মেঘ
🌨️	তুষার সহ মেঘ
🌨	তুষার সহ মেঘ
🌩️	বাজ সঙ্গে মেঘ
🌩	বাজ সঙ্গে মেঘ
🌪️	টর্নেডো
🌪	টর্নেডো
🌫️	কুয়াশা
🌫	কুয়াশা
🌬️	বাতাসের মুখ
🌬	বাতাসের মুখ
🌀	ঘূর্ণিঝড়
🌈	রংধনু
🌂	বন্ধ ছাতা
☂️	ছাতা
☂	ছাতা
☔	বৃষ্টির ফোঁটা সহ ছাতা
⛱️	মাটিতে ছাতা
⛱	মাটিতে ছাতা
⚡	উচ্চ ভোল্টেজের
❄️	তুষারকণা
❄	তুষারকণা
☃️	তুষারমানব
☃	তুষারমানব
⛄	তুষার ছাড়া তুষারমানব
☄️	ধূমকেতু
☄	ধূমকেতু
🔥	আগুন
💧	ফোঁটা
🌊	জল তরঙ্গ
🎃	জ্যাক-ও-লণ্ঠন
🎄	বড়দিনের গাছ
🎆	আতশবাজি
🎇	স্পার্কলার
🧨	আতশবাজি
✨	sparkles
🎈	বেলুন
🎉	পার্টি পপার
🎊	কনফেটি বল
🎋	টানাবাটা গাছ
🎍	পাইন প্রসাধন
🎎	জাপানি পুতুল
🎏	কার্প স্ট্রিমার
🎐	বায়ু ঐকতান
🎑	চাঁদ দেখার অনুষ্ঠান
🧧	লাল খাম
🎀	ফিতা
🎁	মোড়ানো উপহার
🎗️	অনুস্মারক ফিতা
🎗	অনুস্মারক ফিতা
🎟️	ভর্তির টিকিট
🎟	ভর্তির টিকিট
🎫	টিকিট
🎖️	সামরিক পদক
🎖	সামরিক পদক
🏆	ট্রফি
🏅	ক্রীড়া পদক
🥇	১ম স্থানের পদক
🥈	২য় স্থানের পদক
🥉	৩য় স্থানের পদক
⚽	ফুটবল বল
⚾	বেসবল
🥎	সফটবল
🏀	বাস্কেটবল
🏐	ভলিবল
🏈	আমেরিকান ফুটবল
🏉	রাগবি ফুটবল
🎾	টেনিস
🥏	উড়ন্ত ডিস্ক
🎳	বোলিং
🏏	ক্রিকেট খেলা
🏑	হকি মাঠ
🏒	আইস হকি
🥍	ল্যাক্রোস
🏓	পিং পং
🏸	ব্যাডমিন্টন
🥊	মুষ্টি যুদ্ধের দস্তানা
🥋	মার্শাল আর্ট ইউনিফর্ম
🥅	গোল নেট
⛳	গর্তে পতাকা
⛸️	বরফ স্কেইট্
⛸	বরফ স্কেইট্
🎣	বর্শি
🎽	চলমান শার্ট
🎿	স্কিস
🛷	স্লেজ
🥌	কার্লিং পাথর
🎯	সরাসরি আঘাত
🎱	পুল 8 বল
🔮	ক্রিস্টাল বল
🧿	নজর তাবিজ
🎮	ভিডিও গেম
🕹️	জয়স্টিক
🕹	জয়স্টিক
🎰	স্লট মেশিন
🎲	খেলা মারা
🧩	জিগস
🧸	টেডি বিয়ার
♠️	কোদাল স্যুট
♠	কোদাল স্যুট
♥️	হার্ট স্যুট
♥	হার্ট স্যুট
♦️	হীরা স্যুট
♦	হীরা স্যুট
♣️	ক্লাব স্যুট
♣	ক্লাব স্যুট
♟️	দাবা প্যান
♟	দাবা প্যান
🃏	জোকার
🀄	মাহজং লাল ড্রাগন
🎴	ফুল খেলার তাস
🎭	শিল্পকলা প্রদর্শন করা
🖼️	ফ্রেমবন্দী ছবি
🖼	ফ্রেমবন্দী ছবি
🎨	শিল্পী প্যালেট
🧵	থ্রেড
🧶	সুতা
🔇	নিঃশব্দ স্পিকার
🔈	স্পিকার কম ভলিউম
🔉	স্পিকার মাঝারি ভলিউম
🔊	স্পিকার উচ্চ ভলিউম
📢	লাউডস্পিকার
📣	মেগাফোন
📯	পোস্টাল হর্ন
🔔	ঘণ্টা
🔕	স্ল্যাশ সঙ্গে ঘণ্টা
🎼	বাদ্যযন্ত্র স্কোর
🎵	বাদ্যযন্ত্র নোট
🎶	স্বরলিপি
🎙️	স্টুডিও মাইক্রোফোন
🎙	স্টুডিও মাইক্রোফোন
🎚️	লেভেল স্লাইডার
🎚	লেভেল স্লাইডার
