😀	ଚିତ୍କାର କରୁଥିବା ଚେହେରା |
🐎	ଘୋଡା
🦄	ୟୁନିକର୍ଣ୍ଣ ଚେହେରା |
🦓	ଜେବ୍ରା
🦌	ହରିଣ
🐮	ଗା cow ମୁହଁ |
🐂	ଷଣ୍
🐃	ପାଣି ବୁ ff ା
🐄	ଗା cow
🐷	ଘୁଷୁରୀ ମୁଖ
🐖	ଘୁଷୁରି
🐗	ଘୁଷୁରୀ
🐽	ଘୁଷୁରୀ ନାକ
🐏	ମେଷ
🐑	ମେଣ୍ .ା
🐐	ଛେଳି
🐪	ଓଟ
🐫	ଦୁଇ-ହମ୍ପ ଓଟ |
🦙	ଲାଲାମା
🦒	ଜିରାଫ୍ |
🐘	ହାତୀ
🦏	ଗଧ
🦛	ହିପୋପୋଟାମସ୍ |
🐭	ମାଉସ୍ ଚେହେରା |
🐁	ମାଉସ୍
🐀	ମୂଷା
🐹	ହାମଷ୍ଟର୍ ଚେହେରା |
🐰	ରାବଣ ମୁହଁ |
🐇	ଠେକୁଆ
🐿️	ଚିପମୁଙ୍କ
🐿	ଚିପମୁଙ୍କ
🦔	ହେଜ୍
🦇	ବ୍ୟାଟ୍
🐻	ଭାଲୁ ମୁହଁ |
🐨	କୋଲା
🐼	ପଣ୍ଡା ଚେହେରା |
🦘	କଙ୍ଗାରୁ
🦡	ବଦର୍
🐾	ପାଉ ପ୍ରିଣ୍ଟ୍ |
🦃	କଦଳୀ
🐔	ଚିକେନ୍
🐓	କୁକୁଡ଼ା
🐣	କୁକୁଡ଼ା ଛୁଆ
🐤	ଛୁଆ ଛୁଆ
🐥	ସାମ୍ନା ଶିଶୁ ଛୁଆ |
🐦	ପକ୍ଷୀ
🐧	ପେଙ୍ଗୁଇନ୍
🕊️	କପୋତ
🕊	କପୋତ
🦅	ଇଗଲ
🦆	ବତକ
🦢	ସ୍ swan ାନ୍
🦉	ପେଚା
🦚	ମୟୂର
🦜	ପାରା
🐸	ବେଙ୍ଗ ମୁହଁ |
🐊	କୁମ୍ଭୀର
🐢	କଇଁଛ
🦎	କୁମ୍ଭୀର
🐍	ସାପ
🐲	ଡ୍ରାଗନ୍ ମୁହଁ |
🐉	ଡ୍ରାଗନ୍
🦕	sauropod
🦖	ଟି-ରେକ୍ସ |
🐳	ବାଘ
🐋	ବାଘ
🐬	ଡଲଫିନ୍
🐟	ମାଛ |
🐠	ଟ୍ରପିକାଲ୍ ମାଛ |
🐡	ବ୍ଲୋଫିସ୍ |
🦈	ସାର୍କ
🐙	ଅଷ୍ଟପାସ୍
🐚	ସ୍ପିରାଲ୍ ଶେଲ୍ |
🦀	କ୍ରାବ୍ |
🦞	ଲବଷ୍ଟର |
🦐	ଚିଙ୍ଗୁଡ଼ି |
🦑	ସ୍କ୍ୱିଡ୍ |
🐌	ଶାବକ
🦋	ତିତଲି
🐛	ତ୍ରୁଟି
🐜	ପିମ୍ପୁଡ଼ି
🐝	ମହୁ ମାଛି
🐞	ଲେଡି ବିଟଲ୍ |
🦗	କ୍ରିକେଟ୍
🕷️	ସ୍ପାଇଡର୍
🕷	ସ୍ପାଇଡର୍
🕸️	ସ୍ପାଇଡର୍ ୱେବ୍ |
🕸	ସ୍ପାଇଡର୍ ୱେବ୍ |
🦂	ବିଛା
🦟	ମଶା
🦠	ମାଇକ୍ରୋବ
💐	ପୁଷ୍ପ
🌸	ଚେରି ଫୁଲ |
💮	ଧଳା ଫୁଲ |
🏵️	ରୋଜେଟ୍
🏵	ରୋଜେଟ୍
🌹	ଗୋଲାପ
🥀	ପତଳା ଫୁଲ |
🌺	ହାଇବିସ୍କସ୍
🌻	ସୂର୍ଯ୍ୟମୁଖୀ |
🌼	ଫୁଲ
🌷	ତୁଳସୀ ପତ୍ର
🌱	ବିହନ
🌲	ଚିର ସବୁଜ ଗଛ |
🌳	ବୃକ୍ଷ
🌴	ତାଳ ଗଛ
🌵	କାକଟସ୍ |
🌾	ଚାଉଳ
🌿	b ଷଧ
☘️	ଶ୍ୟାମ୍ରକ୍ |
☘	ଶ୍ୟାମ୍ରକ୍ |
🍀	ଚାରୋଟି ପତ୍ର କ୍ଲଭର୍ |
🍁	ମପ୍ଲଲ ପତ୍ର
🍂	ପତିତ ପତ୍ର |
🍃	ପତ୍ର ପବନରେ ut ୁଲୁଛି |
🍇	ଅଙ୍ଗୁର
🍈	ତରଭୁଜ
🍉	ତରଭୁଜ
🍊	ଟାଙ୍ଗରାଇନ୍ |
🍋	ଲେମ୍ବୁ |
🍌	କଦଳୀ
🍍	ଧନିଆ ପତ୍ର |
🥭	ଆମ୍ବ
🍎	ନାଲି ଆପଲ୍ |
🍏	ସବୁଜ ଆପଲ୍ |
🍐	ମୋତି
🍑	ପିଚ
🍒	ଚେରି
🍓	ଷ୍ଟ୍ରବେରୀ |
🥝	କିୱି ଫଳ |
🍅	ଟମାଟୋ |
🥥	ନଡ଼ିଆ |
🥑	ଆଭୋକାଡୋ |
🍆	ବାଇଗଣ
🥔	ଆଳୁ
🥕	ଗାଜର
🌽	ମକର କାନ |
🌶️	ଗରମ ଲଙ୍କା
🌶	ଗରମ ଲଙ୍କା
🥒	କାକୁଡି
🥬	ପତ୍ର ସବୁଜ
🥦	ବ୍ରୋକୋଲି
🍄	ମୂଷା
🥜	କଦଳୀ
🌰	ଛାତି
🍞	ରୁଟି |
🥐	କ୍ରୋଏସାଣ୍ଟ |
🥖	ବ୍ୟାଗେଟ୍ ରୁଟି |
🥨	pretzel
🥯	ବ୍ୟାଗେଲ୍ |
🥞	ପାନକେକ୍ |
🧀	ପନିର ୱେଜ୍ |
🍖	ହାଡ ଉପରେ ମାଂସ |
🍗	କୁକୁଡ଼ା ଗୋଡ
🥩	ମାଂସ କଟା
🥓	ବେକନ୍ |
🍔	ହାମବର୍ଗ
🍟	ଫ୍ରେନଚ୍ ଭଜା
🍕	ପିଜା
🌭	ହଟ୍ କୁକୁର |
🥪	ସାଣ୍ଡୱିଚ୍ |
🌮	ଟାକୋ |
🌯	ବୁରିଟୋ |
🥙	ଫ୍ଲାଟବ୍ରେଡ୍ ଭର୍ତ୍ତି |
🥚	ଅଣ୍ଡା
🍳	ରାନ୍ଧିବା |
🥘	ଖାଦ୍ୟର ଅଳ୍ପ ଅଳ୍ପ ପ୍ୟାନ |
🍲	ହାଣ୍ଡି
🥣	ଚାମଚ ସହିତ ପାତ୍ର |
🥗	ସବୁଜ ସାଲାଡ୍ |
🍿	popcorn
🧂	ଲୁଣ
🥫	କେନଡ୍ ଖାଦ୍ୟ |
🍱	ବେଣ୍ଟୋ ବାକ୍ସ |
🍘	ଚାଉଳ କ୍ରାକର |
🍙	ଚାଉଳ ବଲ୍ |
🍚	ରନ୍ଧା ହୋଇଥିବା ଚାଉଳ |
🍛	ତରକାରୀ ଚାଉଳ |
🍜	ବାଷ୍ପ ପାତ୍ର |
🍝	spaghetti
🍠	ଭଜା ମିଠା ଆଳୁ |
🍢	oden
🍣	ସୁଶି
🍤	ଭଜା ଚିଙ୍ଗୁଡ଼ି |
🍥	ଘୁଷୁରୀ ସହିତ ମାଛ କେକ୍ |
🥮	ଚନ୍ଦ୍ର କେକ୍
🍡	ଡାଙ୍ଗୋ |
🥟	ଡମ୍ପିଂ
🥠	ଭାଗ୍ୟ କୁକି
🥡	ନିଆଯିବା ବାକ୍ସ
🍦	ସଫ୍ଟ ଆଇସ୍କ୍ରିମ୍ |
🍧	ବରଫ
🍨	ଆଇସ୍କ୍ରିମ
🍩	ଦାନ
🍪	କୁକି
🎂	ଜନ୍ମଦିନ କେକ୍ |
🍰	ସର୍ଟକେକ୍ |
🧁	କପକେକ୍ |
🥧	ପିଠା
🍫	ଚକୋଲେଟ୍ ବାର୍ |
🍬	କାଣ୍ଡ
🍭	ଲଲିପପ୍ |
🍮	ରାକ୍ଷୀ
🍯	ମହୁ ହାଣ୍ଡି
🍼	ଶିଶୁ ବୋତଲ |
🥛	ଏକ ଗ୍ଲାସ୍ କ୍ଷୀର |
☕	ଗରମ ପାନୀୟ |
🍵	ହ୍ୟାଣ୍ଡଲ୍ ବିନା ଟ୍ୟାକ୍ଅପ୍ |
🍶	କାରଣ ପାଇଁ
🍾	ପପିଙ୍ଗ କର୍କ ସହିତ ବୋତଲ |
🍷	ମଦ ଗ୍ଲାସ |
🍸	କକଟେଲ ଗ୍ଲାସ |
🍹	ଟ୍ରପିକାଲ୍ ପାନୀୟ |
🍺	ବିୟର ମଗ୍ |
🍻	କ୍ଲିୟର କରୁଥିବା ବିୟର ମଗ୍ |
🥂	କ୍ଲିଙ୍କିଙ୍ଗ୍ ଗ୍ଲାସ୍ |
🥃	ତୁମ୍ବ ଗ୍ଲାସ |
🥤	ନଡ଼ା ସହିତ କପ୍ |
🥢	ଚପଷ୍ଟିକ୍
🍽️	ପ୍ଲେଟ ସହିତ କଣ୍ଟା ଏବଂ ଛୁରୀ |
🍽	ପ୍ଲେଟ ସହିତ କଣ୍ଟା ଏବଂ ଛୁରୀ |
🍴	କଣ୍ଟା ଏବଂ ଛୁରୀ |
🥄	ଚାମଚ
🔪	ରୋଷେଇ ଛୁରୀ |
🏺	ଆମ୍ଫୋରା |
🌍	ୟୁରୋପ-ଆଫ୍ରିକା ଦେଖାଉଥିବା ଗ୍ଲୋବ |
🌎	ଆମେରିକୀୟ ଦେଖାଉଥିବା ଗ୍ଲୋବ |
🌏	ଏସିଆ-ଅଷ୍ଟ୍ରେଲିଆ ଦେଖାଉଥିବା ଗ୍ଲୋବ |
🌐	ମେରିଡିଆନ୍ ସହିତ ଗ୍ଲୋବ |
🗺️	ବିଶ୍ୱ ମାନଚିତ୍ର
🗺	ବିଶ୍ୱ ମାନଚିତ୍ର
🗾	ଜାପାନର ମାନଚିତ୍ର
🧭	କମ୍ପାସ୍
🏔️	ତୁଷାରପାତିତ ପର୍ବତ |
🏔	ତୁଷାରପାତିତ ପର୍ବତ |
⛰️	ପର୍ବତ
⛰	ପର୍ବତ
🌋	ଆଗ୍ନେୟଗିରି
🗻	ଫୁଜି ମାଉଣ୍ଟ କରନ୍ତୁ |
🏕️	ଶିବିର
🏕	ଶିବିର
🏖️	ଛତା ସହିତ ବେଳାଭୂମି |
🏖	ଛତା ସହିତ ବେଳାଭୂମି |
🏜️	ମରୁଭୂମି
🏜	ମରୁଭୂମି
🏝️	ମରୁଭୂମି ଦ୍ୱୀପ
🏝	ମରୁଭୂମି ଦ୍ୱୀପ
🏞️	ଜାତୀୟ ଉଦ୍ୟାନ
🏞	ଜାତୀୟ ଉଦ୍ୟାନ
🏟️	ଷ୍ଟାଡିୟମ୍
🏟	ଷ୍ଟାଡିୟମ୍
🏛️	ଶାସ୍ତ୍ରୀୟ ବିଲଡିଂ |
🏛	ଶାସ୍ତ୍ରୀୟ ବିଲଡିଂ |
🏗️	ନିର୍ମାଣ ନିର୍ମାଣ
🏗	ନିର୍ମାଣ ନିର୍ମାଣ
🧱	ଇଟା
🏘️	ଘର
🏘	ଘର
🏚️	ଖରାପ ଘର
🏚	ଖରାପ ଘର
🏠	ଘର
🏡	ବଗିଚା ସହିତ ଘର |
🏢	ଅଫିସ୍ ବିଲଡିଂ |
🏣	ଜାପାନିଜ ଡାକଘର |
🏤	ଡାକ ଘର
🏥	ଡାକ୍ତରଖାନା
🏦	ବ୍ୟାଙ୍କ
🏨	ହୋଟେଲ
🏩	ହୋଟେଲକୁ ଭଲ ପାଅ |
🏪	ସୁବିଧା ଦୋକାନ |
🏫	ବିଦ୍ୟାଳୟ
🏬	ବିଭାଗ ଷ୍ଟୋର |
🏭	କାରଖାନା
🏯	ଜାପାନୀ ଦୁର୍ଗ |
🏰	ଦୁର୍ଗ
💒	ବିବାହ
🗼	ଟୋକିଓ ଟାୱାର |
🗽	ଷ୍ଟାଚୁ ଅଫ ଲିବର୍ଟି
⛪	ଚର୍ଚ୍ଚ
🕌	ମସଜିଦ
🕍	ସମାଜଗୃହ
⛩️	ଶିଣ୍ଟୋ ଶ୍ରୀକ୍ଷେତ୍ର |
⛩	ଶିଣ୍ଟୋ ଶ୍ରୀକ୍ଷେତ୍ର |
🕋	କାବା
⛲	ount ରଣା
⛺	ତମ୍ବୁ
🌁	କୁହୁଡି
🌃	ତାରାମାନଙ୍କ ସହିତ ରାତି |
🏙️	ସିଟିସ୍କେପ୍ |
🏙	ସିଟିସ୍କେପ୍ |
🌄	ପର୍ବତ ଉପରେ ସୂର୍ଯ୍ୟୋଦୟ |
🌅	ସୂର୍ଯ୍ୟୋଦୟ
🌆	ସନ୍ଧ୍ୟା ସମୟରେ ସିଟିସ୍କେପ୍ |
🌇	ସୂର୍ଯ୍ୟାସ୍ତ
🌉	ରାତିରେ ସେତୁ |
♨️	ଗରମ ings ରଣା |
♨	ଗରମ ings ରଣା |
🌌	ଆକାଶଗଙ୍ଗା
🎠	କାରୁସେଲ ଘୋଡା |
🎡	ଫେରିସ୍ ଚକ |
🎢	ରୋଲର୍ କୋଷ୍ଟର୍
💈	ବାରବାଟୀ ପୋଲ |
🎪	ସର୍କସ୍ ତମ୍ବୁ |
🚂	ଲୋକୋମୋଟିଭ୍
🚃	ରେଳ କାର
🚄	ହାଇ ସ୍ପିଡ୍ ଟ୍ରେନ୍
🚅	ବୁଲେଟ୍ ଟ୍ରେନ୍
🚆	ଟ୍ରେନ୍
🚇	ମେଟ୍ରୋ
🚈	ହାଲୁକା ରେଳ
🚉	ଷ୍ଟେସନ
🚊	ଟ୍ରମ୍
🚝	ମୋନୋରାଇଲ୍ |
🚞	ପର୍ବତ ରେଳ
🚋	ଟ୍ରମ୍ କାର୍
🚌	ବସ୍
🚍	ଆସୁଥିବା ବସ୍
🚎	ଟ୍ରଲିବସ୍ |
🚐	ମିନିବସ୍
🚑	ଆମ୍ବୁଲାନ୍ସ
🚒	ଦମକଳ
🚓	ପୋଲିସ୍ କାର୍ |
🚔	ଆସୁଥିବା ପୋଲିସ୍ କାର୍ |
🚕	ଟ୍ୟାକ୍ସି
🚖	ଆସୁଥିବା ଟ୍ୟାକ୍ସି
🚗	ଅଟୋମୋବାଇଲ୍
🚘	ଆଗାମୀ ଅଟୋମୋବାଇଲ୍ |
🚙	କ୍ରୀଡା ଉପଯୋଗୀ ଯାନ |
🚚	ବିତରଣ ଟ୍ରକ୍ |
🚛	ଆର୍ଟିକ୍ୟୁଟେଡ୍ ଲୋରୀ |
🚜	ଟ୍ରାକ୍ଟର
🚲	ସାଇକେଲ
🛴	କିକ ସ୍କୁଟର |
🛹	ସ୍କେଟ୍ ବୋର୍ଡ |
🛵	ମୋଟର ସ୍କୁଟର |
🚏	ବସ୍ ରହଣି ସ୍ଥଳ
🛣️	ମୋଟରୱେ
🛣	ମୋଟରୱେ
🛤️	ରେଳ ଟ୍ରାକ୍
🛤	ରେଳ ଟ୍ରାକ୍
🛢️	ତେଲ ଡ୍ରମ୍ |
🛢	ତେଲ ଡ୍ରମ୍ |
⛽	ଇନ୍ଧନ ପମ୍ପ |
🚨	ପୋଲିସ୍ କାର୍ ଲାଇଟ୍ |
🚥	ଭୂସମାନ୍ତର ଟ୍ରାଫିକ୍ ଲାଇଟ୍ |
🚦	ଭୂଲମ୍ବ ଟ୍ରାଫିକ୍ ଲାଇଟ୍ |
🛑	ବନ୍ଦ ଚିହ୍ନ
🚧	ନିର୍ମାଣ
⚓	ଆଙ୍କର୍
⛵	ନାବିକ
🛶	ଡଙ୍ଗା
🚤	ସ୍ପିଡବୋଟ |
🛳️	ଯାତ୍ରୀ ଜାହାଜ
🛳	ଯାତ୍ରୀ ଜାହାଜ
⛴️	ଫେରି
⛴	ଫେରି
🛥️	ମୋଟର ଡଙ୍ଗା |
🛥	ମୋଟର ଡଙ୍ଗା |
🚢	ଜାହାଜ
✈️	ବିମାନ
✈	ବିମାନ
🛩️	ଛୋଟ ବିମାନ
🛩	ଛୋଟ ବିମାନ
🛫	ବିମାନ ଛାଡ
🛬	ବିମାନ ଆସିବା
💺	ଆସନ
🚁	ହେଲିକପ୍ଟର
🚟	ନିଲମ୍ବନ ରେଳ
🚠	ପର୍ବତ କେବୁଲୱେ |
🚡	ଏରିଲ୍ ଟ୍ରମ୍ୱେ |
🛰️	ଉପଗ୍ରହ
🛰	ଉପଗ୍ରହ
🚀	ରକେଟ୍
🛸	ଫ୍ଲାଇଙ୍ଗ୍ ସସ୍
🛎️	ଘଣ୍ଟି ଘଣ୍ଟି
🛎	ଘଣ୍ଟି ଘଣ୍ଟି
🧳	ଲଗେଜ୍ |
⌛	ଘଣ୍ଟା ଗ୍ଲାସ୍ ସରିଗଲା |
⏳	ଘଣ୍ଟା ଗ୍ଲାସ୍ ହୋଇନାହିଁ |
⌚	ଦେଖନ୍ତୁ |
⏰	ଚେତାବନୀ ଘଡି
⏱️	ଷ୍ଟପୱାଚ୍ |
⏱	ଷ୍ଟପୱାଚ୍ |
⏲️	ଟାଇମର୍ ଘଣ୍ଟା |
⏲	ଟାଇମର୍ ଘଣ୍ଟା |
🕰️	ମଣ୍ଟେଲପିସ୍ ଘଣ୍ଟା |
🕰	ମଣ୍ଟେଲପିସ୍ ଘଣ୍ଟା |
🕛	ବାର ଘଣ୍ଟା
🕧	ବାର-ତିରିଶ
🕐	ଗୋଟାଏ
🕜	ଏକ-ତିରିଶ
🕑	ଦୁଇ ଘଣ୍ଟା
🕝	ଦୁଇ-ତିରିଶ୍
🕒	ତିନି ଘଣ୍ଟା
🕞	ତିନି-ତିରିଶ୍
🕓	ଚାରି ଘଣ୍ଟା |
🕟	ଚାରି-ତିରିଶ୍
🕔	ପାଞ୍ଚ ଘଣ୍ଟା |
🕠	ପାଞ୍ଚ-ତିରିଶ
🕕	ଛଅ ଘଣ୍ଟା |
🕡	ଛଅ-ତିରିଶ୍
🕖	ସାତ ଘଣ୍ଟା |
🕢	ସାତ-ତିରିଶ୍
🕗	ଆଠ ଘଣ୍ଟା
🕣	ଆଠ-ତିରିଶ୍
🕘	ନଅ ଘଣ୍ଟା |
🕤	ନଅ-ତିରିଶ୍
🕙	ଦଶ ଘଣ୍ଟା
🕥	ଦଶ-ତିରିଶ
🕚	ଏଗାରଟା
🕦	ଏକାଦଶ-ତିରିଶ
🌑	ନୁଆ ଜହ୍ନ
🌒	ମହମବତୀ ଚନ୍ଦ୍ର
🌓	ପ୍ରଥମ ତ୍ର quarter ମାସିକ ଚନ୍ଦ୍ର |
🌔	ମହମବତୀ ଗିବସ୍ ଚନ୍ଦ୍ର |
🌕	ପୂର୍ଣିମା
🌖	ଗିବସ୍ ଚନ୍ଦ୍ର
🌗	ଗତ ତ୍ର quarter ମାସିକ ଚନ୍ଦ୍ର |
🌘	କ୍ରନ୍ଦନ ଚନ୍ଦ୍ର
🌙	ଚନ୍ଦ୍ରମା
🌚	ଅମାବାସ୍ୟା
🌛	ପ୍ରଥମ ତ୍ର quarter ମାସିକ ଚନ୍ଦ୍ର ମୁଖ |
🌜	ଗତ ତ୍ର quarter ମାସିକ ଚନ୍ଦ୍ର ମୁଖ |
🌡️	ଥର୍ମୋମିଟର
🌡	ଥର୍ମୋମିଟର
☀️	ସୂର୍ଯ୍ୟ
☀	ସୂର୍ଯ୍ୟ
🌝	ପୂର୍ଣ୍ଣଚନ୍ଦ୍ର ମୁଖ
🌞	ମୁହଁ ସହିତ ସୂର୍ଯ୍ୟ |
⭐	ତାରା
🌟	ଉଜ୍ଜ୍ୱଳ ତାରା
🌠	ସୁଟିଂ ଷ୍ଟାର୍ |
☁️	ମେଘ
☁	ମେଘ
⛅	ମେଘ ପଛରେ ସୂର୍ଯ୍ୟ |
⛈️	ବଜ୍ର ଏବଂ ବର୍ଷା ସହିତ ମେଘ |
⛈	ବଜ୍ର ଏବଂ ବର୍ଷା ସହିତ ମେଘ |
🌤️	ଛୋଟ ମେଘ ପଛରେ ସୂର୍ଯ୍ୟ |
🌤	ଛୋଟ ମେଘ ପଛରେ ସୂର୍ଯ୍ୟ |
🌥️	ବଡ଼ ମେଘ ପଛରେ ସୂର୍ଯ୍ୟ |
🌥	ବଡ଼ ମେଘ ପଛରେ ସୂର୍ଯ୍ୟ |
🌦️	ବର୍ଷା ମେଘ ପଛରେ ସୂର୍ଯ୍ୟ |
🌦	ବର୍ଷା ମେଘ ପଛରେ ସୂର୍ଯ୍ୟ |
🌧️	ବର୍ଷା ସହିତ ମେଘ
🌧	ବର୍ଷା ସହିତ ମେଘ
🌨️	ତୁଷାର ସହିତ ମେଘ
🌨	ତୁଷାର ସହିତ ମେଘ
🌩️	ବିଜୁଳି ସହିତ ମେଘ
🌩	ବିଜୁଳି ସହିତ ମେଘ
🌪️	ଘୂର୍ଣ୍ଣିବଳୟ
🌪	ଘୂର୍ଣ୍ଣିବଳୟ
🌫️	କୁହୁଡି
🌫	କୁହୁଡି
🌬️	ପବନ ମୁହଁ |
🌬	ପବନ ମୁହଁ |
🌀	ଘୂର୍ଣ୍ଣିବଳୟ
🌈	ଇନ୍ଦ୍ରଧନୁ
🌂	ବନ୍ଦ ଛତା
☂️	ଛତା
☂	ଛତା
☔	ବର୍ଷା ବୁନ୍ଦା ସହିତ ଛତା |
⛱️	ଭୂମିରେ ଛତା
⛱	ଭୂମିରେ ଛତା
⚡	ହାଇ ଭୋଲଟେଜ୍ |
❄️	ତୁଷାରପାତ
❄	ତୁଷାରପାତ
☃️	ତୁଷାରପାତ
☃	ତୁଷାରପାତ
⛄	ତୁଷାରପାତ
☄️	ଧୂମ
☄	ଧୂମ
🔥	ଅଗ୍ନି
💧	ବୁନ୍ଦା
🌊	ଜଳ ତରଙ୍ଗ
🎃	ଜ୍ୟାକ୍-ଓ-ଲନ୍ଟର୍ |
🎄	ଖ୍ରୀଷ୍ଟମାସ ଗଛ
🎆	ଆତସବାଜି
🎇	ଚମକ
🧨	ଫାୟାରକ୍ରାକ୍
✨	ଚମକ
🎈	ବେଲୁନ୍
🎉	ପାର୍ଟି ପପର୍ |
🎊	କନଫେଟ୍ଟି ବଲ୍ |
🎋	ତାନାବଟା ଗଛ |
🎍	କଦଳୀ ସାଜସଜ୍ଜା |
🎎	ଜାପାନିଜ୍ ଡଲ୍ |
🎏	କାର୍ପ ଷ୍ଟ୍ରିମର |
🎐	ପବନ
🎑	ଚନ୍ଦ୍ର ଦର୍ଶନ ସମାରୋହ |
🧧	ଲାଲ୍ ଲିଭୋପା
🎀	ରିବନ୍
🎁	ଗୁଡ଼ାଇ ଦିଆଯାଇଥିବା ଉପହାର |
🎗️	ରିମାଇଣ୍ଡର୍ ରିବନ୍ |
🎗	ରିମାଇଣ୍ଡର୍ ରିବନ୍ |
🎟️	ଆଡମିଶନ ଟିକେଟ୍
🎟	ଆଡମିଶନ ଟିକେଟ୍
🎫	ଟିକେଟ୍
🎖️	ସାମରିକ ପଦକ
🎖	ସାମରିକ ପଦକ
🏆	ଟ୍ରଫି
🏅	କ୍ରୀଡା ପଦକ
🥇	ପ୍ରଥମ ସ୍ଥାନ ପଦକ
🥈	୨ୟ ସ୍ଥାନ ପଦକ |
🥉	ତୃତୀୟ ସ୍ଥାନ ପଦକ
⚽	ଫୁଟବଲ୍ ବଲ୍ |
⚾	ବେସବଲ୍ |
🥎	ସଫ୍ଟବଲ୍
🏀	ବାସ୍କେଟବଲ୍ |
🏐	ଭଲିବଲ୍ |
🏈	ଆମେରିକୀୟ ଫୁଟବଲ୍ |
🏉	ରଗବୀ ଫୁଟବଲ୍ |
🎾	ଟେନିସ୍ |
🥏	ଫ୍ଲାଇଙ୍ଗ୍ ଡିସ୍କ |
🎳	ବୋଲିଂ
🏏	କ୍ରିକେଟ୍ ଖେଳ
🏑	ଫିଲ୍ଡ ହକି
🏒	ବରଫ ହକି
🥍	ଲାକ୍ରୋସ୍ |
🏓	ପିଙ୍ଗ୍ ପଙ୍ଗ୍ |
🏸	ବ୍ୟାଡମିଣ୍ଟନ୍ |
🥊	ବକ୍ସିଂ ଗ୍ଲୋଭ୍ |
🥋	ମାର୍ଶଲ ଆର୍ଟ ୟୁନିଫର୍ମ |
🥅	ଲକ୍ଷ୍ୟ ଜାଲ
⛳	ଗର୍ତ୍ତରେ ପତାକା
⛸️	ବରଫ ସ୍କେଟ୍
⛸	ବରଫ ସ୍କେଟ୍
🎣	ମତ୍ସ୍ୟ ପୋଲ
🎽	ଚାଲୁଥିବା ସାର୍ଟ |
🎿	ସ୍କିସ୍
🛷	ସ୍ଲେଡ୍
🥌	କୁଞ୍ଚିତ ପଥର |
🎯	ସିଧାସଳଖ ହିଟ୍ |
🎱	ପୁଲ୍ 8 ବଲ୍ |
🔮	ସ୍ଫଟିକ୍ ବଲ୍ |
🧿	ନାଜର ଅମଲେଟ୍ |
🎮	ଭିଡିଓ ଗେମ୍
🕹️	ଆନନ୍ଦ
🕹	ଆନନ୍ଦ
🎰	ସ୍ଲଟ୍ ମେସିନ୍ |
🎲	ଖେଳ ମର
🧩	ଜିଗ୍
🧸	ଖେଲନା ଭାଲୁ
♠️	ସ୍ପେଡ୍ ସୁଟ୍ |
♠	ସ୍ପେଡ୍ ସୁଟ୍ |
♥️	ହୃଦୟ ସୁଟ୍
♥	ହୃଦୟ ସୁଟ୍
♦️	ହୀରା ସୁଟ୍ |
♦	ହୀରା ସୁଟ୍ |
♣️	କ୍ଲବ୍ ସୁଟ୍ |
♣	କ୍ଲବ୍ ସୁଟ୍ |
♟️	ଚେସ୍ ପାଉନ୍ |
♟	ଚେସ୍ ପାଉନ୍ |
🃏	ଜୋକର୍
🀄	mahjong ଲାଲ୍ ଡ୍ରାଗନ୍ |
🎴	ଫୁଲ ଖେଳିବା କାର୍ଡ |
🎭	କଳା ପ୍ରଦର୍ଶନ
🖼️	ଫ୍ରେମ୍ ହୋଇଥିବା ଚିତ୍ର |
🖼	ଫ୍ରେମ୍ ହୋଇଥିବା ଚିତ୍ର |
🎨	କଳାକାର ପ୍ୟାଲେଟ୍ |
🧵	ସୂତା
🧶	ସୂତା
🔇	ମ୍ୟୁଟେଡ୍ ସ୍ପିକର |
🔈	ସ୍ପିକର କମ୍ ଭଲ୍ୟୁମ୍
🔉	ସ୍ପିକର ମଧ୍ୟମ ଭଲ୍ୟୁମ୍
🔊	ସ୍ପିକର ଉଚ୍ଚ ଭଲ୍ୟୁମ୍
📢	ଲାଉଡ ସ୍ପିକର |
📣	ମେଗାଫୋନ୍ |
📯	ଡାକ ଶିଙ୍ଗ
🔔	ଘଣ୍ଟି
🔕	ସ୍ଲାସ୍ ସହିତ ଘଣ୍ଟି |
🎼	ସଂଗୀତ ସ୍କୋର |
🎵	ବାଦ୍ୟଯନ୍ତ୍ର
🎶	ବାଦ୍ୟଯନ୍ତ୍ର
🎙️	ଷ୍ଟୁଡିଓ ମାଇକ୍ରୋଫୋନ୍ |
🎙	ଷ୍ଟୁଡିଓ ମାଇକ୍ରୋଫୋନ୍ |
🎚️	ଲେଭଲ୍ ସ୍ଲାଇଡର୍ |
🎚	ଲେଭଲ୍ ସ୍ଲାଇଡର୍ |
🎛️	ନବା ନିୟନ୍ତ୍ରଣ କରନ୍ତୁ |
🎛	ନବା ନିୟନ୍ତ୍ରଣ କରନ୍ତୁ |
🎤	ମାଇକ୍ରୋଫୋନ୍ |
🎧	ହେଡଫୋନ୍ |
📻	ରେଡିଓ
🎷	ସାକ୍ସୋଫୋନ୍ |
🎸	ଗିଟାର
🎹	ମ୍ୟୁଜିକାଲ୍ କୀବୋର୍ଡ୍ |
🎺	ତୂରୀ
🎻	ବାଦ୍ୟଯନ୍ତ୍ର
🥁	ଡ୍ରମ୍
📱	ମୋବାଇଲ ଫୋନ
📲	ତୀର ସହିତ ମୋବାଇଲ୍ ଫୋନ୍ |
☎️	ଟେଲିଫୋନ୍ |
☎	ଟେଲିଫୋନ୍ |
