😀	nacereno lice
🚵🏻‍♂️	muškarac brdski biciklist: svijetla koža
🚵🏻‍♂	muškarac brdski biciklist: svijetla koža
🚵🏼‍♂️	muškarac brdski biciklizam: srednje svijetla koža
🚵🏼‍♂	muškarac brdski biciklizam: srednje svijetla koža
🚵🏽‍♂️	muškarac brdski biciklist: srednja boja kože
🚵🏽‍♂	muškarac brdski biciklist: srednja boja kože
🚵🏾‍♂️	muškarac brdski biciklizam: srednje tamna koža
🚵🏾‍♂	muškarac brdski biciklizam: srednje tamna koža
🚵🏿‍♂️	muškarac brdski biciklizam: tamna koža
🚵🏿‍♂	muškarac brdski biciklizam: tamna koža
🚵‍♀️	žena brdski biciklizam
🚵‍♀	žena brdski biciklizam
🚵🏻‍♀️	žena koja vozi brdski bicikl: svijetla koža
🚵🏻‍♀	žena koja vozi brdski bicikl: svijetla koža
🚵🏼‍♀️	žena koja vozi brdski bicikl: srednje svijetla koža
🚵🏼‍♀	žena koja vozi brdski bicikl: srednje svijetla koža
🚵🏽‍♀️	žena koja vozi brdski bicikl: srednja boja kože
🚵🏽‍♀	žena koja vozi brdski bicikl: srednja boja kože
🚵🏾‍♀️	žena koja vozi brdski bicikl: srednje tamna koža
🚵🏾‍♀	žena koja vozi brdski bicikl: srednje tamna koža
🚵🏿‍♀️	žena brdski biciklizam: tamna koža
🚵🏿‍♀	žena brdski biciklizam: tamna koža
🏎️	trkači automobil
🏎	trkači automobil
🏍️	motocikl
🏍	motocikl
🤸	osoba cartwheeling
🤸🏻	osoba koja se vozi: svijetla boja kože
🤸🏼	osoba koja se vozi: srednje svijetla boja kože
🤸🏽	osoba koja se vozi: srednja boja kože
🤸🏾	osoba koja se vozi: srednje tamna koža
🤸🏿	osoba koja se vozi: tamna koža
🤸‍♂️	čovjek koji vozi kola
🤸‍♂	čovjek koji vozi kola
🤸🏻‍♂️	čovjek koji vozi kola: svijetla koža
🤸🏻‍♂	čovjek koji vozi kola: svijetla koža
🤸🏼‍♂️	čovjek koji vozi kola: srednje svijetla boja kože
🤸🏼‍♂	čovjek koji vozi kola: srednje svijetla boja kože
🤸🏽‍♂️	čovjek koji vozi kola: srednja boja kože
🤸🏽‍♂	čovjek koji vozi kola: srednja boja kože
🤸🏾‍♂️	čovjek koji vozi kola: srednje tamna koža
🤸🏾‍♂	čovjek koji vozi kola: srednje tamna koža
🤸🏿‍♂️	čovjek koji vozi kola: tamna koža
🤸🏿‍♂	čovjek koji vozi kola: tamna koža
🤸‍♀️	žena cartwheeling
🤸‍♀	žena cartwheeling
🤸🏻‍♀️	žena koja vozi kola: svijetla koža
🤸🏻‍♀	žena koja vozi kola: svijetla koža
🤸🏼‍♀️	žena koja vozi kola: srednje svijetla koža
🤸🏼‍♀	žena koja vozi kola: srednje svijetla boja kože
🤸🏽‍♀️	žena koja vozi kola: srednja boja kože
🤸🏽‍♀	žena koja vozi kola: srednja boja kože
🤸🏾‍♀️	žena koja vozi kola: srednje tamna koža
🤸🏾‍♀	žena koja vozi kola: srednje tamna koža
🤸🏿‍♀️	žena koja vozi kola: tamna koža
🤸🏿‍♀	žena koja vozi kola: tamna koža
🤼	ljudi koji se hrvaju
🤼‍♂️	muškarci koji se hrvaju
🤼‍♂	muškarci koji se hrvaju
🤼‍♀️	žene koje se hrvaju
🤼‍♀	žene koje se hrvaju
🤽	osoba koja igra vaterpolo
🤽🏻	osoba koja igra vaterpolo: svijetla boja kože
🤽🏼	osoba koja igra vaterpolo: srednje svijetla boja kože
🤽🏽	osoba koja igra vaterpolo: srednja boja kože
🤽🏾	osoba koja igra vaterpolo: srednje tamna koža
🤽🏿	osoba koja igra vaterpolo: tamna koža
🤽‍♂️	čovjek koji igra vaterpolo
🤽‍♂	čovjek koji igra vaterpolo
🤽🏻‍♂️	muškarac koji igra vaterpolo: svijetla koža
🤽🏻‍♂	muškarac koji igra vaterpolo: svijetla koža
🤽🏼‍♂️	muškarac koji igra vaterpolo: srednje svijetla boja kože
🤽🏼‍♂	muškarac koji igra vaterpolo: srednje svijetla boja kože
🤽🏽‍♂️	muškarac koji igra vaterpolo: srednja boja kože
🤽🏽‍♂	muškarac koji igra vaterpolo: srednja boja kože
🤽🏾‍♂️	muškarac koji igra vaterpolo: srednje tamna koža
🤽🏾‍♂	muškarac koji igra vaterpolo: srednje tamna koža
🤽🏿‍♂️	muškarac koji igra vaterpolo: tamna koža
🤽🏿‍♂	muškarac koji igra vaterpolo: tamna koža
🤽‍♀️	žena koja igra vaterpolo
🤽‍♀	žena koja igra vaterpolo
🤽🏻‍♀️	žena koja igra vaterpolo: svijetla boja kože
🤽🏻‍♀	žena koja igra vaterpolo: svijetla boja kože
🤽🏼‍♀️	žena koja igra vaterpolo: srednje svijetla koža
🤽🏼‍♀	žena koja igra vaterpolo: srednje svijetla koža
🤽🏽‍♀️	žena koja igra vaterpolo: srednja boja kože
🤽🏽‍♀	žena koja igra vaterpolo: srednja boja kože
🤽🏾‍♀️	žena koja igra vaterpolo: srednje tamna koža
🤽🏾‍♀	žena koja igra vaterpolo: srednje tamna koža
🤽🏿‍♀️	žena koja igra vaterpolo: tamna koža
🤽🏿‍♀	žena koja igra vaterpolo: tamna koža
🤾	osoba koja igra rukomet
🤾🏻	osoba koja igra rukomet: svijetla koža
🤾🏼	osoba koja igra rukomet: srednje svijetla koža
🤾🏽	osoba koja igra rukomet: srednja boja kože
🤾🏾	osoba koja igra rukomet: srednje tamna koža
🤾🏿	osoba koja igra rukomet: tamna koža
🤾‍♂️	čovjek koji igra rukomet
🤾‍♂	čovjek koji igra rukomet
🤾🏻‍♂️	muškarac koji igra rukomet: svijetla koža
🤾🏻‍♂	muškarac koji igra rukomet: svijetla koža
🤾🏼‍♂️	muškarac koji igra rukomet: srednje svijetla koža
🤾🏼‍♂	muškarac koji igra rukomet: srednje svijetla koža
🤾🏽‍♂️	muškarac koji igra rukomet: srednja boja kože
🤾🏽‍♂	muškarac koji igra rukomet: srednja boja kože
🤾🏾‍♂️	muškarac koji igra rukomet: srednje tamna koža
🤾🏾‍♂	muškarac koji igra rukomet: srednje tamna koža
🤾🏿‍♂️	muškarac koji igra rukomet: tamna koža
🤾🏿‍♂	muškarac koji igra rukomet: tamna koža
🤾‍♀️	žena igra rukomet
🤾‍♀	žena igra rukomet
🤾🏻‍♀️	žena koja igra rukomet: svijetla koža
🤾🏻‍♀	žena koja igra rukomet: svijetla koža
🤾🏼‍♀️	žena koja igra rukomet: srednje svijetla koža
🤾🏼‍♀	žena koja igra rukomet: srednje svijetla koža
🤾🏽‍♀️	žena koja igra rukomet: srednja boja kože
🤾🏽‍♀	žena koja igra rukomet: srednja boja kože
🤾🏾‍♀️	žena koja igra rukomet: srednje tamna koža
🤾🏾‍♀	žena koja igra rukomet: srednje tamna koža
🤾🏿‍♀️	žena koja igra rukomet: tamna koža
🤾🏿‍♀	žena koja igra rukomet: tamna koža
🤹	osoba koja žonglira
🤹🏻	osoba koja žonglira: svijetla boja kože
🤹🏼	osoba koja žonglira: srednje svijetla boja kože
🤹🏽	osoba koja žonglira: srednja boja kože
🤹🏾	osoba koja žonglira: srednje tamna boja kože
🤹🏿	osoba koja žonglira: tamna koža
🤹‍♂️	čovjek koji žonglira
🤹‍♂	čovjek koji žonglira
🤹🏻‍♂️	čovjek koji žonglira: svijetla boja kože
🤹🏻‍♂	čovjek koji žonglira: svijetla boja kože
🤹🏼‍♂️	muškarac koji žonglira: srednje svijetla boja kože
🤹🏼‍♂	muškarac koji žonglira: srednje svijetla boja kože
🤹🏽‍♂️	muškarac koji žonglira: srednja boja kože
🤹🏽‍♂	muškarac koji žonglira: srednja boja kože
🤹🏾‍♂️	muškarac koji žonglira: srednje tamna koža
🤹🏾‍♂	muškarac koji žonglira: srednje tamna koža
🤹🏿‍♂️	čovjek koji žonglira: tamna koža
🤹🏿‍♂	čovjek koji žonglira: tamna koža
🤹‍♀️	žena žongliranje
🤹‍♀	žena žongliranje
🤹🏻‍♀️	žena žonglira: svijetla boja kože
🤹🏻‍♀	žena žonglira: svijetla boja kože
🤹🏼‍♀️	žena koja žonglira: srednje svijetla boja kože
🤹🏼‍♀	žena koja žonglira: srednje svijetla boja kože
🤹🏽‍♀️	žena žonglira: srednja boja kože
🤹🏽‍♀	žena žonglira: srednja boja kože
🤹🏾‍♀️	žena žonglira: srednje tamna koža
🤹🏾‍♀	žena žonglira: srednje tamna koža
🤹🏿‍♀️	žena žonglira: tamna koža
🤹🏿‍♀	žena žonglira: tamna koža
👫	muškarac i žena koji se drže za ruke
👬	dva muškarca koji se drže za ruke
👭	dvije žene koje se drže za ruke
💏	poljubac
👩‍❤️‍💋‍👨	poljubac: žena, muškarac
👩‍❤‍💋‍👨	poljubac: žena, muškarac
👨‍❤️‍💋‍👨	poljubac: čovjek, čovjek
👨‍❤‍💋‍👨	poljubac: čovjek, čovjek
👩‍❤️‍💋‍👩	poljubac: žena, žena
👩‍❤‍💋‍👩	poljubac: žena, žena
💑	par sa srcem
👩‍❤️‍👨	par sa srcem: žena, muškarac
👩‍❤‍👨	par sa srcem: žena, muškarac
👨‍❤️‍👨	par sa srcem: čovjek, čovjek
👨‍❤‍👨	par sa srcem: čovjek, čovjek
👩‍❤️‍👩	par sa srcem: žena, žena
👩‍❤‍👩	par sa srcem: žena, žena
👪	obitelj
👨‍👩‍👦	obitelj: muškarac, žena, dječak
👨‍👩‍👧	obitelj: muškarac, žena, djevojka
👨‍👩‍👧‍👦	obitelj: muškarac, žena, djevojčica, dječak
👨‍👩‍👦‍👦	obitelj: muškarac, žena, dječak, dječak
👨‍👩‍👧‍👧	obitelj: muškarac, žena, djevojka, djevojka
👨‍👨‍👦	obitelj: muškarac, muškarac, dječak
👨‍👨‍👧	obitelj: muškarac, muškarac, djevojka
👨‍👨‍👧‍👦	obitelj: muškarac, muškarac, djevojčica, dječak
👨‍👨‍👦‍👦	obitelj: muškarac, muškarac, dječak, dječak
👨‍👨‍👧‍👧	obitelj: muškarac, muškarac, djevojka, djevojka
👩‍👩‍👦	obitelj: žena, žena, dječak
👩‍👩‍👧	obitelj: žena, žena, djevojka
👩‍👩‍👧‍👦	obitelj: žena, žena, djevojka, dječak
👩‍👩‍👦‍👦	obitelj: žena, žena, dječak, dječak
👩‍👩‍👧‍👧	obitelj: žena, žena, djevojka, djevojka
👨‍👦	obitelj: muškarac, dječak
👨‍👦‍👦	obitelj: muškarac, dječak, dječak
👨‍👧	obitelj: muškarac, djevojka
👨‍👧‍👦	obitelj: muškarac, djevojčica, dječak
👨‍👧‍👧	obitelj: muškarac, djevojka, djevojka
👩‍👦	obitelj: žena, dječak
👩‍👦‍👦	obitelj: žena, dječak, dječak
👩‍👧	obitelj: žena, djevojka
👩‍👧‍👦	obitelj: žena, djevojka, dječak
👩‍👧‍👧	obitelj: žena, djevojka, djevojka
🤳	selfie
🤳🏻	selfie: svijetla boja kože
🤳🏼	selfie: srednje svijetla boja kože
🤳🏽	selfie: srednja boja kože
🤳🏾	selfie: srednje tamna boja kože
🤳🏿	selfie: tamna boja kože
💪	savijeni biceps
💪🏻	savijeni biceps: svijetla koža
💪🏼	savijeni biceps: srednje svijetla koža
💪🏽	savijeni biceps: srednja boja kože
💪🏾	savijeni biceps: srednje tamna koža
💪🏿	savijeni biceps: tamna koža
🦵	noga
🦵🏻	noga: svijetla boja kože
🦵🏼	noga: srednje svijetla boja kože
🦵🏽	noga: srednja boja kože
🦵🏾	noga: srednje tamna boja kože
🦵🏿	noga: tamna boja kože
🦶	noga
🦶🏻	stopalo: svijetla boja kože
🦶🏼	stopalo: srednje svijetla boja kože
🦶🏽	stopalo: srednja boja kože
🦶🏾	stopalo: srednje tamna boja kože
🦶🏿	stopalo: tamna boja kože
👈	stražnji indeks usmjeren ulijevo
👈🏻	stražnji kažiprst usmjeren lijevo: svijetla boja kože
👈🏼	stražnja kazaljka usmjerena ulijevo: srednje svijetla boja kože
👈🏽	stražnji kažiprst usmjeren lijevo: srednja boja kože
👈🏾	stražnja kazaljka usmjerena lijevo: srednje tamna boja kože
👈🏿	stražnji kažiprst usmjeren lijevo: tamna koža
👉	stražnji kažiprst usmjeren udesno
👉🏻	stražnji kažiprst usmjeren desno: svijetla boja kože
👉🏼	stražnja kazaljka usmjerena udesno: srednje svijetla boja kože
👉🏽	stražnji kažiprst usmjeren desno: srednja boja kože
👉🏾	stražnja kazaljka usmjerena udesno: srednje tamna boja kože
👉🏿	stražnji kažiprst usmjeren desno: tamna boja kože
☝️	indeks usmjeren prema gore
☝	indeks usmjeren prema gore
☝🏻	indeks usmjeren prema gore: svijetla boja kože
☝🏼	indeks usmjeren prema gore: srednje svijetla boja kože
☝🏽	indeks usmjeren prema gore: srednja boja kože
☝🏾	indeks usmjeren prema gore: srednje tamna boja kože
☝🏿	indeks usmjeren prema gore: tamna boja kože
👆	stražnji kažiprst usmjeren prema gore
👆🏻	stražnji kažiprst usmjeren prema gore: svijetla boja kože
👆🏼	leđni indeks usmjeren prema gore: srednje svijetla boja kože
👆🏽	stražnji kažiprst usmjeren prema gore: srednja boja kože
👆🏾	stražnja kazaljka usmjerena prema gore: srednje tamna boja kože
👆🏿	stražnji kažiprst usmjeren prema gore: tamna boja kože
🖕	srednji prst
🖕🏻	srednji prst: svijetla boja kože
🖕🏼	srednji prst: srednje svijetla boja kože
🖕🏽	srednji prst: srednja boja kože
🖕🏾	srednji prst: srednje tamna koža
🖕🏿	srednji prst: tamna koža
👇	stražnji indeks okrenut prema dolje
👇🏻	stražnji kažiprst usmjeren prema dolje: svijetla boja kože
👇🏼	stražnji kažiprst usmjeren prema dolje: srednje svijetla boja kože
👇🏽	stražnja kazaljka usmjerena prema dolje: srednja boja kože
👇🏾	leđni indeks usmjeren prema dolje: srednje tamna boja kože
👇🏿	leđni indeks usmjeren prema dolje: tamna koža
✌️	pobjednička ruka
✌	pobjednička ruka
✌🏻	pobjednička ruka: svijetla koža
✌🏼	pobjednička ruka: srednje svijetla boja kože
✌🏽	pobjednička ruka: srednja boja kože
✌🏾	pobjednička ruka: srednje tamna koža
✌🏿	ruka pobjede: tamna boja kože
🤞	prekriženih prstiju
🤞🏻	prekriženi prsti: svijetla koža
🤞🏼	prekriženi prsti: srednje svijetla koža
🤞🏽	prekriženi prsti: srednja boja kože
🤞🏾	prekriženi prsti: srednje tamna koža
🤞🏿	prekriženi prsti: tamna koža
🖖	vulkanski pozdrav
🖖🏻	vulkanski pozdrav: svijetla boja kože
🖖🏼	vulkanski pozdrav: srednje svijetla boja kože
🖖🏽	vulkanski pozdrav: srednja boja kože
🖖🏾	vulkanski pozdrav: srednje tamna koža
🖖🏿	vulkanski pozdrav: tamna koža
🤘	znak rogova
🤘🏻	znak rogova: svijetla boja kože
🤘🏼	znak rogova: srednje svijetla boja kože
🤘🏽	znak rogova: srednja boja kože
🤘🏾	znak rogova: srednje tamna koža
🤘🏿	znak rogova: tamna boja kože
🤙	pozovi me rukom
🤙🏻	nazovi me rukom: svijetla boja kože
🤙🏼	nazovi me rukom: srednje svijetla boja kože
🤙🏽	nazovi me rukom: srednja boja kože
🤙🏾	nazovi me rukom: srednje tamna koža
🤙🏿	nazovi me rukom: tamna boja kože
🖐️	ruka s raširenim prstima
🖐	ruka s raširenim prstima
🖐🏻	ruka s raširenim prstima: svijetla boja kože
🖐🏼	ruka s raširenim prstima: srednje svijetla boja kože
🖐🏽	ruka s raširenim prstima: srednja boja kože
🖐🏾	ruka s raširenim prstima: srednje tamna koža
🖐🏿	ruka s raširenim prstima: tamna koža
✋	podignuta ruka
✋🏻	podignuta ruka: svijetla koža
✋🏼	podignuta ruka: srednje svijetla koža
✋🏽	podignuta ruka: srednja boja kože
✋🏾	podignuta ruka: srednje tamna koža
✋🏿	podignuta ruka: tamna koža
👌	OK ruka
👌🏻	OK ruka: svijetla boja kože
👌🏼	OK ruka: srednje svijetla boja kože
👌🏽	OK ruka: srednja boja kože
👌🏾	OK ruka: srednje tamna koža
👌🏿	OK ruka: tamna boja kože
👍	palac gore
👍🏻	palac gore: svijetla boja kože
👍🏼	palac gore: srednje svijetla boja kože
👍🏽	palac gore: srednja boja kože
👍🏾	palac gore: srednje tamna koža
👍🏿	palac gore: tamna boja kože
👎	palac dolje
👎🏻	palac dolje: svijetla boja kože
👎🏼	palac dolje: srednje svijetla boja kože
👎🏽	palac dolje: srednja boja kože
👎🏾	palac dolje: srednje tamna boja kože
👎🏿	palac dolje: tamna boja kože
✊	podignuta šaka
✊🏻	podignuta šaka: svijetla boja kože
✊🏼	podignuta šaka: srednje svijetla koža
✊🏽	podignuta šaka: srednja boja kože
✊🏾	podignuta šaka: srednje tamna koža
✊🏿	podignuta šaka: tamna koža
👊	nadolazeća šaka
👊🏻	nadolazeća šaka: svijetla boja kože
👊🏼	nadolazeća šaka: srednje svijetla boja kože
👊🏽	nadolazeća šaka: srednja boja kože
👊🏾	nadolazeća šaka: srednje tamna koža
👊🏿	nadolazeća šaka: tamna boja kože
🤛	lijevo okrenuta šaka
🤛🏻	šaka okrenuta ulijevo: svijetla boja kože
🤛🏼	šaka okrenuta ulijevo: srednje svijetla boja kože
🤛🏽	šaka okrenuta ulijevo: srednji ton kože
🤛🏾	šaka okrenuta ulijevo: srednje tamna koža
🤛🏿	šaka okrenuta ulijevo: tamna koža
🤜	desna šaka
🤜🏻	šaka okrenuta udesno: svijetla boja kože
🤜🏼	šaka okrenuta udesno: srednje svijetla boja kože
🤜🏽	šaka okrenuta udesno: srednja boja kože
🤜🏾	šaka okrenuta udesno: srednje tamna koža
🤜🏿	šaka okrenuta udesno: tamna koža
🤚	podignuta nadlanica
🤚🏻	podignuta nadlanica: svijetla koža
🤚🏼	podignuta nadlanica: srednje svijetla koža
🤚🏽	podignuta nadlanica: srednja boja kože
🤚🏾	podignuta nadlanica: srednje tamna koža
🤚🏿	podignuta nadlanica: tamna koža
👋	mašući rukom
👋🏻	maše rukom: svijetla koža
👋🏼	maše rukom: srednje svijetla koža
👋🏽	maše rukom: srednja boja kože
👋🏾	maše rukom: srednje tamna koža
👋🏿	maše rukom: tamna koža
🤟	gesta ljubavi
🤟🏻	gesta volim te: svijetla boja kože
🤟🏼	gesta volim te: srednje svijetla boja kože
🤟🏽	gesta volim te: srednja boja kože
🤟🏾	gesta volim te: srednje tamna koža
🤟🏿	gesta volim te: tamna boja kože
✍️	ruka za pisanje
✍	ruka za pisanje
✍🏻	ruka koja piše: svijetla boja kože
✍🏼	ruka koja piše: srednje svijetla boja kože
✍🏽	ruka koja piše: srednja boja kože
✍🏾	ruka koja piše: srednje tamna koža
✍🏿	ruka koja piše: tamna koža
👏	pljeskanje rukama
👏🏻	pljeskanje rukama: svijetla boja kože
👏🏼	pljeskanje rukama: srednje svijetla boja kože
👏🏽	pljeskanje rukama: srednja boja kože
👏🏾	pljeskanje rukama: srednje tamna koža
👏🏿	pljeskanje rukama: tamna boja kože
👐	otvorenih ruku
👐🏻	otvorene ruke: svijetla koža
👐🏼	otvorene ruke: srednje svijetla koža
👐🏽	otvorene ruke: srednja boja kože
👐🏾	otvorene šake: srednje tamna koža
👐🏿	otvorene ruke: tamna koža
🙌	dizanje ruku
🙌🏻	podizanje ruku: svijetla boja kože
🙌🏼	podizanje ruku: srednje svijetla koža
🙌🏽	podizanje ruku: srednja boja kože
🙌🏾	podizanje ruku: srednje tamna koža
🙌🏿	podizanje ruku: tamna koža
🤲	dlanove prema gore zajedno
🤲🏻	dlanovi prema gore zajedno: svijetla boja kože
🤲🏼	dlanovi prema gore zajedno: srednje svijetla boja kože
🤲🏽	dlanovi gore zajedno: srednja boja kože
🤲🏾	dlanovi prema gore zajedno: srednje tamna boja kože
🤲🏿	dlanovi prema gore zajedno: tamna boja kože
🙏	sklopljenih ruku
🙏🏻	sklopljene ruke: svijetla koža
🙏🏼	sklopljene ruke: srednje svijetla koža
🙏🏽	sklopljene ruke: srednja boja kože
🙏🏾	sklopljene ruke: srednje tamna koža
🙏🏿	sklopljene ruke: tamna koža
🤝	stisak ruke
💅	lak za nokte
💅🏻	lak za nokte: svijetla boja kože
💅🏼	lak za nokte: srednje svijetla boja kože
💅🏽	lak za nokte: srednja boja kože
💅🏾	lak za nokte: srednje tamna boja kože
💅🏿	lak za nokte: tamna boja kože
👂	uho
👂🏻	uho: svijetla boja kože
👂🏼	uho: srednje svijetla boja kože
👂🏽	uho: srednja boja kože
👂🏾	uho: srednje tamna boja kože
👂🏿	uho: tamna boja kože
👃	nos
👃🏻	nos: svijetla boja kože
👃🏼	nos: srednje svijetla boja kože
👃🏽	nos: srednja boja kože
👃🏾	nos: srednje tamna boja kože
👃🏿	nos: tamna boja kože
🦰	crvenokosa
🦱	kovrčav
🦲	ćelav
🦳	bjelokos
👣	otisci stopala
👀	oči
👁️	oko
👁	oko
👁️‍🗨️	oko u oblačiću govora
👁‍🗨️	oko u oblačiću govora
👁️‍🗨	oko u oblačiću govora
👁‍🗨	oko u oblačiću govora
🧠	mozak
🦴	kost
🦷	zub
👅	jezik
👄	usta
💋	znak poljupca
💘	srce sa strijelom
❤️	crveno srce
❤	crveno srce
💓	srce koje kuca
💔	slomljeno srce
💕	dva srca
💖	iskričavo srce
💗	rastuće srce
💙	plavo srce
💚	zeleno srce
💛	žuto srce
🧡	narančasto srce
💜	ljubičasto srce
🖤	crno srce
💝	srce s vrpcom
💞	okreće srca
💟	ukras srca
❣️	teška srca usklik
❣	teška srca usklik
💌	ljubavno pismo
💤	zzz
💢	simbol ljutnje
💣	bomba
💥	sudar
💦	kapljice znoja
💨	odjuriti
💫	vrtoglavica
💬	govorni balon
🗨️	lijevi oblačić govora
🗨	lijevi oblačić govora
🗯️	desni mjehurić ljutnje
🗯	desni mjehurić ljutnje
💭	misaoni balon
🕳️	rupa
🕳	rupa
👓	naočale
🕶️	sunčane naočale
🕶	sunčane naočale
🥽	zaštitne naočale
🥼	Laboratorijska kuta
👔	kravata
👕	majica
👖	traperice
🧣	šal
🧤	rukavice
🧥	kaput
🧦	čarape
👗	haljina
👘	kimono
👙	bikini
👚	ženska odjeća
👛	torbica
👜	ručna torbica
👝	clutch torba
🛍️	torbe za kupovinu
🛍	torbe za kupovinu
🎒	školski ruksak
👞	muška cipela
👟	tenisica za trčanje
🥾	planinarska čizma
🥿	ženska ravna cipela
👠	cipela s visokom petom
👡	ženska sandala
👢	ženska čizma
👑	kruna
👒	ženski šešir
🎩	cilindar
🎓	maturalna kapa
🧢	naplaćena kapa
⛑️	kaciga spasioca
⛑	kaciga spasioca
📿	molitvena zrnca
💄	ruž
💍	prsten
💎	dragi kamen
🐵	lice majmuna
🐒	majmun
🦍	gorila
🐶	lice psa
🐕	pas
🐩	pudlica
🐺	vučje lice
🦊	lice lisice
🦝	rakun
🐱	mačje lice
🐈	mačka
🦁	lavlje lice
🐯	lice tigra
🐅	tigar
🐆	leopard
🐴	konjsko lice
🐎	konj
🦄	lice jednoroga
🦓	zebra
🦌	jelen
🐮	kravlje lice
🐂	vol
🐃	vodeni bivol
🐄	krava
🐷	svinjsko lice
🐖	svinja
🐗	vepar
🐽	svinjski nos
🐏	radna memorija
🐑	ovca
🐐	Jarac
🐪	deva
🐫	dvogrba deva
🦙	ljama
🦒	žirafa
🐘	slon
🦏	nosorog
🦛	nilski konj
🐭	lice miša
🐁	miš
🐀	štakor
🐹	lice hrčka
🐰	zečje lice
🐇	zec
🐿️	vjeverica
🐿	vjeverica
🦔	jež
🦇	šišmiš
🐻	lice medvjeda
🐨	koala
🐼	lice pande
🦘	klokan
🦡	jazavac
🐾	otisci šape
🦃	purica
🐔	piletina
🐓	pijetao
🐣	pile koje se izleže
🐤	beba pile
🐥	pile okrenuto naprijed
🐦	ptica
🐧	pingvin
🕊️	golubica
🕊	golubica
🦅	orao
🦆	patka
🦢	labud
🦉	sova
🦚	paun
🦜	papiga
🐸	žablje lice
🐊	krokodil
🐢	kornjača
🦎	gušter
🐍	zmija
🐲	lice zmaja
🐉	zmaj
🦕	sauropod
🦖	T-Rex
🐳	pljušteći kit
🐋	kit
🐬	dupin
🐟	riba
🐠	tropska riba
🐡	riba napuhač
🦈	morski pas
🐙	hobotnica
🐚	spiralna ljuska
🦀	Rak
🦞	jastog
🦐	škampi
🦑	lignje
🐌	puž
🦋	leptir
🐛	buba
🐜	mrav
🐝	medonosna pčela
🐞	bubamara
🦗	kriket
🕷️	pauk
🕷	pauk
🕸️	paukova mreža
🕸	paukova mreža
🦂	škorpion
🦟	komarac
🦠	mikrob
💐	buket
🌸	trešnjin cvijet
💮	bijeli cvijet
🏵️	rozeta
🏵	rozeta
🌹	ruža
🥀	uvenuli cvijet
🌺	hibiskus
🌻	suncokret
🌼	cvijet
🌷	lala
🌱	sadnica
🌲	zimzeleno drvo
🌳	listopadno drvo
🌴	palmino drvo
🌵	kaktus
🌾	snop riže
🌿	biljka
☘️	djetelina
☘	djetelina
🍀	djetelina s četiri lista
🍁	javorov list
🍂	otpalo lišće
🍃	lišće leprša na vjetru
🍇	grožđe
🍈	dinja
🍉	lubenica
🍊	mandarina
🍋	limun
🍌	banana
🍍	ananas
🥭	mango
🍎	crvena Jabuka
🍏	zelena jabuka
🍐	kruška
🍑	breskva
🍒	trešnje
🍓	jagoda
🥝	voće kivi
🍅	rajčica
🥥	kokos
🥑	avokado
🍆	patlidžan
🥔	krumpir
🥕	mrkva
🌽	klasje kukuruza
🌶️	feferon
🌶	feferon
🥒	krastavac
🥬	lisnato zelena
🥦	brokula
🍄	gljiva
🥜	kikiriki
🌰	kesten
🍞	kruh
🥐	kroasan
🥖	baguette kruh
🥨	pereca
🥯	Pecivo
🥞	palačinke
🧀	kriška sira
🍖	meso na kostima
🍗	but peradi
🥩	komad mesa
🥓	slanina
🍔	hamburger
🍟	pomfrit
🍕	pizza
🌭	hot dog
🥪	sendvič
🌮	taco
🌯	burrito
🥙	punjeni somun
🥚	jaje
🍳	kuhanje
🥘	plitka posuda s hranom
🍲	lonac hrane
🥣	posuda sa žlicom
🥗	zelena salata
🍿	kokice
🧂	sol
🥫	konzervirana hrana
🍱	bento kutija
🍘	rižin kreker
🍙	kugla riže
🍚	kuhana riža
🍛	curry riža
🍜	posuda za kuhanje na pari
🍝	špageti
🍠	pečeni slatki krumpir
🍢	oden
🍣	sushi
🍤	prženi škampi
🍥	riblji kolač s vrtlogom
🥮	mjesecev kolac
🍡	dango
🥟	knedla
🥠	kolačić sudbine
🥡	kutija za van
🍦	meki sladoled
🍧	obrijani led
🍨	sladoled
🍩	krafna
🍪	kolačić
🎂	rođendanska torta
🍰	kolač od kolača
🧁	Kolačić
🥧	pita
🍫	čokoladica
🍬	bombon
🍭	lizalica
🍮	krema
🍯	lonac za med
🍼	bočica za bebe
🥛	čaša mlijeka
☕	topli napitak
🍵	šalica za čaj bez drške
🍶	sake
🍾	boca s čepom za otvaranje
🍷	čaša za vino
🍸	čaša za koktel
🍹	tropsko piće
🍺	krigla za pivo
🍻	zveckanje pivskih krigli
🥂	zveckanje čaša
🥃	staklo za čašu
🥤	šalica sa slamkom
🥢	štapići za jelo
🍽️	vilica i nož s tanjurom
🍽	vilica i nož s tanjurom
🍴	vilica i nož
🥄	žlica
🔪	Kuhinjski nož
🏺	amfora
🌍	globus koji prikazuje Europu-Afriku
🌎	globus koji prikazuje Ameriku
🌏	globus koji prikazuje Aziju-Australiju
🌐	globus s meridijanima
🗺️	karta svijeta
🗺	karta svijeta
🗾	karta Japana
🧭	kompas
🏔️	planina pokrivena snijegom
🏔	planina pokrivena snijegom
⛰️	planina
⛰	planina
🌋	vulkan
🗻	planina Fuji
🏕️	kampiranje
🏕	kampiranje
🏖️	plaža sa suncobranom
🏖	plaža sa suncobranom
🏜️	pustinja
🏜	pustinja
🏝️	pustinjski otok
🏝	pustinjski otok
