😀	የሚስቅ ፊት
👎🏿	አውራ ጣት: ጥቁር የቆዳ ቀለም
✊	የተነሣ ቡጢ
✊🏻	ከፍ ያለ ጡጫ: ቀላል የቆዳ ቀለም
✊🏼	ከፍ ያለ ጡጫ፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
✊🏽	ከፍ ያለ ጡጫ: መሃከለኛ የቆዳ ቀለም
✊🏾	ከፍ ያለ ቡጢ: መሃከለኛ-ጥቁር የቆዳ ቀለም
✊🏿	ከፍ ያለ ቡጢ: ጥቁር የቆዳ ቀለም
👊	የሚመጣው ቡጢ
👊🏻	የሚመጣው ቡጢ: ቀላል የቆዳ ቀለም
👊🏼	የሚመጣው ቡጢ፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
👊🏽	የሚመጣው ቡጢ: መሃከለኛ የቆዳ ቀለም
👊🏾	የሚመጣው ቡጢ: መሃከለኛ-ጥቁር የቆዳ ቀለም
👊🏿	የሚመጣው ቡጢ: ጥቁር የቆዳ ቀለም
🤛	በግራ በኩል ያለው ቡጢ
🤛🏻	ወደ ግራ የሚያይ ጡጫ፡ ቀላል የቆዳ ቀለም
🤛🏼	ወደ ግራ የሚያይ ጡጫ፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
🤛🏽	ወደ ግራ የሚያይ ጡጫ፡ መሃከለኛ የቆዳ ቀለም
🤛🏾	ወደ ግራ የሚያይ ጡጫ፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
🤛🏿	ወደ ግራ የሚያይ ጡጫ፡ ጥቁር የቆዳ ቀለም
🤜	ቀኝ-ፊት ጡጫ
🤜🏻	ወደ ቀኝ የሚዞር ጡጫ፡ ቀላል የቆዳ ቀለም
🤜🏼	ቀኝ-ፊት ጡጫ፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
🤜🏽	ወደ ቀኝ የሚዞር ጡጫ፡ መሃከለኛ የቆዳ ቀለም
🤜🏾	ቀኝ-ፊት ጡጫ፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
🤜🏿	ወደ ቀኝ የሚዞር ጡጫ፡ ጥቁር የቆዳ ቀለም
🤚	ወደ ኋላ ተነስቷል
🤚🏻	ከፍ ያለ የእጅ ጀርባ: ቀላል የቆዳ ቀለም
🤚🏼	ከፍ ያለ የእጅ ጀርባ፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
🤚🏽	ከፍ ያለ የእጅ ጀርባ: መሃከለኛ የቆዳ ቀለም
🤚🏾	ከፍ ያለ የእጅ ጀርባ: መሃከለኛ-ጥቁር የቆዳ ቀለም
🤚🏿	ከፍ ያለ የእጅ ጀርባ: ጥቁር የቆዳ ቀለም
👋	እጅ ማወዛወዝ
👋🏻	እጅ በማውለብለብ፡ ቀላል የቆዳ ቀለም
👋🏼	እጅ በማውለብለብ፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
👋🏽	እጅ ማወዛወዝ፡ መሃከለኛ የቆዳ ቀለም
👋🏾	እጅ በማውለብለብ፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
👋🏿	እጅ በማውለብለብ: ጥቁር የቆዳ ቀለም
🤟	ፍቅር - የእጅ ምልክት
🤟🏻	የፍቅር ምልክት፡ ቀላል የቆዳ ቀለም
🤟🏼	የፍቅር ምልክት፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
🤟🏽	የፍቅር ምልክት፡ መሃከለኛ የቆዳ ቀለም
🤟🏾	የፍቅር ምልክት፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
🤟🏿	ፍቅር-አንተ ምልክት: ጥቁር የቆዳ ቀለም
✍️	እጅ መጻፍ
✍	እጅ መጻፍ
✍🏻	የእጅ ጽሑፍ: ቀላል የቆዳ ቀለም
✍🏼	የእጅ ጽሑፍ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
✍🏽	የእጅ ጽሑፍ: መሃከለኛ የቆዳ ቀለም
✍🏾	የእጅ ጽሑፍ: መሃከለኛ-ጥቁር የቆዳ ቀለም
✍🏿	የእጅ ጽሑፍ: ጥቁር የቆዳ ቀለም
👏	ማጨብጨብ
👏🏻	ማጨብጨብ፡ ቀላል የቆዳ ቀለም
👏🏼	ማጨብጨብ፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
👏🏽	ማጨብጨብ: መሃከለኛ የቆዳ ቀለም
👏🏾	ማጨብጨብ፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
👏🏿	ማጨብጨብ: ጥቁር የቆዳ ቀለም
👐	ክፍት እጆች
👐🏻	ክፍት እጆች: ቀላል የቆዳ ቀለም
👐🏼	ክፍት እጆች: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
👐🏽	ክፍት እጆች: መሃከለኛ የቆዳ ቀለም
👐🏾	ክፍት እጆች: መሃከለኛ-ጥቁር የቆዳ ቀለም
👐🏿	ክፍት እጆች: ጥቁር የቆዳ ቀለም
🙌	እጆችን ማንሳት
🙌🏻	እጆችን ማንሳት: ቀላል የቆዳ ቀለም
🙌🏼	እጆችን ማንሳት: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
🙌🏽	እጆችን ማንሳት: መሃከለኛ የቆዳ ቀለም
🙌🏾	እጆችን ማንሳት: መሃከለኛ-ጥቁር የቆዳ ቀለም
🙌🏿	እጆችን ማንሳት: ጥቁር የቆዳ ቀለም
🤲	በአንድነት መዳፍ
🤲🏻	መዳፍ አንድ ላይ፡ ቀላል የቆዳ ቀለም
🤲🏼	መዳፍ አንድ ላይ፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
🤲🏽	መዳፍ አንድ ላይ፡ መሃከለኛ የቆዳ ቀለም
🤲🏾	መዳፍ አንድ ላይ፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
🤲🏿	መዳፍ አንድ ላይ: ጥቁር የቆዳ ቀለም
🙏	የታጠፈ እጆች
🙏🏻	የታጠፈ እጆች: ቀላል የቆዳ ቀለም
🙏🏼	የታጠፈ እጆች፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
🙏🏽	የታጠፈ እጆች: መሃከለኛ የቆዳ ቀለም
🙏🏾	የታጠፈ እጆች: መሃከለኛ-ጥቁር የቆዳ ቀለም
🙏🏿	የታጠፈ እጆች: ጥቁር የቆዳ ቀለም
🤝	መጨባበጥ
💅	የጥፍር ቀለም
💅🏻	የጥፍር ቀለም: ቀላል የቆዳ ቀለም
💅🏼	የጥፍር ቀለም፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
💅🏽	የጥፍር ቀለም: መሃከለኛ የቆዳ ቀለም
💅🏾	የጥፍር ቀለም: መሃከለኛ-ጥቁር የቆዳ ቀለም
💅🏿	የጥፍር ቀለም: ጥቁር የቆዳ ቀለም
👂	ጆሮ
👂🏻	ጆሮ: ቀላል የቆዳ ቀለም
👂🏼	ጆሮ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
👂🏽	ጆሮ: መሃከለኛ የቆዳ ቀለም
👂🏾	ጆሮ: መሃከለኛ-ጥቁር የቆዳ ቀለም
👂🏿	ጆሮ: ጥቁር የቆዳ ቀለም
👃	አፍንጫ
👃🏻	አፍንጫ: ቀላል የቆዳ ቀለም
👃🏼	አፍንጫ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
👃🏽	አፍንጫ: መሃከለኛ የቆዳ ቀለም
👃🏾	አፍንጫ: መሃከለኛ-ጥቁር የቆዳ ቀለም
👃🏿	አፍንጫ: ጥቁር የቆዳ ቀለም
🦰	ቀይ-ጸጉር
🦱	ኩርባ-ጸጉር
🦲	ራሰ በራ
🦳	ነጭ-ጸጉር
👣	አሻራዎች
👀	አይኖች
👁️	ዓይን
👁	ዓይን
👁️‍🗨️	በንግግር አረፋ ውስጥ ዓይን
👁‍🗨️	በንግግር አረፋ ውስጥ ዓይን
👁️‍🗨	በንግግር አረፋ ውስጥ ዓይን
👁‍🗨	በንግግር አረፋ ውስጥ ዓይን
🧠	አንጎል
🦴	አጥንት
🦷	ጥርስ
👅	አንደበት
👄	አፍ
💋	የመሳም ምልክት
💘	ቀስት ያለው ልብ
❤️	ቀይ ልብ
❤	ቀይ ልብ
💓	የልብ መምታት
💔	የተሰበረ ልብ
💕	ሁለት ልቦች
💖	የሚያብለጨልጭ ልብ
💗	እያደገ ልብ
💙	ሰማያዊ ልብ
💚	አረንጓዴ ልብ
💛	ቢጫ ልብ
🧡	ብርቱካን ልብ
💜	ሐምራዊ ልብ
🖤	ጥቁር ልብ
💝	ልብ ከሪባን ጋር
💞	ተዘዋዋሪ ልቦች
💟	የልብ ማስጌጥ
❣️	ከባድ የልብ ጩኸት
❣	ከባድ የልብ ጩኸት
💌	የፍቅር ደብዳቤ
💤	zzz
💢	የቁጣ ምልክት
💣	ቦምብ
💥	ግጭት
💦	ላብ ነጠብጣቦች
💨	እየደበደበ
💫	መፍዘዝ
💬	የንግግር ፊኛ
🗨️	የግራ የንግግር አረፋ
🗨	የግራ የንግግር አረፋ
🗯️	ትክክለኛ ቁጣ አረፋ
🗯	ትክክለኛ ቁጣ አረፋ
💭	አሰብኩ ፊኛ
🕳️	ቀዳዳ
🕳	ቀዳዳ
👓	መነጽር
🕶️	የፀሐይ መነፅር
🕶	የፀሐይ መነፅር
🥽	መነጽር
🥼	የላብራቶሪ ቀሚስ
👔	ክራባት
👕	ቲሸርት
👖	ጂንስ
🧣	መሀረብ
🧤	ጓንት
🧥	ኮት
🧦	ካልሲዎች
👗	አለባበስ
👘	ኪሞኖ
👙	ቢኪኒ
👚	የሴት ልብሶች
👛	ቦርሳ
👜	የእጅ ቦርሳ
👝	ክላች ቦርሳ
🛍️	የግዢ ቦርሳዎች
🛍	የግዢ ቦርሳዎች
🎒	የትምህርት ቤት ቦርሳ
👞	የሰው ጫማ
👟	የሩጫ ጫማ
🥾	የእግር ጉዞ ቦት
🥿	የሴት ጠፍጣፋ ጫማ
👠	ባለከፍተኛ ጫማ ጫማ
👡	የሴት ጫማ ጫማ
👢	የሴት ቦት ጫማ
👑	አክሊል
👒	የሴት ኮፍያ
🎩	ኮፍያ
🎓	የምረቃ ካፕ
🧢	የተከፈለ ካፕ
⛑️	የነፍስ አድን ሰራተኛ የራስ ቁር
⛑	የነፍስ አድን ሰራተኛ የራስ ቁር
📿	የጸሎት ዶቃዎች
💄	ሊፕስቲክ
💍	ቀለበት
💎	የከበረ ድንጋይ
🐵	የዝንጀሮ ፊት
🐒	ጦጣ
🦍	ጎሪላ
🐶	የውሻ ፊት
🐕	ውሻ
🐩	ፑድል
🐺	ተኩላ ፊት
🦊	የቀበሮ ፊት
🦝	ራኮን
🐱	የድመት ፊት
🐈	ድመት
🦁	አንበሳ ፊት
🐯	የነብር ፊት
🐅	ነብር
🐆	ነብር
🐴	የፈረስ ፊት
🐎	ፈረስ
🦄	ዩኒኮርን ፊት
🦓	የሜዳ አህያ
🦌	አጋዘን
🐮	ላም ፊት
🐂	በሬ
🐃	የውሃ ጎሽ
🐄	ላም
🐷	የአሳማ ፊት
🐖	አሳማ
🐗	ከርከሮ
🐽	የአሳማ አፍንጫ
🐏	ራንደም አክሰስ ሜሞሪ
🐑	በግ
🐐	ፍየል
🐪	ግመል
🐫	ሁለት ጉብታ ግመል
🦙	ላማ
🦒	ቀጭኔ
🐘	ዝሆን
🦏	አውራሪስ
🦛	ጉማሬ
🐭	የመዳፊት ፊት
🐁	አይጥ
🐀	አይጥ
🐹	የሃምስተር ፊት
🐰	ጥንቸል ፊት
🐇	ጥንቸል
🐿️	ቺፕማንክ
🐿	ቺፕማንክ
🦔	ጃርት
🦇	የሌሊት ወፍ
🐻	ድብ ፊት
🐨	ኮዋላ
🐼	የፓንዳ ፊት
🦘	ካንጋሮ
🦡	ባጅ
🐾	የእግር ህትመቶች
🦃	ቱሪክ
🐔	ዶሮ
🐓	ዶሮ
🐣	የሚፈልቅ ጫጩት
🐤	ሕፃን ጫጩት
🐥	ፊት ለፊት ያለው ህፃን ጫጩት
🐦	ወፍ
🐧	ፔንግዊን
🕊️	እርግብ
🕊	እርግብ
🦅	ንስር
🦆	ዳክዬ
🦢	ስዋን
🦉	ጉጉት።
🦚	ፒኮክ
🦜	በቀቀን
🐸	የእንቁራሪት ፊት
🐊	አዞ
🐢	ኤሊ
🦎	እንሽላሊት
🐍	እባብ
🐲	ዘንዶ ፊት
🐉	ዘንዶ
🦕	ሳሮፖድ
🦖	ቲ-ሬክስ
🐳	spouting whale
🐋	ዓሣ ነባሪ
🐬	ዶልፊን
🐟	አሳ
🐠	ሞቃታማ ዓሣ
🐡	ብፉፊሽ
🦈	ሻርክ
🐙	ኦክቶፐስ
🐚	ጠመዝማዛ ቅርፊት
🦀	ሸርጣን
🦞	ሎብስተር
🦐	ሽሪምፕ
🦑	ስኩዊድ
🐌	ቀንድ አውጣ
🦋	ቢራቢሮ
🐛	ሳንካ
🐜	ጉንዳን
🐝	የማር ንብ
🐞	እመቤት ጥንዚዛ
🦗	ክሪኬት
🕷️	ሸረሪት
🕷	ሸረሪት
🕸️	ሸረሪት ድር
🕸	ሸረሪት ድር
🦂	ጊንጥ
🦟	ትንኝ
🦠	ማይክሮቦች
💐	እቅፍ አበባ
🌸	የቼሪ አበባ
💮	ነጭ አበባ
🏵️	ሮዝቴ
🏵	ሮዝቴ
🌹	ተነሳ
🥀	የደረቀ አበባ
🌺	ሂቢስከስ
🌻	የሱፍ አበባ
🌼	አበበ
🌷	ቱሊፕ
🌱	ችግኝ
🌲	የማይረግፍ ዛፍ
🌳	የሚረግፍ ዛፍ
🌴	የዘንባባ ዛፍ
🌵	ቁልቋል
🌾	የሩዝ ነዶ
🌿	ዕፅዋት
☘️	shamrock
☘	shamrock
🍀	አራት ቅጠል
🍁	የማፕል ቅጠል
🍂	የወደቀ ቅጠል
🍃	በነፋስ የሚወዛወዝ ቅጠል
🍇	ወይን
🍈	ሐብሐብ
🍉	ሐብሐብ
🍊	መንደሪን
🍋	ሎሚ
🍌	ሙዝ
🍍	አናናስ
🥭	ማንጎ
🍎	ቀይ ፖም
🍏	አረንጓዴ ፖም
🍐	ዕንቁ
🍑	ኮክ
🍒	ቼሪ
🍓	እንጆሪ
🥝	የኪዊ ፍሬ
🍅	ቲማቲም
🥥	ኮኮናት
🥑	አቮካዶ
🍆	ኤግፕላንት
🥔	ድንች
🥕	ካሮት
🌽	የበቆሎ ጆሮ
🌶️	ትኩስ በርበሬ
🌶	ትኩስ በርበሬ
🥒	ዱባ
🥬	ቅጠላማ አረንጓዴ
🥦	ብሮኮሊ
🍄	እንጉዳይ
🥜	ኦቾሎኒ
🌰	ደረትን
🍞	ዳቦ
🥐	ክሩሴንት
🥖	የ baguette ዳቦ
🥨	ፕሪዝል
🥯	ቦርሳ
🥞	ፓንኬኮች
🧀	የቺዝ ቁራጭ
🍖	ስጋ በአጥንት ላይ
🍗	የዶሮ እርባታ እግር
🥩	ስጋ መቁረጥ
🥓	ቤከን
🍔	ሀምበርገር
🍟	ባለጣት የድንች ጥብስ
🍕	ፒዛ
🌭	ሆት ዶግ
🥪	ሳንድዊች
🌮	ታኮ
🌯	ቡሪቶ
🥙	የተሞላ ጠፍጣፋ ዳቦ
🥚	እንቁላል
🍳	ምግብ ማብሰል
🥘	ጥልቀት የሌለው ምግብ
🍲	የምግብ ማሰሮ
🥣	ጎድጓዳ ሳህን በማንኪያ
🥗	አረንጓዴ ሰላጣ
🍿	ፋንዲሻ
🧂	ጨው
🥫	የታሸገ ምግብ
🍱	ቤንቶ ሳጥን
🍘	የሩዝ ብስኩት
🍙	የሩዝ ኳስ
🍚	የበሰለ ሩዝ
🍛	ካሪ ሩዝ
🍜	የእንፋሎት ጎድጓዳ ሳህን
🍝	ስፓጌቲ
🍠	የተጠበሰ ጣፋጭ ድንች
🍢	ኦደን
🍣	ሱሺ
🍤	የተጠበሰ ሽሪምፕ
🍥	የዓሳ ኬክ ከሽክርክሪት ጋር
🥮	የጨረቃ ኬክ
🍡	ዳንጎ
🥟	ዱፕሊንግ
🥠	ሀብት ኩኪ
🥡	የመውሰጃ ሳጥን
🍦	ለስላሳ አይስክሬም
🍧	የተላጨ በረዶ
🍨	አይስ ክርም
🍩	ዶናት
🍪	ኩኪ
🎂	የልደት ኬክ
🍰	አጭር ኬክ
🧁	ኩባያ ኬክ
🥧	አምባሻ
🍫	ቸኮሌት ባር
🍬	ከረሜላ
🍭	ሎሊፖፕ
🍮	ኩስታርድ
🍯	የማር ማሰሮ
🍼	የሕፃን ጠርሙስ
🥛	ብርጭቆ ወተት
☕	ትኩስ መጠጥ
🍵	የሻይ ማንኪያ ያለ እጀታ
🍶	ምክንያት
🍾	ቡሽ ብቅ ያለ ጠርሙስ
🍷	የወይን ብርጭቆ
🍸	ኮክቴል ብርጭቆ
🍹	ሞቃታማ መጠጥ
🍺	የቢራ ኩባያ
🍻	የቢራ ማሰሮዎች
🥂	የሚያጨበጭቡ ብርጭቆዎች
🥃	tumbler መስታወት
🥤	ኩባያ ከገለባ ጋር
🥢	ቾፕስቲክስ
🍽️	ሹካ እና ቢላዋ በጠፍጣፋ
🍽	ሹካ እና ቢላዋ በጠፍጣፋ
🍴	ሹካ እና ቢላዋ
🥄	ማንኪያ
🔪	የወጥ ቤት ቢላዋ
🏺	አምፖራ
🌍	ሉል አውሮፓ-አፍሪካን ያሳያል
🌎	ሉል አሜሪካን ያሳያል
🌏	ሉል እስያ-አውስትራሊያን ያሳያል
🌐	ሉል ከሜሪድያን ጋር
🗺️	የዓለም ካርታ
🗺	የዓለም ካርታ
🗾	የጃፓን ካርታ
🧭	ኮምፓስ
🏔️	በበረዶ የተሸፈነ ተራራ
🏔	በበረዶ የተሸፈነ ተራራ
⛰️	ተራራ
⛰	ተራራ
🌋	እሳተ ገሞራ
🗻	ፉጂ ተራራ
🏕️	ካምፕ ማድረግ
🏕	ካምፕ ማድረግ
🏖️	የባህር ዳርቻ ከጃንጥላ ጋር
🏖	የባህር ዳርቻ ከጃንጥላ ጋር
🏜️	በረሃ
🏜	በረሃ
🏝️	የበረሃ ደሴት
🏝	የበረሃ ደሴት
🏞️	ብሄራዊ ፓርክ
🏞	ብሄራዊ ፓርክ
🏟️	ስታዲየም
🏟	ስታዲየም
🏛️	ክላሲካል ሕንፃ
🏛	ክላሲካል ሕንፃ
🏗️	የግንባታ ግንባታ
🏗	የግንባታ ግንባታ
🧱	ጡቦች
🏘️	ቤቶች
🏘	ቤቶች
🏚️	የተበላሸ ቤት
🏚	የተበላሸ ቤት
🏠	ቤት
🏡	የአትክልት ስፍራ ያለው ቤት
🏢	የቢሮ ህንፃ
🏣	የጃፓን ፖስታ ቤት
🏤	ፖስታ ቤት
🏥	ሆስፒታል
🏦	ባንክ
🏨	ሆቴል
🏩	የፍቅር ሆቴል
🏪	ምቹ መደብር
🏫	ትምህርት ቤት
🏬	በተለያዩ ክፎሎች የተደራጀ ግዙፍ ማከፋፈያ
🏭	ፋብሪካ
🏯	የጃፓን ቤተመንግስት
🏰	ቤተመንግስት
💒	ሰርግ
🗼	የቶኪዮ ግንብ
🗽	የነጻነት ሃውልት
⛪	ቤተ ክርስቲያን
🕌	መስጊድ
🕍	ምኩራብ
⛩️	የሺንቶ መቅደስ
⛩	የሺንቶ መቅደስ
🕋	ካባ
⛲	ምንጭ
⛺	ድንኳን
🌁	ጭጋጋማ
🌃	ምሽት ከዋክብት ጋር
🏙️	የከተማ ገጽታ
🏙	የከተማ ገጽታ
🌄	በተራሮች ላይ የፀሐይ መውጣት
🌅	የፀሐይ መውጣት
🌆	በመሸ ጊዜ የከተማ ገጽታ
🌇	ጀንበር ስትጠልቅ
🌉	ምሽት ላይ ድልድይ
♨️	ሙቅ ምንጮች
♨	ሙቅ ምንጮች
🌌	ሚልክ ዌይ
🎠	ካሮሴል ፈረስ
🎡	የፌሪስ ጎማ
🎢	ተጠቅላይ ተወርዋሪ
💈	የፀጉር አስተካካዮች ምሰሶ
🎪	የሰርከስ ድንኳን
🚂	ሎኮሞቲቭ
🚃	የባቡር መኪና
🚄	ከፍተኛ ፍጥነት ያለው ባቡር
🚅	ጥይት ባቡር
🚆	ባቡር
🚇	ሜትሮ
🚈	ቀላል ባቡር
🚉	መሣፈሪያ
🚊	ትራም
🚝	monorail
🚞	የተራራ ባቡር
🚋	ትራም መኪና
🚌	አውቶቡስ
🚍	መጪ አውቶቡስ
🚎	ትሮሊባስ
🚐	ሚኒባስ
🚑	አምቡላንስ
🚒	የመንደጃ ሞተር
🚓	የፖሊስ መኪና
🚔	የሚመጣው የፖሊስ መኪና
🚕	ታክሲ
🚖	የሚመጣው ታክሲ
🚗	መኪና
🚘	መጪ መኪና
🚙	የስፖርት መገልገያ መኪና
🚚	የመላኪያ መኪና
🚛	articulated ሎሪ
🚜	ትራክተር
🚲	ብስክሌት
🛴	የመርገጥ ስኩተር
🛹	የስኬትቦርድ
🛵	ሞተር ስኩተር
🚏	የአውቶቡስ ማቆሚያ
🛣️	አውራ ጎዳና
🛣	አውራ ጎዳና
🛤️	የባቡር ሀዲድ
🛤	የባቡር ሀዲድ
🛢️	ዘይት ከበሮ
🛢	ዘይት ከበሮ
⛽	የነዳጅ ፓምፕ
🚨	የፖሊስ መኪና መብራት
🚥	አግድም የትራፊክ መብራት
🚦	ቀጥ ያለ የትራፊክ መብራት
🛑	ቁም ምልክት
🚧	ግንባታ
⚓	መልህቅ
⛵	ጀልባ
🛶	ታንኳ
🚤	ፈጣን ጀልባ
🛳️	የመንገደኞች መርከብ
🛳	የመንገደኞች መርከብ
⛴️	ጀልባ
⛴	ጀልባ
🛥️	የሞተር ጀልባ
🛥	የሞተር ጀልባ
🚢	መርከብ
✈️	አውሮፕላን
✈	አውሮፕላን
🛩️	ትንሽ አውሮፕላን
🛩	ትንሽ አውሮፕላን
🛫	የአውሮፕላን መነሳት
🛬	የአውሮፕላን መምጣት
💺	መቀመጫ
🚁	ሄሊኮፕተር
🚟	የተንጠለጠለ ባቡር
🚠	የተራራ የኬብል መንገድ
🚡	የአየር ትራም መንገድ
🛰️	ሳተላይት
🛰	ሳተላይት
🚀	ሮኬት
🛸	የሚበር ሳውሰር
🛎️	ደወል ደወል
🛎	ደወል ደወል
🧳	ሻንጣዎች
⌛	የሰዓት ብርጭቆ ተሠርቷል
⏳	የሰዓት መስታወት አልተሰራም።
⌚	ይመልከቱ
⏰	ማንቂያ ደውል
⏱️	የሩጫ ሰዓት
⏱	የሩጫ ሰዓት
⏲️	የሰዓት ቆጣሪ ሰዓት
⏲	የሰዓት ቆጣሪ ሰዓት
🕰️	mantelpiece ሰዓት
🕰	mantelpiece ሰዓት
🕛	አስራ ሁለት ሰዓት
🕧	አሥራ ሁለት ሠላሳ
🕐	አንድ ሰዓት
🕜	አንድ ሠላሳ
🕑	ሁለት ሰዓት
🕝	ሁለት ተኩል
🕒	ሶስት ሰዓት
🕞	ሦስት ተኩል
🕓	አራት ሰዓት
🕟	አራት ሠላሳ
🕔	አምስት ሰዓት
🕠	አምስት ተኩል
🕕	ስድስት ሰዓት
🕡	ስድስት ተኩል
🕖	ሰባት ሰዓት
🕢	ሰባት ተኩል
🕗	ስምንት ሰዓት
🕣	ስምንት ተኩል
🕘	ዘጠኝ ሰዓት
🕤	ዘጠኝ ሠላሳ
🕙	አስር ሰአት
🕥	አስር ተኩል
🕚	አሥራ አንድ ሰዓት
🕦	አሥራ አንድ ሠላሳ
🌑	አዲስ ጨረቃ
🌒	እየጨመረ የሚሄደው ጨረቃ
🌓	የመጀመሪያ ሩብ ጨረቃ
🌔	እየጨመረ የሚሄድ ጨረቃ
🌕	ሙሉ ጨረቃ
🌖	እየቀነሰ የምትሄድ ጨረቃ
🌗	የመጨረሻው ሩብ ጨረቃ
🌘	እየቀነሰ የጨረቃ ጨረቃ
🌙	የጨረቃ ጨረቃ
🌚	አዲስ ጨረቃ ፊት
🌛	የመጀመሪያ ሩብ ጨረቃ ፊት
🌜	የመጨረሻው ሩብ ጨረቃ ፊት
🌡️	ቴርሞሜትር
🌡	ቴርሞሜትር
☀️	ፀሐይ
☀	ፀሐይ
🌝	ሙሉ ጨረቃ ፊት
🌞	ፀሐይ ከፊት ጋር
⭐	ኮከብ
🌟	የሚያበራ ኮከብ
🌠	ተወርዋሪ ኮከብ
☁️	ደመና
☁	ደመና
⛅	ፀሐይ ከደመና ጀርባ
⛈️	ደመና በመብረቅ እና በዝናብ
⛈	ደመና በመብረቅ እና በዝናብ
🌤️	ፀሐይ ከትንሽ ደመና ጀርባ
🌤	ፀሐይ ከትንሽ ደመና ጀርባ
🌥️	ፀሐይ ከትልቅ ደመና ጀርባ
🌥	ፀሐይ ከትልቅ ደመና ጀርባ
🌦️	ፀሐይ ከዝናብ ደመና በስተጀርባ
🌦	ፀሐይ ከዝናብ ደመና በስተጀርባ
🌧️	ደመና ከዝናብ ጋር
🌧	ደመና ከዝናብ ጋር
🌨️	ደመና ከበረዶ ጋር
🌨	ደመና ከበረዶ ጋር
🌩️	ደመና ከመብረቅ ጋር
🌩	ደመና ከመብረቅ ጋር
🌪️	አውሎ ነፋስ
🌪	አውሎ ነፋስ
🌫️	ጭጋግ
🌫	ጭጋግ
🌬️	የንፋስ ፊት
🌬	የንፋስ ፊት
🌀	አውሎ ንፋስ
🌈	ቀስተ ደመና
🌂	የተዘጋ ጃንጥላ
☂️	ዣንጥላ
☂	ዣንጥላ
☔	የዝናብ ጠብታዎች ያለው ጃንጥላ
⛱️	መሬት ላይ ጃንጥላ
⛱	መሬት ላይ ጃንጥላ
⚡	ከፍተኛ ቮልቴጅ
❄️	የበረዶ ቅንጣት
❄	የበረዶ ቅንጣት
☃️	የበረዶ ሰው
☃	የበረዶ ሰው
⛄	የበረዶ ሰው ያለ በረዶ
☄️	ኮሜት
☄	ኮሜት
🔥	እሳት
💧	ነጠብጣብ
🌊	የውሃ ሞገድ
🎃	ጃክ-ኦ-ላንተርን
🎄	የገና ዛፍ
🎆	ርችቶች
🎇	ብልጭልጭ
🧨	ፋየርክራከር
✨	ብልጭ ድርግም ይላል
🎈	ፊኛ
🎉	ፓርቲ ፖፐር
🎊	ኮንፈቲ ኳስ
🎋	ታናባታ ዛፍ
🎍	የጥድ ማስጌጥ
🎎	የጃፓን አሻንጉሊቶች
🎏	የካርፕ ወራጅ
🎐	የንፋስ ጩኸት
🎑	የጨረቃ እይታ ሥነ ሥርዓት
🧧	ቀይ ፖስታ
🎀	ሪባን
🎁	የታሸገ ስጦታ
🎗️	አስታዋሽ ሪባን
🎗	አስታዋሽ ሪባን
🎟️	የመግቢያ ትኬቶች
🎟	የመግቢያ ትኬቶች
🎫	ትኬት
🎖️	ወታደራዊ ሜዳሊያ
🎖	ወታደራዊ ሜዳሊያ
🏆	ዋንጫ
🏅	የስፖርት ሜዳሊያ
🥇	1ኛ ደረጃ ሜዳሊያ
🥈	2ኛ ሜዳሊያ
🥉	3 ኛ ደረጃ ሜዳሊያ
⚽	የእግር ኳስ ኳስ
⚾	ቤዝቦል
🥎	ለስላሳ ኳስ
🏀	የቅርጫት ኳስ
🏐	ቮሊቦል
🏈	የአሜሪካ እግር ኳስ
🏉	ራግቢ እግር ኳስ
🎾	ቴኒስ
🥏	የሚበር ዲስክ
🎳	ቦውሊንግ
🏏	የክሪኬት ጨዋታ
🏑	የመስክ ሆኪ
🏒	የበረዶ ሆኪ
🥍	ላክሮስ
🏓	የጠረጴዛ ቴኒስ
🏸	ባድሚንተን
🥊	የቦክስ ጓንት
🥋	ማርሻል አርት ዩኒፎርም
🥅	ግብ መረብ
⛳	ጉድጓድ ውስጥ ባንዲራ
⛸️	በረዶ ላይ መንሸራተትና
⛸	በረዶ ላይ መንሸራተትና
🎣	የዓሣ ማጥመጃ ምሰሶ
