😀	ನಗುವ ಮುಖ
🏕	ಕ್ಯಾಂಪಿಂಗ್
🏖️	ಛತ್ರಿಯೊಂದಿಗೆ ಬೀಚ್
🏖	ಛತ್ರಿಯೊಂದಿಗೆ ಬೀಚ್
🏜️	ಮರುಭೂಮಿ
🏜	ಮರುಭೂಮಿ
🏝️	ಮರುಭೂಮಿ ದ್ವೀಪ
🏝	ಮರುಭೂಮಿ ದ್ವೀಪ
🏞️	ರಾಷ್ಟ್ರೀಯ ಉದ್ಯಾನವನ
🏞	ರಾಷ್ಟ್ರೀಯ ಉದ್ಯಾನವನ
🏟️	ಕ್ರೀಡಾಂಗಣ
🏟	ಕ್ರೀಡಾಂಗಣ
🏛️	ಶಾಸ್ತ್ರೀಯ ಕಟ್ಟಡ
🏛	ಶಾಸ್ತ್ರೀಯ ಕಟ್ಟಡ
🏗️	ಕಟ್ಟಡ ನಿರ್ಮಾಣ
🏗	ಕಟ್ಟಡ ನಿರ್ಮಾಣ
🧱	ಇಟ್ಟಿಗೆಗಳು
🏘️	ಮನೆಗಳು
🏘	ಮನೆಗಳು
🏚️	ಪಾಳುಬಿದ್ದ ಮನೆ
🏚	ಪಾಳುಬಿದ್ದ ಮನೆ
🏠	ಮನೆ
🏡	ಉದ್ಯಾನದೊಂದಿಗೆ ಮನೆ
🏢	ಕಚೇರಿ ಕಟ್ಟಡ
🏣	ಜಪಾನೀ ಅಂಚೆ ಕಚೇರಿ
🏤	ಅಂಚೆ ಕಛೇರಿ
🏥	ಆಸ್ಪತ್ರೆ
🏦	ಬ್ಯಾಂಕ್
🏨	ಹೋಟೆಲ್
🏩	ಪ್ರೀತಿಯ ಹೋಟೆಲ್
🏪	ಅನುಕೂಲಕರ ಅಂಗಡಿ
🏫	ಶಾಲೆ
🏬	ಕಿರಾಣಿ ಅಂಗಡಿ
🏭	ಕಾರ್ಖಾನೆ
🏯	ಜಪಾನಿನ ಕೋಟೆ
🏰	ಕೋಟೆ
💒	ಮದುವೆ
🗼	ಟೋಕಿಯೋ ಗೋಪುರ
🗽	ಸ್ಟ್ಯಾಚ್ಯೂ ಆಫ್ ಲಿಬರ್ಟಿ
⛪	ಚರ್ಚ್
🕌	ಮಸೀದಿ
🕍	ಸಿನಗಾಗ್
⛩️	ಶಿಂಟೋ ದೇವಾಲಯ
⛩	ಶಿಂಟೋ ದೇವಾಲಯ
🕋	ಕಾಬಾ
⛲	ಕಾರಂಜಿ
⛺	ಡೇರೆ
🌁	ಮಂಜಿನ
🌃	ನಕ್ಷತ್ರಗಳೊಂದಿಗೆ ರಾತ್ರಿ
🏙️	ನಗರದೃಶ್ಯ
🏙	ನಗರದೃಶ್ಯ
🌄	ಪರ್ವತಗಳ ಮೇಲೆ ಸೂರ್ಯೋದಯ
🌅	ಸೂರ್ಯೋದಯ
🌆	ಮುಸ್ಸಂಜೆಯಲ್ಲಿ ನಗರದೃಶ್ಯ
🌇	ಸೂರ್ಯಾಸ್ತ
🌉	ರಾತ್ರಿ ಸೇತುವೆ
♨️	ಬಿಸಿನೀರಿನ ಬುಗ್ಗೆಗಳು
♨	ಬಿಸಿನೀರಿನ ಬುಗ್ಗೆಗಳು
🌌	ಹಾಲುಹಾದಿ
🎠	ಏರಿಳಿಕೆ ಕುದುರೆ
🎡	ಫೆರ್ರಿಸ್ ಚಕ್ರ
🎢	ರೋಲರ್ ಕೋಸ್ಟರ್
💈	ಕ್ಷೌರಿಕ ಕಂಬ
🎪	ಸರ್ಕಸ್ ಟೆಂಟ್
🚂	ಲೋಕೋಮೋಟಿವ್
🚃	ರೈಲ್ವೆ ಕಾರು
🚄	ಅತಿ ವೇಗದ ರೈಲು
🚅	ಬುಲೆಟ್ ರೈಲು
🚆	ರೈಲು
🚇	ಮೆಟ್ರೋ
🚈	ಲಘು ರೈಲು
🚉	ನಿಲ್ದಾಣ
🚊	ಟ್ರಾಮ್
🚝	ಮಾನೋರೈಲು
🚞	ಪರ್ವತ ರೈಲ್ವೆ
🚋	ಟ್ರಾಮ್ ಕಾರು
🚌	ಬಸ್
🚍	ಬರುತ್ತಿರುವ ಬಸ್ಸು
🚎	ಟ್ರಾಲಿಬಸ್
🚐	ಮಿನಿಬಸ್
🚑	ಆಂಬ್ಯುಲೆನ್ಸ್
🚒	ಅಗ್ನಿ ಶಾಮಕ
🚓	ಪೋಲೀಸ್ ಕಾರು
🚔	ಮುಂಬರುವ ಪೊಲೀಸ್ ಕಾರು
🚕	ಟ್ಯಾಕ್ಸಿ
🚖	ಮುಂಬರುವ ಟ್ಯಾಕ್ಸಿ
🚗	ಆಟೋಮೊಬೈಲ್
🚘	ಮುಂಬರುವ ಆಟೋಮೊಬೈಲ್
🚙	ಕ್ರೀಡಾ ಉಪಯುಕ್ತತೆಯ ವಾಹನ
🚚	ವಿತರಣಾ ಟ್ರಕ್
🚛	ಕೀಲುಗೊಂಡ ಲಾರಿ
🚜	ಟ್ರಾಕ್ಟರ್
🚲	ಸೈಕಲ್
🛴	ಕಿಕ್ ಸ್ಕೂಟರ್
🛹	ಸ್ಕೇಟ್ಬೋರ್ಡ್
🛵	ಮೋಟಾರ್ ಸ್ಕೂಟರ್
🚏	ಬಸ್ ನಿಲ್ದಾಣ
🛣️	ಮೋಟಾರುಮಾರ್ಗ
🛣	ಮೋಟಾರುಮಾರ್ಗ
🛤️	ರೈಲು ಹಳಿ
🛤	ರೈಲು ಹಳಿ
🛢️	ಎಣ್ಣೆ ಡ್ರಮ್
🛢	ಎಣ್ಣೆ ಡ್ರಮ್
⛽	ಇಂಧನ ಪಂಪ್
🚨	ಪೊಲೀಸ್ ಕಾರ್ ಲೈಟ್
🚥	ಸಮತಲ ಸಂಚಾರ ದೀಪ
🚦	ಲಂಬ ಸಂಚಾರ ದೀಪ
🛑	ನಿಲುಗಡೆ ಚಿಹ್ನೆ
🚧	ನಿರ್ಮಾಣ
⚓	ಆಧಾರ
⛵	ಹಾಯಿದೋಣಿ
🛶	ದೋಣಿ
🚤	ವೇಗದ ದೋಣಿ
🛳️	ಪ್ರಯಾಣಿಕ ಹಡಗು
🛳	ಪ್ರಯಾಣಿಕ ಹಡಗು
⛴️	ದೋಣಿ
⛴	ದೋಣಿ
🛥️	ಮೋಟಾರು ದೋಣಿ
🛥	ಮೋಟಾರು ದೋಣಿ
🚢	ಹಡಗು
✈️	ವಿಮಾನ
✈	ವಿಮಾನ
🛩️	ಸಣ್ಣ ವಿಮಾನ
🛩	ಸಣ್ಣ ವಿಮಾನ
🛫	ವಿಮಾನ ನಿರ್ಗಮನ
🛬	ವಿಮಾನ ಆಗಮನ
💺	ಆಸನ
🚁	ಹೆಲಿಕಾಪ್ಟರ್
🚟	ತೂಗು ರೈಲ್ವೆ
🚠	ಪರ್ವತ ಕೇಬಲ್ ಮಾರ್ಗ
🚡	ವೈಮಾನಿಕ ಟ್ರಾಮ್ವೇ
🛰️	ಉಪಗ್ರಹ
🛰	ಉಪಗ್ರಹ
🚀	ರಾಕೆಟ್
🛸	ಹಾರುವ ತಟ್ಟೆ
🛎️	ಬೆಲ್ಹಾಪ್ ಬೆಲ್
🛎	ಬೆಲ್ಹಾಪ್ ಬೆಲ್
🧳	ಸಾಮಾನು
⌛	ಮರಳು ಗಡಿಯಾರವನ್ನು ಮಾಡಲಾಗಿದೆ
⏳	ಮರಳು ಗಡಿಯಾರವನ್ನು ಮಾಡಲಾಗಿಲ್ಲ
⌚	ವೀಕ್ಷಿಸಲು
⏰	ಎಚ್ಚರಿಕೆಯ ಗಡಿಯಾರ
⏱️	ನಿಲ್ಲಿಸುವ ಗಡಿಯಾರ
⏱	ನಿಲ್ಲಿಸುವ ಗಡಿಯಾರ
⏲️	ಟೈಮರ್ ಗಡಿಯಾರ
⏲	ಟೈಮರ್ ಗಡಿಯಾರ
🕰️	ಕವಚದ ಗಡಿಯಾರ
🕰	ಕವಚದ ಗಡಿಯಾರ
🕛	ಹನ್ನೆರಡು ಗಂಟೆಯ
🕧	ಹನ್ನೆರಡು ಘಂಟೆ ಮೂವತ್ತು ನಿಮಿಷ
🕐	ಒಂದು ಗಂಟೆ
🕜	ಒಂದು ಮೂವತ್ತು
🕑	ಎರಡು ಗಂಟೆ
🕝	ಎರಡು ಮೂವತ್ತು
🕒	ಮೂರು ಗಂಟೆ
🕞	ಮೂರೂವರೆ
🕓	ನಾಲ್ಕು ಗಂಟೆ
🕟	ನಾಲ್ಕೂವರೆ
🕔	ಐದು ಗಂಟೆ
🕠	ಐದು ಮೂವತ್ತು
🕕	ಆರು ಗಂಟೆ
🕡	ಆರು ಮೂವತ್ತು
🕖	ಏಳು ಗಂಟೆ
🕢	ಏಳು ಮೂವತ್ತು
🕗	ಎಂಟು ಗಂಟೆಯ
🕣	ಎಂಟು-ಮೂವತ್ತು
🕘	ಒಂಬತ್ತು ಗಂಟೆ
🕤	ಒಂಬತ್ತು ವರೆ
🕙	ಹತ್ತು ಗಂಟೆ
🕥	ಹತ್ತು-ಮೂವತ್ತು
🕚	ಹನ್ನೊಂದು ಗಂಟೆ
🕦	ಹನ್ನೊಂದು ಮೂವತ್ತು
🌑	ಅಮಾವಾಸ್ಯೆ
🌒	ಬೆಳೆಯುತ್ತಿರುವ ಕ್ರೆಸೆಂಟ್ ಚಂದ್ರ
🌓	ಮೊದಲ ತ್ರೈಮಾಸಿಕ ಚಂದ್ರ
🌔	ಬೆಳೆಯುತ್ತಿರುವ ಗಿಬ್ಬಸ್ ಚಂದ್ರ
🌕	ಪೂರ್ಣ ಚಂದ್ರ
🌖	ಕ್ಷೀಣಿಸುತ್ತಿರುವ ಗಿಬ್ಬಸ್ ಚಂದ್ರ
🌗	ಕೊನೆಯ ತ್ರೈಮಾಸಿಕ ಚಂದ್ರ
🌘	ಕ್ಷೀಣಿಸುತ್ತಿರುವ ಅರ್ಧಚಂದ್ರ
🌙	ಅರ್ಧಚಂದ್ರ
🌚	ಅಮಾವಾಸ್ಯೆಯ ಮುಖ
🌛	ಮೊದಲ ತ್ರೈಮಾಸಿಕ ಚಂದ್ರನ ಮುಖ
🌜	ಕೊನೆಯ ಕಾಲು ಚಂದ್ರನ ಮುಖ
🌡️	ಥರ್ಮಾಮೀಟರ್
🌡	ಥರ್ಮಾಮೀಟರ್
☀️	ಸೂರ್ಯ
☀	ಸೂರ್ಯ
🌝	ಹುಣ್ಣಿಮೆಯ ಮುಖ
🌞	ಮುಖದೊಂದಿಗೆ ಸೂರ್ಯ
⭐	ನಕ್ಷತ್ರ
🌟	ಪ್ರಜ್ವಲಿಸುವ ನಕ್ಷತ್ರ
🌠	ಶೂಟಿಂಗ್ ಸ್ಟಾರ್
☁️	ಮೋಡ
☁	ಮೋಡ
⛅	ಮೋಡದ ಹಿಂದೆ ಸೂರ್ಯ
⛈️	ಮಿಂಚು ಮತ್ತು ಮಳೆಯೊಂದಿಗೆ ಮೋಡ
⛈	ಮಿಂಚು ಮತ್ತು ಮಳೆಯೊಂದಿಗೆ ಮೋಡ
🌤️	ಸಣ್ಣ ಮೋಡದ ಹಿಂದೆ ಸೂರ್ಯ
🌤	ಸಣ್ಣ ಮೋಡದ ಹಿಂದೆ ಸೂರ್ಯ
🌥️	ದೊಡ್ಡ ಮೋಡದ ಹಿಂದೆ ಸೂರ್ಯ
🌥	ದೊಡ್ಡ ಮೋಡದ ಹಿಂದೆ ಸೂರ್ಯ
🌦️	ಮಳೆ ಮೋಡದ ಹಿಂದೆ ಸೂರ್ಯ
🌦	ಮಳೆ ಮೋಡದ ಹಿಂದೆ ಸೂರ್ಯ
🌧️	ಮಳೆಯೊಂದಿಗೆ ಮೋಡ
🌧	ಮಳೆಯೊಂದಿಗೆ ಮೋಡ
🌨️	ಹಿಮದೊಂದಿಗೆ ಮೋಡ
🌨	ಹಿಮದೊಂದಿಗೆ ಮೋಡ
🌩️	ಮಿಂಚಿನೊಂದಿಗೆ ಮೋಡ
🌩	ಮಿಂಚಿನೊಂದಿಗೆ ಮೋಡ
🌪️	ಸುಂಟರಗಾಳಿ
🌪	ಸುಂಟರಗಾಳಿ
🌫️	ಮಂಜು
🌫	ಮಂಜು
🌬️	ಗಾಳಿ ಮುಖ
🌬	ಗಾಳಿ ಮುಖ
🌀	ಚಂಡಮಾರುತ
🌈	ಕಾಮನಬಿಲ್ಲು
🌂	ಮುಚ್ಚಿದ ಛತ್ರಿ
☂️	ಛತ್ರಿ
☂	ಛತ್ರಿ
☔	ಮಳೆ ಹನಿಗಳೊಂದಿಗೆ ಛತ್ರಿ
⛱️	ನೆಲದ ಮೇಲೆ ಛತ್ರಿ
⛱	ನೆಲದ ಮೇಲೆ ಛತ್ರಿ
⚡	ಅಧಿಕ ವೋಲ್ಟೇಜ್
❄️	ಸ್ನೋಫ್ಲೇಕ್
❄	ಸ್ನೋಫ್ಲೇಕ್
☃️	ಹಿಮಮಾನವ
☃	ಹಿಮಮಾನವ
⛄	ಹಿಮವಿಲ್ಲದ ಹಿಮಮಾನವ
☄️	ಧೂಮಕೇತು
☄	ಧೂಮಕೇತು
🔥	ಬೆಂಕಿ
💧	ಸಣ್ಣಹನಿ
🌊	ನೀರಿನ ಅಲೆ
🎃	ಜಾಕ್-ಒ-ಲ್ಯಾಂಟರ್ನ್
🎄	ಕ್ರಿಸ್ಮಸ್ ಮರ
🎆	ಪಟಾಕಿ
🎇	ಹೊಳೆಯುವವನು
🧨	ಪಟಾಕಿ
✨	ಮಿಂಚುತ್ತದೆ
🎈	ಬಲೂನ್
🎉	ಪಾರ್ಟಿ ಪಾಪ್ಪರ್
🎊	ಕಾನ್ಫೆಟ್ಟಿ ಚೆಂಡು
🎋	ತನಬಾಟ ಮರ
🎍	ಪೈನ್ ಅಲಂಕಾರ
🎎	ಜಪಾನೀ ಗೊಂಬೆಗಳು
🎏	ಕಾರ್ಪ್ ಸ್ಟ್ರೀಮರ್
🎐	ಗಾಳಿಯ ಗಂಟೆ
🎑	ಚಂದ್ರನ ವೀಕ್ಷಣೆ ಸಮಾರಂಭ
🧧	ಕೆಂಪು ಹೊದಿಕೆ
🎀	ರಿಬ್ಬನ್
🎁	ಸುತ್ತಿದ ಉಡುಗೊರೆ
🎗️	ಜ್ಞಾಪನೆ ರಿಬ್ಬನ್
🎗	ಜ್ಞಾಪನೆ ರಿಬ್ಬನ್
🎟️	ಪ್ರವೇಶ ಟಿಕೆಟ್ಗಳು
🎟	ಪ್ರವೇಶ ಟಿಕೆಟ್ಗಳು
🎫	ಟಿಕೆಟ್
🎖️	ಮಿಲಿಟರಿ ಪದಕ
🎖	ಮಿಲಿಟರಿ ಪದಕ
🏆	ಟ್ರೋಫಿ
🏅	ಕ್ರೀಡಾ ಪದಕ
🥇	1 ನೇ ಸ್ಥಾನ ಪದಕ
🥈	2ನೇ ಸ್ಥಾನ ಪದಕ
🥉	3ನೇ ಸ್ಥಾನ ಪದಕ
⚽	ಸಾಕರ್ ಚೆಂಡು
⚾	ಬೇಸ್ಬಾಲ್
🥎	ಸಾಫ್ಟ್ಬಾಲ್
🏀	ಬ್ಯಾಸ್ಕೆಟ್ಬಾಲ್
🏐	ವಾಲಿಬಾಲ್
🏈	ಅಮೇರಿಕನ್ ಫುಟ್ಬಾಲ್
🏉	ರಗ್ಬಿ ಫುಟ್ಬಾಲ್
🎾	ಟೆನಿಸ್
🥏	ಹಾರುವ ಡಿಸ್ಕ್
🎳	ಬೌಲಿಂಗ್
🏏	ಕ್ರಿಕೆಟ್ ಆಟ
🏑	ಕ್ಷೇತ್ರ ಹಾಕಿ
🏒	ಐಸ್ ಹಾಕಿ
🥍	ಲ್ಯಾಕ್ರೋಸ್
🏓	ಪಿಂಗ್ ಪಾಂಗ್
🏸	ಬ್ಯಾಡ್ಮಿಂಟನ್
🥊	ಬಾಕ್ಸಿಂಗ್ ಕೈಗವಸು
🥋	ಸಮರ ಕಲೆಗಳ ಸಮವಸ್ತ್ರ
🥅	ಗೋಲು ನಿವ್ವಳ
⛳	ರಂಧ್ರದಲ್ಲಿ ಧ್ವಜ
⛸️	ಮಂಜಿನ ಜಾರಾಟ
⛸	ಮಂಜಿನ ಜಾರಾಟ
🎣	ಮೀನು ಹಿಡಿಯುವ ಕೋಲು
🎽	ಚಾಲನೆಯಲ್ಲಿರುವ ಶರ್ಟ್
🎿	ಹಿಮಹಾವುಗೆಗಳು
🛷	ಸ್ಲೆಡ್
🥌	ಕರ್ಲಿಂಗ್ ಕಲ್ಲು
🎯	ನೇರ ಹಿಟ್
🎱	ಪೂಲ್ 8 ಚೆಂಡು
🔮	ಹರಳಿನ ಚೆಂಡು
🧿	ನಾಜರ್ ತಾಯಿತ
🎮	ವಿಡಿಯೋ ಗೇಮ್
🕹️	ಜಾಯ್ಸ್ಟಿಕ್
🕹	ಜಾಯ್ಸ್ಟಿಕ್
🎰	ಸ್ಲಾಟ್ ಯಂತ್ರ
🎲	ಆಟ ಸಾಯುತ್ತದೆ
🧩	ಗರಗಸ
🧸	ಮಗುವಿನ ಆಟದ ಕರಡಿ
♠️	ಸ್ಪೇಡ್ ಸೂಟ್
♠	ಸ್ಪೇಡ್ ಸೂಟ್
♥️	ಹೃದಯ ಸೂಟ್
♥	ಹೃದಯ ಸೂಟ್
♦️	ವಜ್ರದ ಸೂಟ್
♦	ವಜ್ರದ ಸೂಟ್
♣️	ಕ್ಲಬ್ ಸೂಟ್
♣	ಕ್ಲಬ್ ಸೂಟ್
♟️	ಚೆಸ್ ಪ್ಯಾದೆ
♟	ಚೆಸ್ ಪ್ಯಾದೆ
🃏	ಜೋಕರ್
🀄	ಮಹ್ಜಾಂಗ್ ಕೆಂಪು ಡ್ರ್ಯಾಗನ್
🎴	ಹೂವಿನ ಇಸ್ಪೀಟೆಲೆಗಳು
🎭	ಕಲೆ ಪ್ರದರ್ಶನ
🖼️	ಚೌಕಟ್ಟಿನ ಚಿತ್ರ
🖼	ಚೌಕಟ್ಟಿನ ಚಿತ್ರ
🎨	ಕಲಾವಿದ ಪ್ಯಾಲೆಟ್
🧵	ಎಳೆ
🧶	ನೂಲು
🔇	ಮ್ಯೂಟ್ ಮಾಡಿದ ಸ್ಪೀಕರ್
🔈	ಸ್ಪೀಕರ್ ಕಡಿಮೆ ವಾಲ್ಯೂಮ್
🔉	ಸ್ಪೀಕರ್ ಮಧ್ಯಮ ಪರಿಮಾಣ
🔊	ಸ್ಪೀಕರ್ ಹೆಚ್ಚಿನ ಪರಿಮಾಣ
📢	ಧ್ವನಿವರ್ಧಕ
📣	ಮೆಗಾಫೋನ್
📯	ಅಂಚೆ ಕೊಂಬು
🔔	ಗಂಟೆ
🔕	ಸ್ಲ್ಯಾಷ್ನೊಂದಿಗೆ ಗಂಟೆ
🎼	ಸಂಗೀತ ಸ್ಕೋರ್
🎵	ಸಂಗೀತ ಟಿಪ್ಪಣಿ
🎶	ಸಂಗೀತ ಟಿಪ್ಪಣಿಗಳು
🎙️	ಸ್ಟುಡಿಯೋ ಮೈಕ್ರೊಫೋನ್
🎙	ಸ್ಟುಡಿಯೋ ಮೈಕ್ರೊಫೋನ್
🎚️	ಮಟ್ಟದ ಸ್ಲೈಡರ್
🎚	ಮಟ್ಟದ ಸ್ಲೈಡರ್
🎛️	ನಿಯಂತ್ರಣ ಗುಬ್ಬಿಗಳು
🎛	ನಿಯಂತ್ರಣ ಗುಬ್ಬಿಗಳು
🎤	ಮೈಕ್ರೊಫೋನ್
🎧	ಶೀರವಾಣಿ
📻	ರೇಡಿಯೋ
🎷	ಸ್ಯಾಕ್ಸೋಫೋನ್
🎸	ಗಿಟಾರ್
🎹	ಸಂಗೀತ ಕೀಬೋರ್ಡ್
🎺	ತುತ್ತೂರಿ
🎻	ಪಿಟೀಲು
🥁	ಡ್ರಮ್
📱	ಮೊಬೈಲ್ ಫೋನ್
📲	ಬಾಣದೊಂದಿಗೆ ಮೊಬೈಲ್ ಫೋನ್
☎️	ದೂರವಾಣಿ
☎	ದೂರವಾಣಿ
📞	ದೂರವಾಣಿ ರಿಸೀವರ್
📟	ಪೇಜರ್
📠	ಫ್ಯಾಕ್ಸ್ ಯಂತ್ರ
🔋	ಬ್ಯಾಟರಿ
🔌	ವಿದ್ಯುತ್ ಪ್ಲಗ್
💻	ಲ್ಯಾಪ್ಟಾಪ್ ಕಂಪ್ಯೂಟರ್
🖥️	ಡೆಸ್ಕ್ಟಾಪ್ ಕಂಪ್ಯೂಟರ್
🖥	ಡೆಸ್ಕ್ಟಾಪ್ ಕಂಪ್ಯೂಟರ್
🖨️	ಮುದ್ರಕ
🖨	ಮುದ್ರಕ
⌨️	ಕೀಬೋರ್ಡ್
⌨	ಕೀಬೋರ್ಡ್
🖱️	ಕಂಪ್ಯೂಟರ್ ಮೌಸ್
🖱	ಕಂಪ್ಯೂಟರ್ ಮೌಸ್
🖲️	ಟ್ರ್ಯಾಕ್ಬಾಲ್
🖲	ಟ್ರ್ಯಾಕ್ಬಾಲ್
💽	ಕಂಪ್ಯೂಟರ್ ಡಿಸ್ಕ್
💾	ಫ್ಲಾಪಿ ಡಿಸ್ಕ್
💿	ಆಪ್ಟಿಕಲ್ ಡಿಸ್ಕ್
📀	ಡಿವಿಡಿ
🧮	ಅಬ್ಯಾಕಸ್
🎥	ಚಲನಚಿತ್ರ ಕ್ಯಾಮೆರಾ
🎞️	ಚಲನಚಿತ್ರ ಚೌಕಟ್ಟುಗಳು
🎞	ಚಲನಚಿತ್ರ ಚೌಕಟ್ಟುಗಳು
📽️	ಚಲನಚಿತ್ರ ಪ್ರೊಜೆಕ್ಟರ್
📽	ಚಲನಚಿತ್ರ ಪ್ರೊಜೆಕ್ಟರ್
🎬	ಚಪ್ಪಾಳೆ ಫಲಕ
📺	ದೂರದರ್ಶನ
📷	ಕ್ಯಾಮೆರಾ
📸	ಫ್ಲ್ಯಾಶ್ ಹೊಂದಿರುವ ಕ್ಯಾಮೆರಾ
📹	ವೀಡಿಯೊ ಕ್ಯಾಮೆರಾ
📼	ವೀಡಿಯೊ ಕ್ಯಾಸೆಟ್
🔍	ಭೂತಗನ್ನಡಿಯು ಎಡಕ್ಕೆ ಬಾಗಿರುತ್ತದೆ
🔎	ಭೂತಗನ್ನಡಿ ಬಲಕ್ಕೆ ಬಾಗಿರುತ್ತದೆ
🕯️	ಮೋಂಬತ್ತಿ
🕯	ಮೋಂಬತ್ತಿ
💡	ಬೆಳಕಿನ ಬಲ್ಬ್
🔦	ಬ್ಯಾಟರಿ
🏮	ಕೆಂಪು ಕಾಗದದ ಲ್ಯಾಂಟರ್ನ್
📔	ಅಲಂಕಾರಿಕ ಕವರ್ನೊಂದಿಗೆ ನೋಟ್ಬುಕ್
📕	ಮುಚ್ಚಿದ ಪುಸ್ತಕ
📖	ತೆರೆದ ಪುಸ್ತಕ
📗	ಹಸಿರು ಪುಸ್ತಕ
📘	ನೀಲಿ ಪುಸ್ತಕ
📙	ಕಿತ್ತಳೆ ಪುಸ್ತಕ
📚	ಪುಸ್ತಕಗಳು
📓	ನೋಟ್ಬುಕ್
📒	ಖಾತಾ ಪುಸ್ತಕ
📃	ಸುರುಳಿಯೊಂದಿಗೆ ಪುಟ
📜	ಸ್ಕ್ರಾಲ್ ಮಾಡಿ
📄	ಪುಟವನ್ನು ಎದುರಿಸುತ್ತಿದೆ
📰	ಪತ್ರಿಕೆ
🗞️	ಸುತ್ತಿಕೊಂಡ ಪತ್ರಿಕೆ
🗞	ಸುತ್ತಿಕೊಂಡ ಪತ್ರಿಕೆ
📑	ಬುಕ್ಮಾರ್ಕ್ ಟ್ಯಾಬ್ಗಳು
🔖	ಬುಕ್ಮಾರ್ಕ್
🏷️	ಲೇಬಲ್
🏷	ಲೇಬಲ್
💰	ಹಣದ ಚೀಲ
💴	ಯೆನ್ ಬ್ಯಾಂಕ್ನೋಟು
💵	ಡಾಲರ್ ಬ್ಯಾಂಕ್ನೋಟು
💶	ಯೂರೋ ಬ್ಯಾಂಕ್ನೋಟು
💷	ಪೌಂಡ್ ಬ್ಯಾಂಕ್ನೋಟು
💸	ರೆಕ್ಕೆಗಳೊಂದಿಗೆ ಹಣ
💳	ಕ್ರೆಡಿಟ್ ಕಾರ್ಡ್
🧾	ರಶೀದಿ
💹	ಯೆನ್ನೊಂದಿಗೆ ಹೆಚ್ಚುತ್ತಿರುವ ಚಾರ್ಟ್
💱	ಕರೆನ್ಸಿ ವಿನಿಮಯ
💲	ಭಾರೀ ಡಾಲರ್ ಚಿಹ್ನೆ
✉️	ಹೊದಿಕೆ
✉	ಹೊದಿಕೆ
📧	ಇಮೇಲ್
📨	ಒಳಬರುವ ಹೊದಿಕೆ
📩	ಬಾಣದ ಹೊದಿಕೆ
📤	ಔಟ್ಬಾಕ್ಸ್ ಟ್ರೇ
📥	ಇನ್ಬಾಕ್ಸ್ ಟ್ರೇ
📦	ಪ್ಯಾಕೇಜ್
📫	ಎತ್ತರಿಸಿದ ಧ್ವಜದೊಂದಿಗೆ ಮುಚ್ಚಿದ ಅಂಚೆಪೆಟ್ಟಿಗೆ
📪	ಕಡಿಮೆ ಧ್ವಜದೊಂದಿಗೆ ಮುಚ್ಚಿದ ಅಂಚೆಪೆಟ್ಟಿಗೆ
📬	ಎತ್ತರಿಸಿದ ಧ್ವಜದೊಂದಿಗೆ ತೆರೆದ ಅಂಚೆಪೆಟ್ಟಿಗೆ
📭	ಕಡಿಮೆ ಧ್ವಜದೊಂದಿಗೆ ತೆರೆದ ಮೇಲ್ಬಾಕ್ಸ್
📮	ಅಂಚೆ ಪೆಟ್ಟಿಗೆ
🗳️	ಮತಪತ್ರದೊಂದಿಗೆ ಮತಪೆಟ್ಟಿಗೆ
🗳	ಮತಪತ್ರದೊಂದಿಗೆ ಮತಪೆಟ್ಟಿಗೆ
✏️	ಪೆನ್ಸಿಲ್
✏	ಪೆನ್ಸಿಲ್
✒️	ಕಪ್ಪು ನಿಬ್
✒	ಕಪ್ಪು ನಿಬ್
🖋️	ಕಾರಂಜಿ ಪೆನ್
🖋	ಕಾರಂಜಿ ಪೆನ್
🖊️	ಪೆನ್ನು
🖊	ಪೆನ್ನು
🖌️	ಬಣ್ಣದ ಕುಂಚ
🖌	ಬಣ್ಣದ ಕುಂಚ
🖍️	ಬಳಪ
🖍	ಬಳಪ
📝	ಜ್ಞಾಪಕ
💼	ಬ್ರೀಫ್ಕೇಸ್
📁	ಫೈಲ್ ಫೋಲ್ಡರ್
📂	ಫೈಲ್ ಫೋಲ್ಡರ್ ತೆರೆಯಿರಿ
🗂️	ಕಾರ್ಡ್ ಸೂಚ್ಯಂಕ ವಿಭಾಜಕಗಳು
🗂	ಕಾರ್ಡ್ ಸೂಚ್ಯಂಕ ವಿಭಾಜಕಗಳು
📅	ಕ್ಯಾಲೆಂಡರ್
📆	ಕಣ್ಣೀರಿನ ಕ್ಯಾಲೆಂಡರ್
🗒️	ಸುರುಳಿಯಾಕಾರದ ನೋಟ್ಪಾಡ್
🗒	ಸುರುಳಿಯಾಕಾರದ ನೋಟ್ಪಾಡ್
🗓️	ಸುರುಳಿಯಾಕಾರದ ಕ್ಯಾಲೆಂಡರ್
🗓	ಸುರುಳಿಯಾಕಾರದ ಕ್ಯಾಲೆಂಡರ್
📇	ಕಾರ್ಡ್ ಸೂಚ್ಯಂಕ
📈	ಚಾರ್ಟ್ ಹೆಚ್ಚುತ್ತಿದೆ
📉	ಚಾರ್ಟ್ ಕಡಿಮೆಯಾಗುತ್ತಿದೆ
📊	ಬಾರ್ ಚಾರ್ಟ್
📋	ಕ್ಲಿಪ್ಬೋರ್ಡ್
📌	ಪುಷ್ಪಿನ್
📍	ಸುತ್ತಿನ ಪುಷ್ಪಿನ್
📎	ಕಾಗದ ಹಿಡಿಕೆ
