😀	ухилено лице
🤲🏾	длани нагоре заедно: средно тъмен цвят на кожата
🤲🏿	длани нагоре заедно: тъмна кожа
🙏	скръстени ръце
🙏🏻	скръстени ръце: светъл тен на кожата
🙏🏼	скръстени ръце: средно светъл тен на кожата
🙏🏽	скръстени ръце: среден тен на кожата
🙏🏾	скръстени ръце: средно тъмен цвят на кожата
🙏🏿	скръстени ръце: тъмна кожа
🤝	ръкостискане
💅	лак за нокти
💅🏻	лак за нокти: светъл цвят на кожата
💅🏼	лак за нокти: средно светъл цвят на кожата
💅🏽	лак за нокти: среден цвят на кожата
💅🏾	лак за нокти: средно тъмен цвят на кожата
💅🏿	лак за нокти: тъмна кожа
👂	ухо
👂🏻	ухо: светла кожа
👂🏼	ухо: средно светъл тен на кожата
👂🏽	ухо: среден цвят на кожата
👂🏾	ухо: средно тъмен цвят на кожата
👂🏿	ухо: тъмна кожа
👃	нос
👃🏻	нос: светъл цвят на кожата
👃🏼	нос: средно светъл тен на кожата
👃🏽	нос: среден цвят на кожата
👃🏾	нос: средно тъмен цвят на кожата
👃🏿	нос: тъмна кожа
🦰	червенокоса
🦱	къдрокос
🦲	плешив
🦳	белокос
👣	стъпки
👀	очи
👁️	око
👁	око
👁️‍🗨️	око в балонче
👁‍🗨️	око в балонче
👁️‍🗨	око в балонче
👁‍🗨	око в балонче
🧠	мозък
🦴	костен
🦷	зъб
👅	език
👄	устата
💋	знак за целувка
💘	сърце със стрела
❤️	червено сърце
❤	червено сърце
💓	биещо сърце
💔	разбито сърце
💕	две сърца
💖	искрящо сърце
💗	растящо сърце
💙	синьо сърце
💚	зелено сърце
💛	жълто сърце
🧡	оранжево сърце
💜	лилаво сърце
🖤	Черно сърце
💝	сърце с панделка
💞	въртящи се сърца
💟	украса сърце
❣️	тежко сърце възклицание
❣	тежко сърце възклицание
💌	любовно писмо
💤	zzz
💢	гняв символ
💣	бомба
💥	сблъсък
💦	капчици пот
💨	блъскам се
💫	замайване
💬	реч балон
🗨️	ляво балонче за реч
🗨	ляво балонче за реч
🗯️	десен балон на гнева
🗯	десен балон на гнева
💭	мисъл балон
🕳️	дупка
🕳	дупка
👓	очила
🕶️	слънчеви очила
🕶	слънчеви очила
🥽	очила
🥼	престилка
👔	вратовръзка
👕	тениска
👖	дънки
🧣	шал
🧤	ръкавици
🧥	палто
🧦	чорапи
👗	рокля
👘	кимоно
👙	бикини
👚	женски дрехи
👛	Портмоне
👜	дамска чанта
👝	малка дамска чанта
🛍️	пазарски чанти
🛍	пазарски чанти
🎒	ученическа раница
👞	мъжка обувка
👟	маратонка
🥾	туристически обувки
🥿	дамска равна обувка
👠	обувка на висок ток
👡	дамски сандал
👢	дамски ботуш
👑	корона
👒	дамска шапка
🎩	цилиндър
🎓	абитуриентска шапка
🧢	таксуван кап
⛑️	каска на спасител
⛑	каска на спасител
📿	молитвени броеници
💄	червило
💍	пръстен
💎	скъпоценен камък
🐵	маймунско лице
🐒	маймуна
🦍	горила
🐶	кучешко лице
🐕	куче
🐩	пудел
🐺	вълче лице
🦊	лице на лисица
🦝	миеща мечка
🐱	котешко лице
🐈	котка
🦁	лъвско лице
🐯	лице на тигър
🐅	тигър
🐆	леопард
🐴	конско лице
🐎	кон
🦄	лице на еднорог
🦓	зебра
🦌	елен
🐮	кравешко лице
🐂	вол
🐃	Воден бивол
🐄	крава
🐷	свинско лице
🐖	прасе
🐗	глиган
🐽	свински нос
🐏	овен
🐑	овца
🐐	коза
🐪	камила
🐫	двугърба камила
🦙	лама
🦒	жираф
🐘	слон
🦏	носорог
🦛	хипопотам
🐭	лице на мишка
🐁	мишка
🐀	плъх
🐹	лице на хамстер
🐰	заешко лице
🐇	заек
🐿️	бурундук
🐿	бурундук
🦔	таралеж
🦇	прилеп
🐻	мечешко лице
🐨	коала
🐼	лице на панда
🦘	кенгуру
🦡	язовец
🐾	отпечатъци от лапи
🦃	пуйка
🐔	пиле
🐓	петел
🐣	люпещо се пиленце
🐤	бебе мацка
🐥	гледащо отпред бебе пиле
🐦	птица
🐧	пингвин
🕊️	гълъб
🕊	гълъб
🦅	орел
🦆	патица
🦢	лебед
🦉	бухал
🦚	паун
🦜	папагал
🐸	жабешко лице
🐊	крокодил
🐢	костенурка
🦎	гущер
🐍	змия
🐲	лице на дракон
🐉	дракон
🦕	зауропод
🦖	Т-рекс
🐳	бълбукащ кит
🐋	кит
🐬	делфин
🐟	риба
🐠	тропически риби
🐡	риба духалка
🦈	акула
🐙	октопод
🐚	спираловидна черупка
🦀	рак
🦞	омар
🦐	скариди
🦑	калмари
🐌	охлюв
🦋	пеперуда
🐛	буболечка
🐜	мравка
🐝	медна пчела
🐞	дама бръмбар
🦗	крикет
🕷️	паяк
🕷	паяк
🕸️	паяжина
🕸	паяжина
🦂	скорпион
🦟	комар
🦠	микроб
💐	букет
🌸	черешов цвят
💮	бяло цвете
🏵️	розетка
🏵	розетка
🌹	роза
🥀	увехнало цвете
🌺	хибискус
🌻	слънчоглед
🌼	цъфти
🌷	лале
🌱	разсад
🌲	вечнозелено дърво
🌳	широколистно дърво
🌴	палмово дърво
🌵	кактус
🌾	сноп ориз
🌿	билка
☘️	Детелина
☘	Детелина
🍀	Четирилистна детелина
🍁	кленов лист
🍂	паднал лист
🍃	трептене на листа от вятъра
🍇	грозде
🍈	пъпеш
🍉	диня
🍊	мандарина
🍋	лимон
🍌	банан
🍍	ананас
🥭	манго
🍎	червена ябълка
🍏	зелена ябълка
🍐	круша
🍑	праскова
🍒	череши
🍓	ягода
🥝	киви
🍅	домат
🥥	кокосов орех
🥑	авокадо
🍆	патладжан
🥔	картофи
🥕	морков
🌽	Кочан царевица
🌶️	люта чушка
🌶	люта чушка
🥒	краставица
🥬	листно зелено
🥦	броколи
🍄	гъба
🥜	фъстъци
🌰	кестен
🍞	хляб
🥐	кроасан
🥖	багет хляб
🥨	геврек
🥯	франзела
🥞	палачинки
🧀	парче сирене
🍖	месо с кост
🍗	птиче бутче
🥩	парче месо
🥓	бекон
🍔	хамбургер
🍟	пържени картофки
🍕	пица
🌭	хот дог
🥪	сандвич
🌮	тако
🌯	бурито
🥙	пълнена питка
🥚	яйце
🍳	готвене
🥘	плитка тава с храна
🍲	тенджера с храна
🥣	купа с лъжица
🥗	зелена салата
🍿	пуканки
🧂	сол
🥫	консервирани храни
🍱	бенто кутия
🍘	оризов крекер
🍙	оризова топка
🍚	сготвен ориз
🍛	къри ориз
🍜	купа за готвене на пара
🍝	спагети
🍠	печен сладък картоф
🍢	Оден
🍣	суши
🍤	пържени скариди
🍥	рибен сладкиш с въртене
🥮	лунна торта
🍡	данго
🥟	кнедли
🥠	късметче
🥡	кутия за вкъщи
🍦	мек сладолед
🍧	бръснат лед
🍨	сладолед
🍩	поничка
🍪	бисквитка
🎂	торта
🍰	сладкиш
🧁	кексче
🥧	пай
🍫	шоколад
🍬	бонбони
🍭	близалка
🍮	яйчен крем
🍯	гърне за мед
🍼	бебешко шише
🥛	чаша мляко
☕	топла напитка
🍵	чаена чаша без дръжка
🍶	саке
🍾	бутилка с пукаща тапа
🍷	чаша за вино
🍸	коктейлна чаша
🍹	тропическа напитка
🍺	халба за бира
🍻	дрънкащи бирени халби
🥂	звънене на чаши
🥃	стъклена чаша
🥤	чаша със сламка
🥢	клечки
🍽️	вилица и нож с чиния
🍽	вилица и нож с чиния
🍴	вилица и нож
🥄	лъжица
🔪	кухненски нож
🏺	амфора
🌍	глобус, показващ Европа-Африка
🌎	глобус, показващ Америка
🌏	глобус, показващ Азия-Австралия
🌐	глобус с меридиани
🗺️	карта на света
🗺	карта на света
🗾	карта на Япония
🧭	компас
🏔️	заснежена планина
🏔	заснежена планина
⛰️	планина
⛰	планина
🌋	вулкан
🗻	планината Фуджи
🏕️	къмпинг
🏕	къмпинг
🏖️	плаж с чадър
🏖	плаж с чадър
🏜️	пустинен
🏜	пустинен
🏝️	пустинен остров
🏝	пустинен остров
🏞️	национален парк
🏞	национален парк
🏟️	стадион
🏟	стадион
🏛️	класическа сграда
🏛	класическа сграда
🏗️	строителство на сгради
🏗	строителство на сгради
🧱	тухли
🏘️	къщи
🏘	къщи
🏚️	запусната къща
🏚	запусната къща
🏠	къща
🏡	къща с градина
🏢	офис сграда
🏣	японски пощи
🏤	пощенска станция
🏥	болница
🏦	банка
🏨	хотел
🏩	любовен хотел
🏪	смесен магазин
🏫	училище
🏬	универсален магазин
🏭	фабрика
🏯	японски замък
🏰	замък
💒	сватба
🗼	Токийската кула
🗽	Статуя на свободата
⛪	църква
🕌	джамия
🕍	синагога
⛩️	шинтоистки храм
⛩	шинтоистки храм
🕋	Кааба
⛲	фонтан
⛺	палатка
🌁	мъгливо
🌃	нощ със звезди
🏙️	градски пейзаж
🏙	градски пейзаж
🌄	изгрев над планини
🌅	изгрев
🌆	градски пейзаж по здрач
🌇	залез
🌉	мост през нощта
♨️	горещи извори
♨	горещи извори
🌌	млечен път
🎠	въртележка кон
🎡	виенско колело
🎢	влакче на ужасите
💈	бръснарски стълб
🎪	циркова палатка
🚂	локомотив
🚃	железопътен вагон
🚄	високоскоростен влак
🚅	влак-стрела
🚆	влак
🚇	метро
🚈	лека железница
🚉	станция
🚊	трамвай
🚝	монорелса
🚞	планинска ж.п
🚋	трамвайна кола
🚌	автобус
🚍	идващ автобус
🚎	тролейбус
🚐	микробус
🚑	линейка
🚒	пожарна кола
🚓	полицейска кола
🚔	идваща полицейска кола
🚕	такси
🚖	идващо такси
🚗	автомобилен
🚘	идващ автомобил
🚙	спортно превозно средство
🚚	камион за доставка
🚛	съчленен камион
🚜	трактор
🚲	велосипед
🛴	тротинетка
🛹	скейтборд
🛵	моторен скутер
🚏	автобусна спирка
🛣️	магистрала
🛣	магистрала
🛤️	железопътна линия
🛤	железопътна линия
🛢️	варел с масло
🛢	варел с масло
⛽	горивна помпа
🚨	светлина на полицейска кола
🚥	хоризонтален светофар
🚦	вертикален светофар
🛑	знак Стоп
🚧	строителство
⚓	котва
⛵	платноходка
🛶	кану
🚤	моторна лодка
🛳️	пътнически кораб
🛳	пътнически кораб
⛴️	ферибот
⛴	ферибот
🛥️	моторна лодка
🛥	моторна лодка
🚢	кораб
✈️	самолет
✈	самолет
🛩️	малък самолет
🛩	малък самолет
🛫	излитане на самолет
🛬	пристигане на самолет
💺	седалка
🚁	хеликоптер
🚟	висяща железница
🚠	планинска въжена линия
🚡	въздушен трамвай
🛰️	сателит
🛰	сателит
🚀	ракета
🛸	летяща чиния
🛎️	пиколен звънец
🛎	пиколен звънец
🧳	багаж
⌛	пясъчен часовник готов
⏳	пясъчен часовник не е направено
⌚	гледам
⏰	будилник
⏱️	хронометър
⏱	хронометър
⏲️	часовник с таймер
⏲	часовник с таймер
🕰️	каминен часовник
🕰	каминен часовник
🕛	дванайсет часá
🕧	дванадесет и тридесет
🕐	един часът
🕜	една трийста
🕑	два часът
🕝	два и половина
🕒	три часа
🕞	три и тридесет
🕓	четири часа
🕟	четири и половина
🕔	пет часá
🕠	пет и тридесет
🕕	шест часá
🕡	шест и половина
🕖	седем часа
🕢	седем и половина
🕗	осем часá
🕣	осем и половина
🕘	девет часа
🕤	девет и половина
🕙	десет часá
🕥	десет и половина
🕚	единадесет часа
🕦	единадесет и половина
🌑	Новолуние
🌒	нарастващ полумесец
🌓	първа четвърт луна
🌔	нарастваща луна
🌕	пълнолуние
🌖	намаляваща луна
🌗	последна четвърт луна
🌘	намаляващ полумесец
🌙	полумесец
🌚	новолуние лице
🌛	лице на първата четвърт на луната
🌜	лице на последната четвърт на луната
🌡️	термометър
🌡	термометър
☀️	слънце
☀	слънце
🌝	пълнолуние лице
🌞	слънце с лице
⭐	звезда
🌟	светеща звезда
🌠	падаща звезда
☁️	облак
☁	облак
⛅	слънце зад облак
⛈️	облак със светкавица и дъжд
⛈	облак със светкавица и дъжд
🌤️	слънце зад малък облак
🌤	слънце зад малък облак
🌥️	слънце зад голям облак
🌥	слънце зад голям облак
🌦️	слънце зад дъждовен облак
🌦	слънце зад дъждовен облак
🌧️	облак с дъжд
🌧	облак с дъжд
🌨️	облак със сняг
🌨	облак със сняг
🌩️	облак със светкавица
🌩	облак със светкавица
🌪️	торнадо
🌪	торнадо
🌫️	мъгла
🌫	мъгла
🌬️	вятър лице
🌬	вятър лице
🌀	циклон
🌈	дъга
🌂	затворен чадър
☂️	чадър
☂	чадър
☔	чадър с капки дъжд
⛱️	чадър на земята
⛱	чадър на земята
⚡	високо напрежение
❄️	снежинка
❄	снежинка
☃️	снежен човек
☃	снежен човек
⛄	снежен човек без сняг
☄️	комета
☄	комета
🔥	огън
💧	капчица
🌊	водна вълна
🎃	джак-о-фенер
🎄	коледна елха
🎆	фойерверки
🎇	бенгалски огън
🧨	петарда
✨	искри
🎈	балон
🎉	парти попър
🎊	конфети топка
🎋	дърво танабата
🎍	борова украса
🎎	японски кукли
🎏	шаранджийски стример
🎐	Вятърни камбанки
🎑	церемония по разглеждане на луната
🧧	червен плик
🎀	панделка
🎁	опакован подарък
🎗️	лента за напомняне
🎗	лента за напомняне
🎟️	входни билети
🎟	входни билети
🎫	билет
🎖️	военен медал
🎖	военен медал
🏆	трофей
🏅	спортен медал
🥇	1 място медал
🥈	2-ро място медал
🥉	3-то място медал
⚽	футболна топка
⚾	бейзбол
🥎	софтбол
🏀	баскетбол
🏐	волейбол
🏈	американски футбол
🏉	ръгби футбол
🎾	тенис
🥏	летящ диск
🎳	боулинг
🏏	игра на крикет
🏑	Хокей на трева
🏒	хокей на лед
🥍	лакрос
🏓	пинг понг
🏸	бадминтон
🥊	боксова ръкавица
🥋	униформа за бойни изкуства
🥅	гол мрежа
⛳	флаг в дупка
⛸️	кънки за лед
⛸	кънки за лед
🎣	въдица
🎽	тениска за бягане
🎿	ски
🛷	шейна
🥌	камък за къдрене
🎯	директно попадение
🎱	басейн 8 топка
🔮	кристална топка
🧿	назар амулет
🎮	видео игра
🕹️	джойстик
🕹	джойстик
🎰	Слот машина
🎲	зар за игра
🧩	мозайката
🧸	плюшено мече
♠️	пика костюм
♠	пика костюм
♥️	сърдечен костюм
♥	сърдечен костюм
♦️	диамантен костюм
♦	диамантен костюм
♣️	клубен костюм
♣	клубен костюм
♟️	шахматна пешка
♟	шахматна пешка
🃏	шегаджия
🀄	маджонг червен дракон
🎴	цветни карти за игра
🎭	сценичните изкуства
🖼️	картина в рамка
🖼	картина в рамка
🎨	палитра на художника
🧵	резба
🧶	прежда
🔇	заглушен високоговорител
🔈	нисък звук на високоговорителя
🔉	високоговорител средна сила на звука
🔊	висока сила на звука на високоговорителя
📢	високоговорител
📣	мегафон
📯	пощенски рог
🔔	звънец
🔕	звънец с наклонена черта
🎼	музикални точки
🎵	музикална нота
🎶	музикални ноти
🎙️	студиен микрофон
🎙	студиен микрофон
🎚️	плъзгач за ниво
🎚	плъзгач за ниво
🎛️	контролни копчета
🎛	контролни копчета
🎤	микрофон
🎧	слушалка
📻	радио
🎷	саксофон
🎸	китара
🎹	музикална клавиатура
🎺	тромпет
🎻	цигулка
🥁	барабан
📱	мобилен телефон
📲	мобилен телефон със стрелка
☎️	телефон
☎	телефон
📞	телефонна слушалка
📟	пейджър
📠	факс апарат
🔋	батерия
🔌	електрически щепсел
💻	преносим компютър
🖥️	настолен компютър
🖥	настолен компютър
🖨️	принтер
🖨	принтер
⌨️	клавиатура
⌨	клавиатура
🖱️	компютърна мишка
🖱	компютърна мишка
🖲️	тракбол
🖲	тракбол
💽	компютърен диск
💾	дискета
💿	оптичен диск
📀	DVD
🧮	Абак
🎥	филмова камера
🎞️	филмови рамки
🎞	филмови рамки
📽️	филмов проектор
📽	филмов проектор
🎬	хлопка дъска
📺	телевизия
📷	камера
📸	камера със светкавица
📹	видео камера
📼	видеокасета
🔍	лупа, наклонена наляво
🔎	лупа, наклонена надясно
🕯️	свещ
🕯	свещ
💡	крушка
🔦	фенерче
🏮	червен хартиен фенер
📔	тетрадка с декоративна корица
📕	затворена книга
📖	отворена книга
📗	зелена книга
📘	синя книга
📙	оранжева книга
📚	книги
📓	тетрадка
📒	счетоводна книга
📃	страница с извивка
📜	превъртане
📄	страница с лицето нагоре
📰	вестник
🗞️	навит вестник
🗞	навит вестник
📑	раздели за отметки
🔖	отметка
🏷️	етикет
🏷	етикет
💰	торба с пари
💴	йена банкнота
💵	доларова банкнота
💶	евро банкнота
💷	лира банкнота
💸	пари с крила
💳	кредитна карта
🧾	касова бележка
💹	графика нараства с йена
💱	обмяна на валута
💲	тежък знак за долар
✉️	плик
✉	плик
📧	електронна поща
📨	входящ плик
📩	плик със стрелка
📤	тава за изходяща кутия
📥	тава за входяща кутия
📦	пакет
📫	затворена пощенска кутия с вдигнат флаг
📪	затворена пощенска кутия със спуснат флаг
📬	отворена пощенска кутия с вдигнат флаг
📭	отворена пощенска кутия със свален флаг
📮	пощенска кутия
🗳️	урна с бюлетина
🗳	урна с бюлетина
✏️	молив
✏	молив
✒️	черен писец
✒	черен писец
🖋️	писалка
🖋	писалка
🖊️	химилка
🖊	химилка
🖌️	четка за рисуване
🖌	четка за рисуване
🖍️	пастел
🖍	пастел
📝	бележка
💼	куфарче
📁	папка
📂	отворете файлова папка
🗂️	картотечни разделители
🗂	картотечни разделители
📅	календар
📆	откъсващ се календар
🗒️	спираловидно тефтерче
🗒	спираловидно тефтерче
🗓️	спираловиден календар
🗓	спираловиден календар
📇	картотека
📈	диаграма нараства
📉	диаграма намалява
📊	стълбовидна диаграма
📋	клипборда
📌	щифт
📍	кръгла игла
📎	кламер
🖇️	свързани кламери
🖇	свързани кламери
📏	права линийка
📐	триъгълна линийка
✂️	ножица
✂	ножица
🗃️	кутия за картотека
🗃	кутия за картотека
🗄️	картотека
🗄	картотека
🗑️	кошче за отпадъци
🗑	кошче за отпадъци
🔒	заключено
🔓	отключена
🔏	заключено с писалка
🔐	заключена с ключ
🔑	ключ
🗝️	стар ключ
🗝	стар ключ
🔨	чук
⛏️	избирам
⛏	избирам
⚒️	чук и кирка
⚒	чук и кирка
🛠️	чук и гаечен ключ
🛠	чук и гаечен ключ
🗡️	кама
🗡	кама
⚔️	кръстосани мечове
⚔	кръстосани мечове
🔫	пистолет
🏹	лък и стрела
🛡️	щит
🛡	щит
🔧	гаечен ключ
🔩	гайка и болт
⚙️	съоръжения
⚙	съоръжения
🗜️	скоба
🗜	скоба
⚖️	балансова скала
⚖	балансова скала
🔗	връзка
⛓️	вериги
⛓	вериги
🧰	кутия за инструменти
🧲	магнит
⚗️	аламбик
⚗	аламбик
🧪	епруветка
🧫	петриево блюдо
🧬	ДНК
🔬	микроскоп
🔭	телескоп
📡	сателитна антена
💉	спринцовка
💊	хапче
🚪	врата
🛏️	легло
🛏	легло
🛋️	диван и лампа
🛋	диван и лампа
🚽	тоалетна
🚿	душ
🛁	вана
🧴	бутилка лосион
🧷	безопасна игла
🧹	метла
🧺	кошница
🧻	ролка хартия
🧼	сапун
🧽	гъба
🧯	пожарогасител
🛒	карта за пазаруване
🚬	цигара
⚰️	ковчег
⚰	ковчег
⚱️	погребална урна
⚱	погребална урна
🗿	моаи
🏧	знак за банкомат
🚮	знак за боклук в контейнера
🚰	питейна вода
♿	символ на инвалидна количка
🚹	мъжка стая
🚺	женска стая
🚻	тоалетна
🚼	бебе символ
🚾	тоалетна
🛂	паспортен контрол
🛃	обичаи
🛄	получаване на багаж
🛅	оставен багаж
⚠️	внимание
⚠	внимание
🚸	деца, пресичащи
⛔	не е вход
🚫	забранено
🚳	без велосипеди
🚭	Пушенето забранено
🚯	без боклук
🚱	непитейна вода
🚷	без пешеходци
📵	няма мобилни телефони
🔞	никой под осемнадесет години
☢️	радиоактивен
☢	радиоактивен
☣️	биологична опасност
☣	биологична опасност
⬆️	стрелка нагоре
⬆	стрелка нагоре
↗️	стрелка нагоре-надясно
↗	стрелка нагоре-надясно
➡️	дясна стрелка
➡	дясна стрелка
↘️	стрелка надолу-надясно
↘	стрелка надолу-надясно
⬇️	стрелка надолу
⬇	стрелка надолу
↙️	стрелка надолу-наляво
↙	стрелка надолу-наляво
⬅️	лява стрелка
⬅	лява стрелка
↖️	стрелка нагоре-наляво
↖	стрелка нагоре-наляво
↕️	стрелка нагоре-надолу
↕	стрелка нагоре-надолу
↔️	стрелка наляво-надясно
↔	стрелка наляво-надясно
↩️	стрелка надясно, извиваща се наляво
↩	стрелка надясно, извиваща се наляво
↪️	лява стрелка, извиваща се надясно
↪	лява стрелка, извиваща се надясно
⤴️	стрелка надясно, извита нагоре
⤴	стрелка надясно, извита нагоре
⤵️	стрелка надясно, извита надолу
⤵	стрелка надясно, извита надолу
🔃	вертикални стрелки по часовниковата стрелка
🔄	бутон със стрелки обратно на часовниковата стрелка
🔙	Стрелка НАЗАД
🔚	стрелка КРАЙ
🔛	НА стрелка
🔜	СКОРО стрелка
🔝	ТОП стрелка
🛐	място за поклонение
⚛️	атом символ
⚛	атом символ
🕉️	ом
🕉	ом
✡️	звездата на Давид
✡	звездата на Давид
☸️	колелото на дхарма
☸	колелото на дхарма
☯️	Ин и Ян
☯	Ин и Ян
✝️	латински кръст
✝	латински кръст
☦️	православен кръст
☦	православен кръст
☪️	звезда и полумесец
☪	звезда и полумесец
☮️	символ на мира
☮	символ на мира
🕎	менора
🔯	шестолъчна звезда на точки
♈	Овен
♉	Телец
♊	зодия Близнаци
♋	Рак
♌	Лео
♍	зодия Дева
♎	Везни
♏	Скорпион
♐	Стрелец
♑	Козирог
♒	Водолей
♓	Риби
⛎	Змиеносец
🔀	бутон за разбъркване на песни
🔁	бутон за повторение
🔂	повторете един бутон
▶️	бутон за възпроизвеждане
▶	бутон за възпроизвеждане
⏩	бутон за бързо превъртане напред
⏭️	бутон за следваща песен
⏭	бутон за следваща песен
⏯️	бутон за възпроизвеждане или пауза
⏯	бутон за възпроизвеждане или пауза
◀️	бутон за реверс
◀	бутон за реверс
⏪	бутон за бързо връщане назад
⏮️	бутон за последна песен
⏮	бутон за последна песен
🔼	бутон нагоре
⏫	бутон за бързо нагоре
🔽	бутон надолу
⏬	бутон за бързо надолу
⏸️	бутон за пауза
⏸	бутон за пауза
⏹️	бутон за спиране
⏹	бутон за спиране
⏺️	бутон за запис
⏺	бутон за запис
⏏️	бутон за изваждане
⏏	бутон за изваждане
🎦	кино
🔅	бутон за затъмняване
🔆	ярък бутон
📶	антенни решетки
📳	режим на вибрация
📴	изключен мобилен телефон
♀️	женски знак
♀	женски знак
♂️	мъжки знак
♂	мъжки знак
⚕️	медицински символ
⚕	медицински символ
♾️	безкрайност
♾	безкрайност
♻️	символ за рециклиране
♻	символ за рециклиране
⚜️	цветна лилия
⚜	цветна лилия
🔱	емблема тризъбец
📛	табелка с име
🔰	Японски символ за начинаещи
⭕	тежък голям кръг
✅	бяла плътна отметка
☑️	урна с чек
☑	урна с чек
✔️	тежка отметка
✔	тежка отметка
✖️	тежко умножение x
✖	тежко умножение x
❌	кръстосана маркировка
❎	бутон за кръстосана маркировка
➕	тежък знак плюс
➖	тежък знак минус
➗	тежък знак за деление
➰	къдрава примка
➿	двойна къдрава линия
〽️	знак за редуване на части
〽	знак за редуване на части
✳️	звездичка с осем лъча
✳	звездичка с осем лъча
✴️	осемлъчева звезда
✴	осемлъчева звезда
❇️	блясък
❇	блясък
‼️	двоен удивителен знак
‼	двоен удивителен знак
⁉️	удивителен въпросителен знак
⁉	удивителен въпросителен знак
❓	въпросителен знак
❔	бял въпросителен знак
❕	бял удивителен знак
❗	удивителен знак
〰️	вълнообразно тире
〰	вълнообразно тире
©️	Авторско право
©	Авторско право
®️	регистриран
®	регистриран
™️	търговска марка
™	търговска марка
#️⃣	ключалка: #
#⃣	ключалка: #
*️⃣	ключалка: *
*⃣	ключалка: *
0️⃣	ключалка: 0
0⃣	ключалка: 0
1️⃣	ключалка: 1
1⃣	ключалка: 1
2️⃣	ключалка: 2
2⃣	ключалка: 2
3️⃣	ключалка: 3
3⃣	ключалка: 3
4️⃣	ключалка: 4
4⃣	ключалка: 4
5️⃣	ключалка: 5
5⃣	ключалка: 5
6️⃣	ключалка: 6
6⃣	ключалка: 6
7️⃣	ключалка: 7
7⃣	ключалка: 7
8️⃣	ключалка: 8
8⃣	ключалка: 8
9️⃣	ключалка: 9
9⃣	ключалка: 9
🔟	ключалка: 10
💯	сто точки
🔠	въвеждане на латински главни букви
🔡	въвеждане на латински малки букви
🔢	въвеждане на числа
🔣	входни символи
🔤	въвеждане на латински букви
🅰️	Бутон (кръвна група)
🅰	Бутон (кръвна група)
🆎	Бутон AB (кръвна група)
🅱️	Бутон B (кръвна група)
🅱	Бутон B (кръвна група)
🆑	CL бутон
🆒	Бутон COOL
🆓	БЕЗПЛАТЕН бутон
ℹ️	информация
ℹ	информация
🆔	ID бутон
Ⓜ️	ограден М
Ⓜ	ограден М
🆕	НОВ бутон
🆖	NG бутон
🅾️	O бутон (кръвна група)
🅾	O бутон (кръвна група)
🆗	бутон OK
🅿️	P бутон
🅿	P бутон
🆘	SOS бутон
🆙	Бутон НАГОРЕ
🆚	Бутон VS
🈁	Японски бутон „тук“.
🈂️	Японски бутон за такса за обслужване
🈂	Японски бутон за такса за обслужване
🈷️	Японски бутон „месечна сума“.
🈷	Японски бутон „месечна сума“.
🈶	Японски бутон „не безплатно“.
🈯	Японски „резервиран“ бутон
🉐	Японски бутон „изгодна сделка“.
🈹	Японски бутон "отстъпка".
🈚	Японски бутон „безплатно“.
🈲	Японски „забранен“ бутон
🉑	Японски бутон „приемливо“.
🈸	Японски бутон „приложение“.
🈴	Японски бутон „преминаваща оценка“.
🈳	Японски бутон „свободно място“.
㊗️	Японски бутон "поздравления".
㊗	Японски бутон "поздравления".
㊙️	Японски „таен“ бутон
㊙	Японски „таен“ бутон
🈺	Японски бутон „отворен за бизнес“.
🈵	Японски бутон „няма свободни места“.
▪️	черен малък квадрат
▪	черен малък квадрат
▫️	бял малък квадрат
▫	бял малък квадрат
◻️	бял среден квадрат
◻	бял среден квадрат
◼️	черен среден квадрат
◼	черен среден квадрат
◽	бял средно-малък квадрат
◾	черен средно малък квадрат
⬛	черен голям квадрат
⬜	голям бял квадрат
🔶	голям оранжев диамант
🔷	голям син диамант
🔸	малък оранжев диамант
🔹	малък син диамант
🔺	червен триъгълник, заострен нагоре
🔻	червен триъгълник, насочен надолу
💠	диамант с точка
🔘	радио бутон
🔲	черен квадратен бутон
🔳	бял квадратен бутон
⚪	бял кръг
⚫	черен кръг
🔴	червен кръг
🔵	син кръг
🏁	карирано знаме
🚩	триъгълно знаме
🎌	кръстосани знамена
🏴	Черно знаме
🏳️	бял флаг
🏳	бял флаг
🏳️‍🌈	знаме на дъгата
🏳‍🌈	знаме на дъгата
🏴‍☠️	пиратско знаме
🏴‍☠	пиратско знаме
🇦🇨	Остров Възнесение
🇦🇩	Андора
🇦🇪	Обединени арабски емирства
🇦🇫	Афганистан
🇦🇬	Антигуа и Барбуда
🇦🇮	Ангуила
🇦🇱	Албания
🇦🇲	Армения
🇦🇴	Ангола
🇦🇶	Антарктика
🇦🇷	Аржентина
🇦🇸	Американска Самоа
🇦🇹	Австрия
🇦🇺	Австралия
🇦🇼	Аруба
🇦🇽	Аландски острови
🇦🇿	Азербайджан
🇧🇦	Босна и Херцеговина
🇧🇧	Барбадос
🇧🇩	Бангладеш
🇧🇪	Белгия
🇧🇫	Буркина Фасо
🇧🇬	България
🇧🇭	Бахрейн
🇧🇮	Бурунди
🇧🇯	Бенин
🇧🇱	Сен Бартелеми
🇧🇲	Бермудите
🇧🇳	Бруней
🇧🇴	Боливия
🇧🇶	Карибска Холандия
🇧🇷	Бразилия
🇧🇸	Бахамите
🇧🇹	Бутан
🇧🇻	Остров Буве
🇧🇼	Ботсвана
🇧🇾	Беларус
🇧🇿	Белиз
🇨🇦	Канада
