😀	nacereno lice
🤼‍♂️	muškarci rvanje
🤼‍♂	muškarci rvanje
🤼‍♀️	žensko rvanje
🤼‍♀	žensko rvanje
🤽	osoba koja igra vaterpolo
🤽🏻	osoba koja igra vaterpolo: svijetla koža
🤽🏼	osoba koja igra vaterpolo: srednje svijetla boja kože
🤽🏽	osoba koja igra vaterpolo: srednja boja kože
🤽🏾	osoba koja igra vaterpolo: srednje tamna koža
🤽🏿	osoba koja igra vaterpolo: tamna koža
🤽‍♂️	čovjek igra vaterpolo
🤽‍♂	čovjek igra vaterpolo
🤽🏻‍♂️	muškarac koji igra vaterpolo: svijetla koža
🤽🏻‍♂	muškarac koji igra vaterpolo: svijetla koža
🤽🏼‍♂️	muškarac koji igra vaterpolo: srednje svijetla boja kože
🤽🏼‍♂	muškarac koji igra vaterpolo: srednje svijetla boja kože
🤽🏽‍♂️	muškarac koji igra vaterpolo: srednja boja kože
🤽🏽‍♂	muškarac koji igra vaterpolo: srednja boja kože
🤽🏾‍♂️	muškarac koji igra vaterpolo: srednje tamna koža
🤽🏾‍♂	muškarac koji igra vaterpolo: srednje tamna koža
🤽🏿‍♂️	muškarac koji igra vaterpolo: tamna koža
🤽🏿‍♂	muškarac koji igra vaterpolo: tamna koža
🤽‍♀️	žena koja igra vaterpolo
🤽‍♀	žena koja igra vaterpolo
🤽🏻‍♀️	žena koja igra vaterpolo: svijetla koža
🤽🏻‍♀	žena koja igra vaterpolo: svijetla koža
🤽🏼‍♀️	žena koja igra vaterpolo: srednje svijetla koža
🤽🏼‍♀	žena koja igra vaterpolo: srednje svijetla koža
🤽🏽‍♀️	žena koja igra vaterpolo: srednji ten kože
🤽🏽‍♀	žena koja igra vaterpolo: srednji ten kože
🤽🏾‍♀️	žena koja igra vaterpolo: srednje tamna koža
🤽🏾‍♀	žena koja igra vaterpolo: srednje tamna koža
🤽🏿‍♀️	žena koja igra vaterpolo: tamna koža
🤽🏿‍♀	žena koja igra vaterpolo: tamna koža
🤾	osoba koja igra rukomet
🤾🏻	osoba koja igra rukomet: svijetla boja kože
🤾🏼	osoba koja igra rukomet: srednje svijetla boja kože
🤾🏽	osoba koja igra rukomet: srednja boja kože
🤾🏾	osoba koja igra rukomet: srednje tamna koža
🤾🏿	osoba koja igra rukomet: tamna koža
🤾‍♂️	čovek igra rukomet
🤾‍♂	čovek igra rukomet
🤾🏻‍♂️	muškarac koji igra rukomet: svijetla koža
🤾🏻‍♂	muškarac koji igra rukomet: svijetla koža
🤾🏼‍♂️	muškarac koji igra rukomet: srednje svijetla boja kože
🤾🏼‍♂	muškarac koji igra rukomet: srednje svijetla boja kože
🤾🏽‍♂️	muškarac koji igra rukomet: srednja boja kože
🤾🏽‍♂	muškarac koji igra rukomet: srednja boja kože
🤾🏾‍♂️	muškarac koji igra rukomet: srednje tamna koža
🤾🏾‍♂	muškarac koji igra rukomet: srednje tamna koža
🤾🏿‍♂️	muškarac koji igra rukomet: tamna koža
🤾🏿‍♂	muškarac koji igra rukomet: tamna koža
🤾‍♀️	žena koja igra rukomet
🤾‍♀	žena koja igra rukomet
🤾🏻‍♀️	žena koja igra rukomet: svijetla koža
🤾🏻‍♀	žena koja igra rukomet: svijetla koža
🤾🏼‍♀️	žena koja igra rukomet: srednje svijetla boja kože
🤾🏼‍♀	žena koja igra rukomet: srednje svijetla boja kože
🤾🏽‍♀️	žena koja igra rukomet: srednja boja kože
🤾🏽‍♀	žena koja igra rukomet: srednja boja kože
🤾🏾‍♀️	žena koja igra rukomet: srednje tamna koža
🤾🏾‍♀	žena koja igra rukomet: srednje tamna koža
🤾🏿‍♀️	žena koja igra rukomet: tamna koža
🤾🏿‍♀	žena koja igra rukomet: tamna koža
🤹	osoba koja žonglira
🤹🏻	osoba koja žonglira: svijetla koža
🤹🏼	osoba koja žonglira: srednje svijetla boja kože
🤹🏽	osoba koja žonglira: srednji ten kože
🤹🏾	osoba koja žonglira: srednje tamna koža
🤹🏿	osoba koja žonglira: tamna koža
🤹‍♂️	čovek žonglira
🤹‍♂	čovek žonglira
🤹🏻‍♂️	muškarac koji žonglira: svijetla koža
🤹🏻‍♂	muškarac koji žonglira: svijetla koža
🤹🏼‍♂️	muškarac koji žonglira: srednje svijetla boja kože
🤹🏼‍♂	muškarac koji žonglira: srednje svijetla boja kože
🤹🏽‍♂️	muškarac koji žonglira: srednja boja kože
🤹🏽‍♂	muškarac koji žonglira: srednja boja kože
🤹🏾‍♂️	muškarac koji žonglira: srednje tamna koža
🤹🏾‍♂	muškarac koji žonglira: srednje tamna koža
🤹🏿‍♂️	muškarac koji žonglira: tamna koža
🤹🏿‍♂	muškarac koji žonglira: tamna koža
🤹‍♀️	žena žonglira
🤹‍♀	žena žonglira
🤹🏻‍♀️	žena koja žonglira: svijetla koža
🤹🏻‍♀	žena koja žonglira: svijetla koža
🤹🏼‍♀️	žena koja žonglira: srednje svijetla boja kože
🤹🏼‍♀	žena koja žonglira: srednje svijetla boja kože
🤹🏽‍♀️	žena koja žonglira: srednji ten
🤹🏽‍♀	žena koja žonglira: srednji ten
🤹🏾‍♀️	žena koja žonglira: srednje tamna koža
🤹🏾‍♀	žena koja žonglira: srednje tamna koža
🤹🏿‍♀️	žena koja žonglira: tamna koža
🤹🏿‍♀	žena koja žonglira: tamna koža
👫	muškarac i žena koji se drže za ruke
👬	dva muškarca se drže za ruke
👭	dvije žene se drže za ruke
💏	poljubac
👩‍❤️‍💋‍👨	poljubac: žena, muškarac
👩‍❤‍💋‍👨	poljubac: žena, muškarac
👨‍❤️‍💋‍👨	poljubac: muškarac, muškarac
👨‍❤‍💋‍👨	poljubac: muškarac, muškarac
👩‍❤️‍💋‍👩	poljubac: žena, žena
👩‍❤‍💋‍👩	poljubac: žena, žena
💑	par sa srcem
👩‍❤️‍👨	par sa srcem: žena, muškarac
👩‍❤‍👨	par sa srcem: žena, muškarac
👨‍❤️‍👨	par sa srcem: muškarac, muškarac
👨‍❤‍👨	par sa srcem: muškarac, muškarac
👩‍❤️‍👩	par sa srcem: žena, žena
👩‍❤‍👩	par sa srcem: žena, žena
👪	porodica
👨‍👩‍👦	porodica: muškarac, žena, dječak
👨‍👩‍👧	porodica: muškarac, žena, djevojka
👨‍👩‍👧‍👦	porodica: muškarac, žena, djevojka, dječak
👨‍👩‍👦‍👦	porodica: muškarac, žena, dječak, dječak
👨‍👩‍👧‍👧	porodica: muškarac, žena, djevojka, djevojka
👨‍👨‍👦	porodica: muškarac, muškarac, dječak
👨‍👨‍👧	porodica: muškarac, muškarac, djevojka
👨‍👨‍👧‍👦	porodica: muškarac, muškarac, djevojka, dječak
👨‍👨‍👦‍👦	porodica: muškarac, muškarac, dječak, dječak
👨‍👨‍👧‍👧	porodica: muškarac, muškarac, djevojka, djevojka
👩‍👩‍👦	porodica: žena, žena, dječak
👩‍👩‍👧	porodica: žena, žena, djevojka
👩‍👩‍👧‍👦	porodica: žena, žena, djevojka, dječak
👩‍👩‍👦‍👦	porodica: žena, žena, dječak, dječak
👩‍👩‍👧‍👧	porodica: žena, žena, djevojka, djevojka
👨‍👦	porodica: muškarac, dječak
👨‍👦‍👦	porodica: muškarac, dječak, dječak
👨‍👧	porodica: muškarac, djevojka
👨‍👧‍👦	porodica: muškarac, djevojka, dječak
👨‍👧‍👧	porodica: muškarac, djevojka, djevojka
👩‍👦	porodica: žena, dečak
👩‍👦‍👦	porodica: žena, dječak, dječak
👩‍👧	porodica: žena, devojka
👩‍👧‍👦	porodica: žena, devojka, dečak
👩‍👧‍👧	porodica: žena, devojka, devojka
🤳	selfie
🤳🏻	selfie: svijetla koža
🤳🏼	selfie: srednje svijetla boja kože
🤳🏽	selfie: srednja boja kože
🤳🏾	selfie: srednje tamna koža
🤳🏿	selfie: tamna koža
💪	flexed biceps
💪🏻	savijeni biceps: svijetla boja kože
💪🏼	savijeni biceps: srednje svijetla boja kože
💪🏽	savijeni biceps: srednja boja kože
💪🏾	savijeni biceps: srednje tamna koža
💪🏿	savijeni biceps: tamna koža
🦵	nogu
🦵🏻	noga: svijetla koža
🦵🏼	noga: srednje svijetla koža
🦵🏽	noga: srednja boja kože
🦵🏾	noga: srednje tamna koža
🦵🏿	noga: tamna koža
🦶	stopalo
🦶🏻	stopalo: svijetla koža
🦶🏼	stopalo: srednje svijetla boja kože
🦶🏽	stopalo: srednja boja kože
🦶🏾	stopalo: srednje tamna koža
🦶🏿	stopalo: tamna koža
👈	bekhend indeks pokazuje lijevo
👈🏻	bekhend indeks pokazuje lijevo: svijetla boja kože
👈🏼	bekhend indeks pokazuje lijevo: srednje svijetla boja kože
👈🏽	bekhend indeks pokazuje lijevo: srednja boja kože
👈🏾	bekhend indeks pokazuje lijevo: srednje tamna koža
👈🏿	bekhend indeks pokazuje lijevo: tamna koža
👉	bekhend indeks pokazuje desno
👉🏻	bekhend indeks pokazuje desno: svijetla boja kože
👉🏼	bekhend indeks pokazuje desno: srednje svijetla boja kože
👉🏽	bekhend indeks pokazuje desno: srednja boja kože
👉🏾	bekhend indeks pokazuje desno: srednje tamna koža
👉🏿	bekhend indeks pokazuje desno: tamna koža
☝️	indeks prema gore
☝	indeks prema gore
☝🏻	indeks prema gore: svijetla koža
☝🏼	indeks prema gore: srednje svijetla boja kože
☝🏽	indeks prema gore: srednji ten
☝🏾	indeks prema gore: srednje tamna koža
☝🏿	indeks prema gore: tamna koža
👆	bekhend indeks usmjeren prema gore
👆🏻	bekhend indeks usmjeren prema gore: svijetla boja kože
👆🏼	bekhend indeks usmjeren prema gore: srednje svijetla boja kože
👆🏽	bekhend indeks usmjeren prema gore: srednji ten kože
👆🏾	bekhend indeks usmjeren prema gore: srednje tamna koža
👆🏿	bekhend indeks usmjeren prema gore: tamna koža
🖕	srednji prst
🖕🏻	srednji prst: svijetla koža
🖕🏼	srednji prst: srednje svijetla boja kože
🖕🏽	srednji prst: srednja boja kože
🖕🏾	srednji prst: srednje tamna koža
🖕🏿	srednji prst: tamna koža
👇	bekhend indeks usmjeren prema dolje
👇🏻	bekhend indeks usmjeren prema dolje: svijetla boja kože
👇🏼	bekhend indeks usmjeren prema dolje: srednje svijetla boja kože
👇🏽	bekhend indeks usmjeren prema dolje: srednja boja kože
👇🏾	bekhend indeks usmjeren prema dolje: srednje tamna koža
👇🏿	bekhend indeks usmjeren prema dolje: tamna koža
✌️	pobjednička ruka
✌	pobjednička ruka
✌🏻	pobjednička ruka: svijetla koža
✌🏼	pobjednička ruka: srednje svijetla boja kože
✌🏽	pobjednička ruka: srednji ten kože
✌🏾	pobjednička ruka: srednje tamna koža
✌🏿	pobjednička ruka: tamna koža
🤞	ukrštenih prstiju
🤞🏻	ukršteni prsti: svijetla koža
🤞🏼	ukršteni prsti: srednje svijetla boja kože
🤞🏽	ukršteni prsti: srednja boja kože
🤞🏾	ukršteni prsti: srednje tamna koža
🤞🏿	ukršteni prsti: tamna koža
🖖	vulkanski pozdrav
🖖🏻	vulkanski pozdrav: svijetla koža
🖖🏼	vulkanski pozdrav: srednje svijetla boja kože
🖖🏽	vulkanski pozdrav: srednji ten
🖖🏾	vulkanski pozdrav: srednje tamna koža
🖖🏿	vulkanski pozdrav: tamna koža
🤘	znak rogova
🤘🏻	znak rogova: svijetla boja kože
🤘🏼	znak rogova: srednje svijetla boja kože
🤘🏽	znak rogova: srednja boja kože
🤘🏾	znak rogova: srednje tamna koža
🤘🏿	znak rogova: tamna koža
🤙	zovi me rukom
🤙🏻	zovi me rukom: svijetla koža
🤙🏼	zovi me rukom: srednje svijetla koža
🤙🏽	zovi me rukom: srednji ten
🤙🏾	zovi me rukom: srednje tamna koža
🤙🏿	zovi me rukom: tamna koža
🖐️	ruka sa raširenim prstima
🖐	ruka sa raširenim prstima
🖐🏻	ruka sa raširenim prstima: svijetla boja kože
🖐🏼	ruka sa raširenim prstima: srednje svijetla boja kože
🖐🏽	ruka sa raširenim prstima: srednja boja kože
🖐🏾	ruka sa raširenim prstima: srednje tamna koža
🖐🏿	ruka sa raširenim prstima: tamna koža
✋	podignuta ruka
✋🏻	podignuta ruka: svijetla koža
✋🏼	podignuta ruka: srednje svijetla boja kože
✋🏽	podignuta ruka: srednji ten
✋🏾	podignuta ruka: srednje tamna koža
✋🏿	podignuta ruka: tamna koža
👌	OK ruka
👌🏻	OK ruka: svijetla koža
👌🏼	OK ruka: srednje svijetla boja kože
👌🏽	OK ruka: srednja boja kože
👌🏾	OK ruka: srednje tamna koža
👌🏿	OK ruka: tamna koža
👍	thumbs up
👍🏻	palac gore: svijetla koža
👍🏼	palac gore: srednje svijetla boja kože
👍🏽	palac gore: srednji ten
👍🏾	palac gore: srednje tamna koža
👍🏿	palac gore: tamna koža
👎	palci dole
👎🏻	palac dolje: svijetla koža
👎🏼	palac prema dolje: srednje svijetla boja kože
👎🏽	palac dole: srednja boja kože
👎🏾	palac dole: srednje tamna koža
👎🏿	palac dolje: tamna koža
✊	podignuta pesnica
✊🏻	podignuta pesnica: svetla koža
✊🏼	podignuta šaka: srednje svijetla boja kože
✊🏽	podignuta šaka: srednja boja kože
✊🏾	podignuta šaka: srednje tamna koža
✊🏿	podignuta šaka: tamna koža
👊	nadolazeća pesnica
👊🏻	nadolazeća šaka: svijetla koža
👊🏼	nadolazeća šaka: srednje svijetla boja kože
👊🏽	nadolazeća šaka: srednja boja kože
👊🏾	nadolazeća šaka: srednje tamna koža
👊🏿	nadolazeća šaka: tamna koža
🤛	šaka okrenuta lijevo
🤛🏻	šaka okrenuta lijevo: svijetla koža
🤛🏼	šaka okrenuta lijevo: srednje svijetla koža
🤛🏽	šaka okrenuta lijevo: srednja boja kože
🤛🏾	šaka okrenuta lijevo: srednje tamna koža
🤛🏿	šaka okrenuta lijevo: tamna koža
🤜	pesnica okrenuta udesno
🤜🏻	šaka okrenuta desno: svijetla koža
🤜🏼	šaka okrenuta desno: srednje svijetla koža
🤜🏽	šaka okrenuta desno: srednja boja kože
🤜🏾	šaka okrenuta desno: srednje tamna koža
🤜🏿	šaka okrenuta desno: tamna koža
🤚	podignuta nadlanica
🤚🏻	podignuta nadlanica: svijetla koža
🤚🏼	podignuta nadlanica: srednje svijetla boja kože
🤚🏽	podignuta nadlanica: srednja boja kože
🤚🏾	podignuta nadlanica: srednje tamna koža
🤚🏿	podignuta nadlanica: tamna koža
👋	mašući rukom
👋🏻	maše rukom: svijetla koža
👋🏼	mašući rukom: srednje svijetla boja kože
👋🏽	mašući rukom: srednja boja kože
👋🏾	mašući rukom: srednje tamna koža
👋🏿	maše rukom: tamna koža
🤟	gest volim te
🤟🏻	gest ljubavi prema tebi: svijetla koža
🤟🏼	gest ljubavi prema tebi: srednje svijetla boja kože
🤟🏽	gest ljubavi prema tebi: srednji nijansa kože
🤟🏾	Gest ljubavi prema tebi: srednje tamna koža
🤟🏿	gest ljubavi prema tebi: tamna koža
✍️	ruka pisanja
✍	ruka pisanja
✍🏻	ruka pisanja: svijetla koža
✍🏼	ruka pisanja: srednje svijetla boja kože
✍🏽	ruka pisanja: srednja boja kože
✍🏾	ruka pisanja: srednje tamna koža
✍🏿	ruka pisanja: tamna koža
👏	pljeskanje rukama
👏🏻	pljeskanje rukama: svijetla koža
👏🏼	pljeskanje rukama: srednje svijetla boja kože
👏🏽	pljeskanje rukama: srednja boja kože
👏🏾	pljeskanje rukama: srednje tamna koža
👏🏿	pljeskanje rukama: tamna koža
👐	otvorene ruke
👐🏻	otvorene ruke: svijetla koža
👐🏼	otvorene ruke: srednje svijetla boja kože
👐🏽	otvorene ruke: srednja boja kože
👐🏾	otvorene ruke: srednje tamna koža
👐🏿	otvorene ruke: tamna koža
🙌	dizanje ruku
🙌🏻	podizanje ruku: svijetla koža
🙌🏼	podizanje ruku: srednje svijetla boja kože
🙌🏽	podizanje ruku: srednja boja kože
🙌🏾	podizanje ruku: srednje tamna koža
🙌🏿	podizanje ruku: tamna koža
🤲	dlanovi gore zajedno
🤲🏻	dlanovi zajedno: svijetla koža
🤲🏼	dlanovi zajedno: srednje svijetla koža
🤲🏽	dlanovi zajedno: srednja boja kože
🤲🏾	dlanovi zajedno: srednje tamna koža
🤲🏿	dlanovi zajedno: tamna koža
🙏	sklopljenih ruku
🙏🏻	sklopljene ruke: svijetla koža
🙏🏼	sklopljene ruke: srednje svijetla boja kože
🙏🏽	sklopljene ruke: srednja boja kože
🙏🏾	sklopljene ruke: srednje tamna koža
🙏🏿	sklopljene ruke: tamna koža
🤝	rukovanje
💅	lak za nokte
💅🏻	lak za nokte: svijetli ton kože
💅🏼	lak za nokte: srednje svijetli ton kože
💅🏽	lak za nokte: srednji ton kože
💅🏾	lak za nokte: srednje tamna koža
💅🏿	lak za nokte: tamna koža
👂	uho
👂🏻	uho: svijetla koža
👂🏼	uho: srednje svijetla boja kože
👂🏽	uho: srednja boja kože
👂🏾	uho: srednje tamna koža
👂🏿	uho: tamna koža
👃	nos
👃🏻	nos: svijetla koža
👃🏼	nos: srednje svijetla boja kože
👃🏽	nos: srednji ten
👃🏾	nos: srednje tamna koža
👃🏿	nos: tamna koža
🦰	crvenokosa
🦱	kovrdžave kose
🦲	ćelav
🦳	sedokosi
👣	otisci prstiju
👀	oči
👁️	oko
👁	oko
👁️‍🗨️	oko u govornom balončiću
👁‍🗨️	oko u govornom balončiću
👁️‍🗨	oko u govornom balončiću
👁‍🗨	oko u govornom balončiću
🧠	mozak
🦴	kost
🦷	zub
👅	jezik
👄	usta
💋	kiss mark
💘	srce sa strelicom
❤️	crveno srce
❤	crveno srce
💓	srce koje kuca
💔	slomljeno srce
💕	dva srca
💖	iskričavo srce
💗	rastuće srce
💙	plavo srce
💚	zeleno srce
💛	žuto srce
🧡	narandžasto srce
💜	ljubičasto srce
🖤	crno srce
💝	srce sa trakom
💞	rotirajuća srca
💟	ukras za srce
❣️	teškog srca uzvik
❣	teškog srca uzvik
💌	ljubavno pismo
💤	zzz
💢	simbol ljutnje
💣	bomba
💥	sudara
💦	kapljice znoja
💨	odjurivši
💫	vrtoglavica
💬	govorni balon
🗨️	lijevog govornog oblačića
🗨	lijevog govornog oblačića
🗯️	pravi balon ljutnje
🗯	pravi balon ljutnje
💭	misaoni balon
🕳️	rupa
🕳	rupa
👓	čaše
🕶️	sunčane naočale
🕶	sunčane naočale
🥽	naočare
🥼	laboratorijski mantil
👔	kravata
👕	majica
👖	farmerke
🧣	šal
🧤	rukavice
🧥	kaput
🧦	čarape
👗	haljina
👘	kimono
👙	bikini
👚	ženska odeća
👛	torbica
👜	torbica
👝	clutch bag
🛍️	torbe za kupovinu
🛍	torbe za kupovinu
🎒	školski ranac
👞	muska cipela
👟	cipela za trčanje
🥾	planinarska cipela
🥿	ženska ravna cipela
👠	cipela sa visokom potpeticom
👡	ženska sandala
👢	ženska čizma
👑	kruna
👒	ženski šešir
🎩	Kapa
🎓	maturalna kapa
🧢	biled cap
⛑️	kaciga spasilaca
⛑	kaciga spasilaca
📿	molitvene perle
💄	karmin
💍	prsten
💎	dragi kamen
🐵	lice majmuna
🐒	majmun
🦍	gorila
🐶	pseće lice
🐕	pas
🐩	pudlica
🐺	vuko lice
🦊	fox face
🦝	rakun
🐱	mačka lice
🐈	mačka
🦁	lavlje lice
🐯	tigrovo lice
🐅	tiger
🐆	leopard
🐴	konjsko lice
🐎	konj
🦄	lice jednoroga
🦓	zebra
🦌	jelen
🐮	kravlje lice
🐂	vol
🐃	vodeni bivol
🐄	krava
🐷	svinjsko lice
🐖	svinja
🐗	vepar
🐽	svinjski nos
🐏	RAM
🐑	ovca
🐐	koza
🐪	kamila
🐫	dvogrba kamila
🦙	lama
🦒	žirafa
🐘	elephant
🦏	rhinoceros
🦛	hippopotamus
🐭	lice miša
🐁	miš
🐀	pacov
🐹	lice hrčka
🐰	zeca face
🐇	zec
🐿️	chipmunk
🐿	chipmunk
🦔	jež
🦇	bat
🐻	medvjeđe lice
🐨	koala
🐼	panda face
🦘	kengur
🦡	jazavac
🐾	otisci šapa
🦃	turska
🐔	piletina
🐓	horoz
🐣	izlegao pile
🐤	baby chick
🐥	beba pile okrenuta naprijed
🐦	ptica
🐧	pingvin
🕊️	golubica
🕊	golubica
🦅	orao
🦆	patka
🦢	labud
🦉	sova
🦚	paun
🦜	papagaj
🐸	žablje lice
🐊	krokodil
🐢	kornjača
🦎	gušter
🐍	zmija
🐲	lice zmaja
🐉	zmaj
🦕	sauropod
🦖	T-Rex
🐳	izlivanje kita
🐋	kit
🐬	delfin
🐟	riba
🐠	tropske ribe
🐡	blowfish
🦈	ajkula
🐙	hobotnica
🐚	spiralna školjka
🦀	rak
🦞	jastoga
🦐	škampi
🦑	lignje
🐌	puž
🦋	leptir
🐛	bug
🐜	ant
🐝	pcela
🐞	lady beetle
🦗	kriket
🕷️	pauk
🕷	pauk
🕸️	paukova mreža
🕸	paukova mreža
🦂	škorpion
🦟	komarac
🦠	mikrob
💐	buket
🌸	trešnjin cvijet
💮	bijeli cvijet
🏵️	rozeta
🏵	rozeta
🌹	ruža
🥀	uvenuo cvijet
🌺	hibiskus
🌻	suncokret
🌼	cvjetati
🌷	tulip
🌱	sadnica
🌲	zimzeleno drvo
🌳	listopadno drvo
🌴	palma
🌵	cactus
🌾	snop pirinča
🌿	biljka
☘️	shamrock
☘	shamrock
🍀	četiri lista djeteline
🍁	javorov list
🍂	otpalo lišće
🍃	lišće koje vijori na vjetru
🍇	grožđe
🍈	dinja
🍉	lubenica
🍊	mandarina
🍋	limun
🍌	banana
🍍	ananas
🥭	mango
🍎	crvena jabuka
🍏	zelena jabuka
🍐	kruška
🍑	breskva
🍒	trešnje
🍓	jagoda
🥝	kivi
🍅	paradajz
🥥	kokos
🥑	avokado
🍆	Patlidžan
🥔	krompir
🥕	šargarepa
🌽	klas
🌶️	ljuta paprika
🌶	ljuta paprika
🥒	krastavac
🥬	lisnato zeleno
🥦	brokoli
🍄	gljiva
🥜	kikiriki
🌰	kesten
🍞	hljeb
🥐	kroasan
🥖	baguette bread
🥨	pereca
🥯	bagel
🥞	palačinke
🧀	kriška sira
🍖	meso na kosti
🍗	živinski but
🥩	komad mesa
🥓	slanina
🍔	hamburger
🍟	pomfrit
🍕	pizza
🌭	hot dog
🥪	sendvič
🌮	taco
🌯	burrito
🥙	punjeni somun
🥚	jaje
🍳	kuvanje
🥘	plitka posuda sa hranom
🍲	lonac hrane
🥣	činija sa kašikom
🥗	zelena salata
🍿	kokice
🧂	sol
🥫	konzerviranu hranu
🍱	bento box
🍘	kreker od riže
🍙	rižina lopta
🍚	kuvani pirinač
🍛	kari pirinač
🍜	posuda za kuhanje na pari
🍝	špagete
🍠	pečeni slatki krompir
🍢	oden
🍣	sushi
🍤	pržene škampe
🍥	riblji kolač sa vrtlogom
🥮	mjesečev kolač
🍡	dango
🥟	knedla
🥠	kolačić sudbine
🥡	kutija za poneti
🍦	meki sladoled
🍧	obrijani led
🍨	sladoled
🍩	Krofna
🍪	kolačić
🎂	rođendanska torta
🍰	shortcake
🧁	cupcake
🥧	pita
🍫	čokoladna pločica-kockica
🍬	bombone
🍭	lizalica
🍮	kremasta krema
🍯	med lonac
🍼	flašica za bebe
🥛	čašu mlijeka
☕	topli napitak
🍵	šolja bez drške
🍶	sake
🍾	boca sa čepom
🍷	čaša za vino
🍸	čaša za koktel
🍹	tropsko piće
🍺	pivska krigla
🍻	zveckajuće pivske krigle
🥂	zveckanje čaša
🥃	čaša za čaše
🥤	šolja sa slamkom
🥢	štapići za jelo
🍽️	viljuška i nož sa tanjirom
🍽	viljuška i nož sa tanjirom
🍴	viljuška i nož
🥄	kašika
🔪	kuhinjski nož
🏺	amfora
🌍	globus koji prikazuje Evropu-Afriku
🌎	globus koji pokazuje Ameriku
🌏	globus koji prikazuje Aziju-Australiju
🌐	globus sa meridijanima
🗺️	karta svijeta
🗺	karta svijeta
🗾	karta Japana
🧭	kompas
🏔️	planina prekrivena snegom
🏔	planina prekrivena snegom
⛰️	planina
⛰	planina
🌋	vulkan
🗻	mount fuji
🏕️	kampovanje
🏕	kampovanje
🏖️	plaža sa suncobranom
🏖	plaža sa suncobranom
🏜️	pustinja
🏜	pustinja
🏝️	pustinjsko ostrvo
🏝	pustinjsko ostrvo
🏞️	nacionalni park
🏞	nacionalni park
🏟️	stadion
🏟	stadion
🏛️	klasična zgrada
🏛	klasična zgrada
🏗️	građevinske konstrukcije
🏗	građevinske konstrukcije
🧱	cigle
🏘️	kuće
🏘	kuće
🏚️	napuštena kuća
🏚	napuštena kuća
🏠	kuća
🏡	kuća sa vrtom
🏢	poslovna zgrada
🏣	Japanska pošta
🏤	pošta
🏥	bolnica
🏦	banka
🏨	hotel
🏩	ljubavni hotel
🏪	prodavnica
🏫	škola
🏬	robna kuća
🏭	fabrika
🏯	Japanski dvorac
🏰	castle
💒	vjenčanje
🗼	Tokyo tower
🗽	Kip slobode
⛪	crkva
🕌	džamija
🕍	sinagoga
⛩️	shinto shrine
⛩	shinto shrine
🕋	kaaba
⛲	fontana
⛺	šator
🌁	maglovito
🌃	noć sa zvezdama
🏙️	gradski pejzaž
🏙	gradski pejzaž
🌄	izlazak sunca iznad planina
🌅	izlazak sunca
🌆	gradski pejzaž u sumrak
🌇	zalazak sunca
🌉	most noću
♨️	topli izvori
♨	topli izvori
🌌	mliječni put
🎠	ringišpil konj
🎡	ferris wheel
🎢	roller coaster
💈	berberski štap
🎪	cirkuski šator
🚂	lokomotiva
🚃	vagon
🚄	brzi voz
🚅	bullet train
🚆	voz
🚇	metro
🚈	laka pruga
🚉	stanica
🚊	tramvaj
🚝	monorail
🚞	planinska željeznica
🚋	tramvajsko vozilo
🚌	bus
🚍	nadolazeći autobus
🚎	trolejbus
🚐	minibus
🚑	hitna pomoć
🚒	vatrogasna kola
🚓	policijski auto
🚔	nadolazeći policijski auto
🚕	taksi
🚖	nadolazeći taksi
🚗	automobil
🚘	nadolazeći automobil
🚙	sportsko terensko vozilo
🚚	kamion za dostavu
🚛	zglobni kamion
🚜	traktor
🚲	bicikl
🛴	skuter
🛹	skateboard
🛵	motorni skuter
🚏	autobusko stajalište
🛣️	autoput
🛣	autoput
🛤️	željeznički kolosijek
🛤	željeznički kolosijek
🛢️	burad za ulje
🛢	burad za ulje
⛽	pumpa za gorivo
🚨	svjetlo za policijski auto
🚥	horizontalni semafor
🚦	vertikalni semafor
🛑	znak stop
🚧	izgradnja
⚓	sidro
⛵	jedrilica
🛶	kanu
🚤	gliser
🛳️	putnički brod
🛳	putnički brod
⛴️	trajekt
⛴	trajekt
🛥️	motorni čamac
🛥	motorni čamac
🚢	brod
✈️	avion
✈	avion
🛩️	mali avion
🛩	mali avion
🛫	polazak aviona
🛬	dolazak aviona
💺	sjedište
🚁	helikopter
🚟	viseća pruga
🚠	planinska žičara
🚡	žičara
🛰️	satelit
🛰	satelit
🚀	raketa
🛸	leteći tanjir
🛎️	bellhop bell
🛎	bellhop bell
🧳	prtljaga
⌛	peščani sat gotov
⏳	pješčani sat nije urađen
⌚	gledati
⏰	alarm
⏱️	štoperica
⏱	štoperica
⏲️	tajmer sat
⏲	tajmer sat
🕰️	sat sa kaminom
🕰	sat sa kaminom
🕛	dvanaest sati
🕧	dvanaest i trideset
🕐	jedan sat
🕜	jedan i trideset
🕑	dva sata
🕝	dva i trideset
🕒	tri sata
🕞	tri trideset
🕓	cetiri sata
🕟	četiri i trideset
🕔	pet sati
🕠	pet i trideset
🕕	šest sati
🕡	šest i trideset
🕖	sedam sati
🕢	sedam i trideset
🕗	osam sati
🕣	osam i trideset
🕘	devet sati
🕤	devet i trideset
🕙	deset sati
🕥	deset trideset
🕚	jedanaest sati
🕦	jedanaest i trideset
🌑	novi mjesec
🌒	rastući polumjesec
🌓	prva četvrtina mjeseca
🌔	rastući mjesec
🌕	puni mjesec
🌖	opadajući mjesec
